Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
"M&A",2004/6/30,"LUKAgip NV","LUKOIL PJSC","Eni SpA",N/A,"Undisclosed", ,"Completed"
"M&A",2004/5/27,"Pechora Power Station","Wenstead Ltd","UBS AG",N/A,"Undisclosed", ,"Completed"
"M&A",2003/3/3,"Independent Media Holding BV","Unnamed Buyer","Nielsen Co BV/The",N/A,"Undisclosed", ,"Completed"
"M&A",2003/6/30,"Russian business ops","Millhouse Capital UK Ltd","Bausch Health Americas Inc",N/A,"Cash", ,"Completed"
"M&A",2002/3/8,"Russian custody business","ING Groep NV","Credit Suisse Group AG",N/A,"Undisclosed", ,"Completed"
"M&A",2002/3/21,"Arthur Andersen ZAO","Ernst & Young Europe LLP","Arthur Andersen LLP/United States",N/A,"Undisclosed", ,"Completed"
"M&A",2002/8/12,"Russian mutual funds business","United Financial Group","Franklin Resources Inc",N/A,"Undisclosed", ,"Completed"
"INV",2003/10/1,"Trading House GUM PJSC","Unnamed Buyer","Franklin Resources Inc",N/A,"Undisclosed", ,"Completed"
"M&A",2004/1/1,"Kreker OAO","Management Group","European Bank for Reconstruction & Development",N/A,"Undisclosed", ,"Completed"
"M&A",2004/1/26,"Chok & Rolls cake business","Danone SA","Chupa Chups SA",N/A,"Undisclosed", ,"Completed"
"M&A",2004/1/29,"Russian cable ops","Ion LP","Cable & Wireless Communications Ltd/Old",N/A,"Undisclosed", ,"Completed"
"M&A",2003/9/25,"Amurmetall OAO","Alfa-Bank AO","voestalpine AG",N/A,"Undisclosed", ,"Completed"
"M&A",2003/8/1,"Chelyabinsk Zinc Plant PJSC","Chelyabinsk Pipe Plant PJSC","Vitol Holding BV",N/A,"Undisclosed", ,"Completed"
"INV",2003/8/28,"Vympelkom-R OAO","Vimpel-Communications PJSC","Telenor ASA",N/A,"Stock", ,"Completed"
"M&A",2005/10/7,"Yowenbrau beer/RU","Interbrew Plc","Heineken NV",N/A,"Cash", ,"Completed"
"M&A",2005/11/1,"30 Cable TV cos","Sistema Venchur Kepital AO","Jordan Industries Inc",N/A,"Cash", ,"Completed"
"INV",2005/7/5,"Pivoindustriya Primorye OAO","Alfa-Eco M OOO","Anheuser-Busch InBev SA/NV",N/A,"Cash", ,"Completed"
"INV",2020/7/9,"Linde Silovye Mashiny OOO","Severstal PAO","Linde PLC",N/A,"Undisclosed", ,"Completed"
"M&A",2020/7/16,"Chicken processing facility/Efremov","Cherkizovo Group PJSC","Cargill Inc",N/A,"Cash", ,"Completed"
"INV",2020/2/5,"Petropavlovsk PLC","Uzhuralzoloto Group of Cos OJSC","Aeon Mining Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2020/2/7,"Liberty Insurance JSC","SovCo Capital Partners BV","Liberty Mutual Holding Co Inc",N/A,"Undisclosed", ,"Completed"
"INV",2020/6/11,"Vagonmash LLC","Sinara Group AO","Kirovsky Plant,PPF Group NV",N/A,"Cash", ,"Completed"
"M&A",2020/5/15,"Embraco Eurosales Srl,Embraco Mexico S de RL de CV,Embraco Mexico Servicios S de R L de CV,Embraco North America Inc,Embraco Slovakia sro,Embraco RUS LLC,Embraco Industria de Compressores e Solucoes em Refrigeracao Ltda,Embraco US LLC","NIDEC CORP","Whirlpool Corp",N/A,"Undisclosed", ,"Withdrawn"
"INV",2020/5/25,"GV Gold Vysochaishy Pjsc","Private Investor","BlackRock Inc",N/A,"Cash", ,"Withdrawn"
"M&A",2020/4/29,"22-storey business center","Alrosa PJSC","Areti Group Ltd",N/A,"Cash", ,"Completed"
"INV",2020/11/20,"FESCO Transportation Group Managing Co Limite","Private Investor","TPG Capital LP/US",N/A,"Cash", ,"Completed"
"M&A",2020/9/3,"Vest Koll LTD OOO","VEON Ltd","Russia Partners Management LLC",N/A,"Cash", ,"Completed"
"M&A",2020/9/10,"Rus Gas Turbines Holdings BV","Inter RAO UES PJSC","General Electric Co",N/A,"Undisclosed", ,"Pending"
"INV",2020/8/26,"Eurotek-Yugra JSC","Gazprom Neft PJSC","Repsol SA",N/A,"Undisclosed", ,"Completed"
"INV",2019/2/6,"Elecsnet JSC","Credit Bank of Moscow PJSC","Elecsnet Holding Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2019/2/11,"ERGO Non-Life business/ERGO International AG","RESO-Garantia Insurance PJSC","Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen",N/A,"Cash", ,"Pending"
"M&A",2019/2/13,"Russian business/Atria Oyj","Potential Buyer","Atria Oyj",N/A,"Cash", ,"Withdrawn"
"INV",2019/7/3,"Linde Silovye Mashiny OOO","Severstal PAO","Linde PLC",N/A,"Undisclosed", ,"Completed"
"M&A",2019/7/5,"75 fuel stations & terminal","Tatneft PJSC","Neste Oyj",N/A,"Cash", ,"Completed"
"M&A",2019/6/6,"FG Future PJSC","Investitsionnaya Kompaniya Region AO","Riverstretch Trading & Investments Ltd",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2019/6/13,"Beef production and farming business/Inalca SpA","Russian Direct Investment Fund Management Co","Cremonini SpA",N/A,"Cash", ,"Pending"
"INV",2019/3/5,"RuRu","Beeline Inc","ABH Holdings SA",N/A,"Undisclosed", ,"Completed"
"M&A",2019/8/6,"Norauto RUS LLC","Kemp-Domodedovo OOO","Norauto France SAS",N/A,"Undisclosed", ,"Completed"
"M&A",2019/8/22,"Far East Russian business","Inzhenerno-Stroitelnaya Kompaniya LLC","Modern Machinery Co Inc",N/A,"Cash", ,"Completed"
"M&A",2000/3/20,"Kvaerner Vyborg Shipyard JSC","Ako Barss ZAO","Old Kvaerner Invest AS",N/A,"Undisclosed", ,"Completed"
"INV",2000/3/28,"Russian Telecommunications Development Corp","MCT Corp/Russia","Comcast MO Group LLC",N/A,"Undisclosed", ,"Completed"
"M&A",2001/2/21,"AO Volga paper plant","Alfa-Bank AO","KHD Humboldt Wedag Vermoegensverwaltungs-AG",N/A,"Undisclosed", ,"Completed"
"M&A",2001/7/30,"Neva Line ZAO","Telekominvest OAO","Alcatel Lucent SAS",N/A,"Undisclosed", ,"Completed"
"INV",2001/4/2,"Golden Telecom Inc","Investor Group,Baring Vostok Capital Partners Ltd/Russia (Fund: Baring Vostok Private Equity Fund II LP)","Global Telesystems Inc",N/A,"Cash", ,"Completed"
"M&A",2001/11/5,"MKS ZAO","Menatep Bank","CommScope Technologies LLC",N/A,"Undisclosed", ,"Completed"
"M&A",2001/11/5,"Magistral-Telecom","Menatep Bank","CommScope Technologies LLC",N/A,"Undisclosed", ,"Completed"
"M&A",2001/11/5,"Raskom AO","Menatep Bank","CommScope Technologies LLC",N/A,"Undisclosed", ,"Completed"
"M&A",2001/11/5,"Makomnet AO","Menatep Bank","CommScope Technologies LLC",N/A,"Undisclosed", ,"Completed"
"M&A",2001/11/5,"Metrokom ZAO","Menatep Bank","CommScope Technologies LLC",N/A,"Undisclosed", ,"Completed"
"M&A",2001/9/5,"DeltaCredit Bank JSC","US Russia Investment Fund LLC/The","JPMorgan Chase & Co",N/A,"Undisclosed", ,"Completed"
"M&A",2000/8/2,"Kharyaga oil field","LUKOIL PJSC","TotalEnergies SE",N/A,"Undisclosed", ,"Completed"
"M&A",2000/8/2,"Kharyaga oil field","LUKOIL PJSC","Norsk Hydro ASA",N/A,"Undisclosed", ,"Completed"
"M&A",2026/4/27,"Pavlik AO","Aurum Trade JSC","Gentlia Ltd",N/A,"Stock", ,"Completed"
"INV",2000/1/18,"Komiarktikoil OOO","Joint Venture","BG Group Ltd",N/A,"Undisclosed", ,"Completed"
"INV",2000/4/12,"Magnitogorsk Iron & Steel Works PJSC","Unnamed Buyer","Trans-World Metals SA",N/A,"Undisclosed", ,"Completed"
"M&A",2000/4/12,"Bogoslovsky","Unnamed Buyer","Trans-World Metals SA",N/A,"Undisclosed", ,"Completed"
"M&A",2020/12/2,"Payakha field","Rosneft Oil Co PJSC","Independent Petroleum Co Holdings CY Ltd",N/A,"Cash", ,"Withdrawn"
"M&A",2020/12/23,"General Motors Auto LLC","Hyundai Motor Co","General Motors Co",N/A,"Undisclosed", ,"Completed"
"M&A",2020/12/23,"Evotor LLC","Sberbank of Russia PJSC","ATOL Group SNC",N/A,"Undisclosed", ,"Pending"
"INV",2019/12/9,"GM-Avtovaz ZAO","Avtovaz PJSC","General Motors Co",N/A,"Undisclosed", ,"Pending"
"M&A",2019/12/27,"Liberty Insurance JSC","SovCo Capital Partners BV","Liberty Mutual Group Inc",N/A,"Cash", ,"Completed"
"M&A",2022/3/2,"Eurasian business","Potential Buyer","Aggreko PLC",N/A,"Cash", ,"Withdrawn"
"M&A",2022/3/3,"Russian Operations/Intesa Sanpaolo SpA","Potential Buyer","Intesa Sanpaolo SpA",N/A,"Cash", ,"Withdrawn"
"INV",2022/3/3,"Maxima Group LLC/Russia","Unnamed Buyer","TJX Cos Inc/The",N/A,"Undisclosed", ,"Completed"
"M&A",2022/3/7,"Russian assets/Carmignac Gestion SA","Potential Buyer","Carmignac Gestion SA",N/A,"Cash", ,"Withdrawn"
"INV",2022/3/11,"Globaltrans Investment PLC","Potential Buyer","AP Moller - Maersk A/S",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2022/3/30,"Russia Assets/Kinross Gold Corp","Fortiana Holdings Ltd","Kinross Gold Corp",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2022/3/31,"Talatu OOO","Unnamed Buyer","Teknos Group Oy",N/A,"Undisclosed", ,"Completed"
"M&A",2022/1/12,"Elmek AO","Aim Cosmetics Rus Ltd","Caverion Oyj",N/A,"Undisclosed", ,"Pending"
"INV",2022/1/12,"Portfolio of 2 russian asset/Repsol SA","Gazprom Neft PJSC","Repsol SA",N/A,"Cash", ,"Pending"
"M&A",2022/1/12,"Russian life insurance unit","SovCo Capital Partners BV","Talanx AG",N/A,"Cash", ,"Pending"
"M&A",2022/1/20,"Tambov Turkey LLC","Cherkizovo Group PJSC","Grupo Empresarial Fuertes SL",N/A,"Stock", ,"Completed"
"INV",2021/10/1,"Kvadrat S LLC","Baring Vostok Capital Partners Ltd/Russia","Oxalis Ltd/Cyprus",N/A,"Cash", ,"Completed"
"M&A",2021/10/4,"Yuzhgazenerdzhi OOO","Unnamed Buyer","JKX Oil & Gas Ltd",N/A,"Undisclosed", ,"Pending"
"M&A",2021/10/12,"Home Credit & Finance Bank OOO","OTP Bank Nyrt","PPF Financial Holdings BV",N/A,"Undisclosed", ,"Pending"
"M&A",2021/10/18,"Production Business/Russia","KDV Group OOO","Unilever PLC",N/A,"Cash", ,"Completed"
"M&A",2022/5/8,"petrol stations & lubrican plants/Russia","Potential Buyer","Shell PLC",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2022/5/12,"Russia Assets/Fortum Oyj","Potential Buyer","Fortum Oyj",N/A,"Cash", ,"Withdrawn"
"M&A",2022/5/12,"Russian Assets/EPAM System Inc","Unnamed Buyer","EPAM Systems Inc",N/A,"Cash", ,"Pending"
"M&A",2022/5/16,"100 stores/Russia","FLO Magazacilik Ve Pazarlama AS","Authentic Brands Group Inc",N/A,"Cash", ,"Withdrawn"
"M&A",2022/5/16,"Russian assets of Renault","Russian Federation","Renault SA",N/A,"Cash", ,"Completed"
"M&A",2022/5/17,"Home Credit & Finance Bank OOO,Banking Assets/Russia","Investor Group","PPF Group NV",N/A,"Undisclosed", ,"Completed"
"M&A",2022/5/19,"Sakhalin-I oil & gas project","Potential Buyer","Exxon Mobil Corp",N/A,"Cash", ,"Withdrawn"
"M&A",2022/5/20,"Ivi.Ru OOO","Mobile TeleSystems PJSC","VTB Bank PJSC,Prof-Media Management LLC,Russian Direct Investment Fund Management Co,Tiger Global Management LLC (Fund: Tiger Global Private Investment Partners VII LP),Frontier Ventures (Fund: Frontier Ventures Fund),Baring Vostok Capital Partners Ltd/Russia (Fund: Baring Vostok Private Equi...",N/A,"Cash", ,"Pending"
"M&A",2022/5/23,"Russian Retail shops/ Levi Strauss","Potential Buyer","Levi Strauss & Co",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2022/5/24,"Zurich Russia","Private Investor","Zurich Insurance Group AG",N/A,"Undisclosed", ,"Pending"
"M&A",2022/5/30,"Delfingen Russian Plant","Unnamed Buyer","DELFINGEN",N/A,"Undisclosed", ,"Completed"
"M&A",2022/6/2,"Russia assets/OC Oerlikon","Management Group","OC Oerlikon Corp AG",N/A,"Undisclosed", ,"Pending"
"M&A",2022/6/16,"PRISMA supermarkets & kitchen facility/St Petersburg","X5 Retail Group NV","SOK Retail Int Oy",N/A,"Cash", ,"Pending"
"M&A",2022/6/22,"Hotel business/St Petersburg","Private Investor","Suomen Osuuskauppojen Keskuskunta",N/A,"Cash", ,"Pending"
"M&A",2022/6/28,"Bussiness in Russia / Kone","S8 Capital AO","Kone Oyj",N/A,"Cash", ,"Completed"
"M&A",2022/6/28,"Russian operation","Management Group","Cie Generale des Etablissements Michelin SCA",N/A,"Cash", ,"Withdrawn"
"M&A",2022/6/28,"GTLK European Unit","Potential Buyer","Attestor Capital LLP",N/A,"Undisclosed", ,"Withdrawn"
"INV",2022/2/27,"Rosneft Oil Co PJSC","Unnamed Buyer","BP PLC",N/A,"Undisclosed", ,"Pending"
"M&A",2022/2/28,"Russian assets/Government Pension Fund Global","Potential Buyer","Government Pension Fund Global",N/A,"Cash", ,"Withdrawn"
"M&A",2022/7/1,"Expobank LLC,RESO-Garantia Insurance PJSC","Potential Buyer","Citigroup Inc",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2022/7/3,"Russian operations/Schneider Electric SE","Management Group","Schneider Electric SE",N/A,"Cash", ,"Pending"
"M&A",2022/7/6,"Kharyaga oil field","Unnamed Buyer","TotalEnergies SE",N/A,"Cash", ,"Completed"
"M&A",2022/7/11,"Sephora Russia","Unnamed Buyer","LVMH Moet Hennessy Louis Vuitton SE",N/A,"Undisclosed", ,"Pending"
"M&A",2022/7/15,"Russian business/Danfoss","Management Group","Danfoss A/S",N/A,"Undisclosed", ,"Pending"
"M&A",2022/7/18,"Terneftegas ZAO","Novatek PJSC","TotalEnergies SE",N/A,"Undisclosed", ,"Completed"
"M&A",2022/7/21,"Russian unit/HSBC Holdings Plc","Expobank LLC","HSBC Holdings PLC",N/A,"Cash", ,"Pending"
"M&A",2022/7/27,"Russia business/Otis Worldwide Corp","S8 Capital AO","Otis Worldwide Corp",N/A,"Cash", ,"Pending"
"M&A",2022/7/28,"Car assembly site/Russia","Asia Auto","Volkswagen AG",N/A,"Cash", ,"Withdrawn"
"M&A",2022/7/29,"Portfolio of 2 glass plants unit/Russia","Private Investor","Koch Industries Inc",N/A,"Cash", ,"Completed"
"M&A",2022/8/1,"Oilfield Services Unit/Russia","Management Group","Baker Hughes Co",N/A,"Undisclosed", ,"Pending"
"M&A",2022/8/9,"Business operation/Russia","Potential Buyer","Kahrs Holding AB",N/A,"Cash", ,"Withdrawn"
"M&A",2022/8/26,"Car assembly plany/Moscow","Potential Buyer","Mercedes-Benz Group AG",N/A,"Cash", ,"Withdrawn"
"M&A",2022/8/29,"Global Ports Investments PLC","Delo Group","AP Moller - Maersk A/S",N/A,"Undisclosed", ,"Completed"
"M&A",2022/9/8,"NPP Burservis AO","Management Group","Halliburton Co",N/A,"Undisclosed", ,"Completed"
"M&A",2022/9/13,"Russian Auto Dealership Business/MAN Truck & Bus SE","Unnamed Buyer","Traton SE",N/A,"Cash", ,"Pending"
"M&A",2022/9/19,"Russia Oilseed Processing Plant and Business/Bunge Ltd","Private Investor","Bunge Global SA",N/A,"Cash", ,"Completed"
"M&A",2022/9/20,"Metropolis shopping center","Capital Partners LLC","California Public Employees' Retirement System,Hines Interests LP,Morgan Stanley (Fund: Morgan Stanley Real Estate Fund VII Global LP)",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2022/9/27,"Emerson LLC,PG Metran AO","Management Group","Emerson Electric Co",N/A,"Undisclosed", ,"Completed"
"M&A",2021/3/25,"Orient Express Bank PJSC","SovCo Capital Partners BV","International Finance Corp,CB Uniastrum Bank LLC,Evison Holdings Ltd,Baring Vostok Capital Partners Ltd/Russia (Fund: Baring Vostok Private Equity Fund IV LP),Siguler Guff & Co LLC (Fund: Russia Partners Technology Fund LP),Unknown Seller",N/A,"Cash", ,"Pending"
"M&A",2021/3/25,"Rostov Grain Terminal LLC","Private Investor","Bunge Global SA",N/A,"Undisclosed", ,"Completed"
"M&A",2021/7/8,"Argayash coal fired heat & power plant","Rosatom Corp","Fortum Oyj",N/A,"Cash", ,"Completed"
"M&A",2021/7/27,"Pir Produkt JSC","Sistema PJSFC","Pruskanza Holding Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2021/7/29,"Altai Avia OOO","Sistema PJSFC","Resort-m LLC",N/A,"Undisclosed", ,"Completed"
"M&A",2007/5/7,"Patera ZAO","Atrium European Real Estate Ltd","Salustro Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2007/5/11,"American Hospital Group","Sistema PJSFC","Allianz SE",N/A,"Undisclosed", ,"Completed"
"INV",2007/5/11,"MedExpress","Sistema PJSFC","Allianz SE",N/A,"Undisclosed", ,"Completed"
"M&A",2007/10/11,"NZL AO","Management Group","Siemens AG",N/A,"Cash", ,"Completed"
"M&A",2007/10/15,"Severnaya Taiga Neftegaz","Gazprom PJSC","Chevron Corp",N/A,"Undisclosed", ,"Completed"
"M&A",2007/8/9,"Press Point International OOO,HDS CIS OOO","Sanoma Oyj","Lagardere SA",N/A,"Undisclosed", ,"Completed"
"M&A",2022/11/7,"Premiyum-SPA-Tekhnologii OOO","Private Investor","Harvia Oyj",N/A,"Undisclosed", ,"Pending"
"M&A",2022/11/14,"Sergeevskoe gold project/Russia","Unnamed Buyer","Orsu Metals Corp",N/A,"Cash", ,"Completed"
"M&A",2022/12/13,"Salym Petroleum Development NV","Gazprom Neft PJSC","Shell PLC",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2022/12/14,"Business/Russia","Unnamed Buyer","Holcim AG",N/A,"Cash", ,"Pending"
"M&A",2022/12/15,"Local customer support business/Russia","Unnamed Buyer","Telefonaktiebolaget LM Ericsson",N/A,"Cash", ,"Pending"
"M&A",2022/12/30,"Vostok Oil OOO","Fossil Group Inc","Vitol Holding BV,Mercantile & Maritime Energy Pte Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2022/10/5,"Russia business/GB Foods Europa","Samyoung System Co Ltd","GB Foods Europa SL/The",N/A,"Cash", ,"Completed"
"M&A",2022/10/19,"Welding & painting operations/Russia","Private Investor","Volvo AB",N/A,"Cash", ,"Completed"
"M&A",2022/10/24,"Portfolio of KFC Restaurants","Management Group","Yum! Brands Inc",N/A,"Cash", ,"Completed"
"M&A",2022/10/25,"Portfolio of Zara Stores/ Russia","Azadea Sal","Industria de Diseno Textil SA",N/A,"Undisclosed", ,"Pending"
"M&A",2022/10/26,"Kesto AO,Kesto Family OOO,OOO Kiilto-Klei Ramenskoye","Bergauf Stroitelnye Technologies OOO","Kiilto Family Oy",N/A,"Undisclosed", ,"Completed"
"INV",2023/1/11,"HeadHunter Group PLC","Kismet Capital Group","Highworld Investments Ltd/Cyprus",N/A,"Undisclosed", ,"Completed"
"INV",2010/12/2,"Gazprom PJSC","VEB.RF GK","E.ON SE",N/A,"Cash", ,"Completed"
"M&A",2010/12/10,"Santander Consumer Bank ZAO","Orient Express Bank PJSC","Banco Santander SA",N/A,"Cash", ,"Completed"
"M&A",2010/12/16,"Siemens Finance OOO","Siemens AG","Delta Private Equity Partners,Capital International Inc (Fund: Capital International Private Equity Fund IV LP)",N/A,"Cash", ,"Completed"
"M&A",2010/12/16,"Deltalizing ZAO","Siemens AG","Delta Private Equity Partners LLC",N/A,"Cash", ,"Completed"
"M&A",2010/12/24,"Onken OOO","Hochland Deutschland GmbH","Dr August Oetker KG",N/A,"Undisclosed", ,"Completed"
"M&A",2010/9/1,"Nidan Juices OJSC","Coca-Cola Co/The","Lion Capital LLP",N/A,"Undisclosed", ,"Completed"
"INV",2010/9/6,"St Petersburg Sale Co JSC","Inter RAO UES PJSC","Fortum Oyj",N/A,"Undisclosed", ,"Completed"
"INV",2010/9/6,"St Petersburg Sale Co JSC","Inter RAO UES PJSC","Fortum Oyj",N/A,"Undisclosed", ,"Completed"
"M&A",2010/9/20,"Norplat Ltd","Grangesberg Iron Ore PLC","Talisman Metals PLC",N/A,"Cash", ,"Completed"
"INV",2010/7/20,"Baltiyskiy Lizing AO/Sankt-Peterburg","ICT Cyprus Ltd","Vitalscope Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2010/7/28,"Texneft Inc","Tatneft PJSC","Devon Energy Corp",N/A,"Undisclosed", ,"Completed"
"INV",2012/2/6,"Laboratoriya Kasperskogo ZAO","Private Investor","General Atlantic LP",N/A,"Cash", ,"Completed"
"INV",2012/2/9,"Stolichnoye Kreditnoye Tovarishchestvo OAO","PROMAGROFOND","Societe Generale SA",N/A,"Undisclosed", ,"Completed"
"M&A",2012/2/15,"Sapato.ru","Internet Resheniya OOO","Kinnevik AB,Direct Group Corp,Intel Capital Corp (Fund: Intel Communications Fund),Fast Lane Ventures,eVenture Capital Partners II LLC (Fund: eVenture Fund I LP)",N/A,"Cash", ,"Completed"
"M&A",2008/6/10,"Vladpivo LLC","Abi Sab Group Holding Ltd","International Finance Corp,Detroit Investments Ltd Cyprus,A1",N/A,"Undisclosed", ,"Completed"
"M&A",2007/12/3,"TrefilArbed Rus","Severstal-Metiz JSC","ArcelorMittal SA",N/A,"Undisclosed", ,"Completed"
"INV",2007/12/5,"DIXY Group PJSC","Morgan Stanley","Citi Venture Capital International",N/A,"Undisclosed", ,"Completed"
"M&A",2007/12/21,"OKO Capital Vostok ZAO","Swedbank AB","OP Corporate Bank plc",N/A,"Undisclosed", ,"Completed"
"INV",2007/12/29,"Novatek PJSC","Bluebird Securities SA","SWGI Growth Fund",N/A,"Undisclosed", ,"Completed"
"INV",2007/12/30,"RosUkrEnergo AG","Group DF","Raiffeisen Zentralbank Oesterreich AG",N/A,"Undisclosed", ,"Completed"
"M&A",2008/7/7,"Limnotex Developments Ltd","Vimpel-Communications PJSC","Crowell Investments Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2008/7/17,"Verh-Isetsky Metallurgicheskiy Zavod OAO","Novolipetskiy Metallurgicheskiy Kombinat PAO","Duferco Group/Belgium",N/A,"Undisclosed", ,"Completed"
"M&A",2008/7/25,"Sladkovsko-Zarechnoe OOO","Mikhaylovskiy GOK OAO","Sz Regionoil Holdings Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2008/4/17,"Wessen Group","Schneider Electric SE","Ahlstrom Capital Oy",N/A,"Cash", ,"Completed"
"INV",2008/4/24,"Silvinit OJSC","Ri Realinvest SA","Royalpart SA",N/A,"Undisclosed", ,"Completed"
"M&A",2008/4/24,"Sto-Tikkurila OOO","STO SE & Co KGaA","Kemira Oyj",N/A,"Undisclosed", ,"Completed"
"M&A",2008/5/14,"Balchug OOO","J&T Finance Group AS","Haarmann Hemmelrath",N/A,"Undisclosed", ,"Completed"
"M&A",2008/3/11,"OTC Business","Bayer AG","Sagmel Inc",N/A,"Undisclosed", ,"Completed"
"INV",2008/2/13,"Astrakhanski Korabel OAO","ST Holding Ltd","Akastor ASA",N/A,"Cash", ,"Completed"
"M&A",2008/2/26,"Elcoteq ZAO","Flex Ltd","Elcoteq SE",N/A,"Undisclosed", ,"Terminated"
"M&A",2007/9/21,"Della","EQT Partners AB","Sanware",N/A,"Cash", ,"Completed"
"M&A",2023/6/23,"Russian business/Carlsberg AS","Unnamed Buyer","Carlsberg AS",N/A,"Cash", ,"Pending"
"INV",2023/8/11,"Demetra-Holding OOO","Unnamed Buyer","Marathon Oil Corp",N/A,"Undisclosed", ,"Completed"
"M&A",2023/8/18,"Powertrain Systems business/Russia","NPK Avtopribor OOO","Valeo SE",N/A,"Undisclosed", ,"Pending"
"M&A",2023/9/6,"Russian DPD business/Geopost SA","Potential Buyer","La Poste SA",N/A,"Cash", ,"Withdrawn"
"M&A",2023/9/7,"Russian businesses/British American Tobacco PLC,Belarusian businesses/British American Tobacco PLC","Management Group,BFI Holding LLC FZ","British American Tobacco PLC",N/A,"Cash", ,"Pending"
"M&A",2023/9/29,"Bank Intesa AO","Potential Buyer","Intesa Sanpaolo SpA",N/A,"Undisclosed", ,"Withdrawn"
"INV",2013/1/18,"Pivovarnja Moskva-Jefes ZAO","Anadolu Efes Biracilik Ve Malt Sanayii AS","European Bank for Reconstruction & Development",N/A,"Undisclosed", ,"Completed"
"M&A",2013/6/27,"Sredne-Vasyuganskoye OOO","RussNeft PJSC","SGO Sibgasoil Investments Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2013/6/27,"Eastern Europe business of Hyposwiss Private Bank AG Zurich","International Petroleum Investment Co","St Galler Kantonalbank AG",N/A,"Cash", ,"Completed"
"M&A",2013/3/12,"Shahta Jubileynaya OOO","Topprom ZAO","Evraz PLC",N/A,"Cash", ,"Completed"
"M&A",2013/3/28,"Renaissance Upravlenie Aktivami","Kazimir Partners UK Ltd","Renaissance Holdings Management Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2013/4/15,"Territoriya Kontaktov OOO","Telekom Ekspress ZAO","VEON Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2013/4/22,"Elvary Neftegaz AO","Rosneft Oil Co PJSC","BP PLC",N/A,"Undisclosed", ,"Completed"
"INV",2013/4/24,"Voronezhavia OAO","FK Aksioma ZAO","WAL Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2023/3/7,"Manufacturing facility/Russia","Sistema PJSFC","Volkswagen AG",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2023/3/15,"8 breweries/Russia","Anadolu Efes Biracilik Ve Malt Sanayii AS","Carlsberg AS",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2023/3/28,"11 Henkels Plants/Russia","Private Investor","Henkel AG & Co KGaA",N/A,"Cash", ,"Pending"
"M&A",2023/3/30,"Russian business/Swixx Biopharma SA","Eli Lilly & Co","Swixx Biopharma SA",N/A,"Cash", ,"Pending"
"M&A",2023/3/31,"Baby food business/Russia","GK Chernogolovka AO","Kraft Heinz Co/The",N/A,"Cash", ,"Completed"
"M&A",2023/5/4,"Russian location/Malaya Vishera","Gruppa Kompaniy Vologodskiye Lesopromyshlenniki AO","HASSLACHER DRAULAND Holzindustrie GmbH",N/A,"Cash", ,"Completed"
"M&A",2023/5/12,"Decathlon Store/Russia","Unnamed Buyer","Decathlon SA",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2023/5/26,"Mishlen OOO,Spetsialnyye Shiny OOO","Pauer Interneshnl-Metally OOO","Cie Generale des Etablissements Michelin SCA",N/A,"Undisclosed", ,"Pending"
"INV",2023/2/2,"Salym Petroleum Development NV","Gazprom Neft PJSC","Shell PLC",N/A,"Undisclosed", ,"Pending"
"INV",2023/2/16,"Cian PLC","Unnamed Buyer","Goldman Sachs Group Inc/The",N/A,"Cash", ,"Completed"
"M&A",2023/2/16,"3 factories/Russia","Luzales OOO,Slotex","Stichting INGKA Foundation",N/A,"Cash", ,"Completed"
"M&A",2023/2/17,"2 million sq m m of real estate/Russia","Potential Buyer","Stichting INGKA Foundation",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2023/2/18,"RNKO VK Platozhnyye Resheniya OOO","VK IPJSC","PJV Digital Forces Ltd",N/A,"Undisclosed", ,"Pending"
"M&A",2023/2/20,"Trilogy Park logistics park","Private Investor","PPF Real Estate Holding BV",N/A,"Cash", ,"Withdrawn"
"M&A",2023/2/20,"Logistics assets/St Petersburg & Novorossiysk","IG Finance Development Ltd","AP Moller - Maersk A/S",N/A,"Cash", ,"Completed"
