Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
"M&A",2004/11/22,"Dukat silver mine","Polymetal JSC","Pan American Silver Corp",20.67,"Cash", ,"Completed"
"INV",2011/7/22,"Melon Fashion Group OAO","Eastnine AB","Swedfund International AB",20.11,"Cash", ,"Completed"
"INV",2003/3/4,"Nizhny Novgorod Cellular Communications","VolgaTelecom","RTDC Holdings Inc",20.00,"Undisclosed", ,"Completed"
"M&A",2007/5/25,"Severgal ZAO","Severstal PAO","ArcelorMittal SA",20.00,"Cash", ,"Completed"
"M&A",2013/9/19,"Vysokogorskij Gornoobogatitelnyj Kombinat","NPRO Ural","Evraz PLC",20.00,"Cash",0.37,"Completed"
"M&A",2008/8/8,"Omggk AO","Dukat Mining and Geological Co","Kinross Gold Corp",20.00,"Cash", ,"Completed"
"M&A",2016/10/3,"Pixonic LLC","VK IPJSC","Kite Ventures,Ventech SAS (Fund: Ventech Capital III),TA Ventures,Addventure Venture Capital Fund (Fund: Addventure II)",20.00,"Cash", ,"Completed"
"M&A",2020/10/22,"Synterra Media JSC","Rostelecom PJSC","MTT OAO",19.64,"Cash", ,"Pending"
"M&A",2015/4/20,"ZDP Koboldo OAO","Global Polymetall LLC","Petropavlovsk PLC",17.69,"Cash", ,"Pending"
"M&A",2007/6/4,"Voikovskaya Building/Moscow","MMC Norilsk Nickel PJSC","ING Groep NV",16.99,"Cash", ,"Completed"
"M&A",2016/4/29,"OOO Ilyinskoye LLC","Yuzhuralzoloto ZAO","Petropavlovsk PLC",16.50,"Cash", ,"Pending"
"M&A",2001/2/27,"Russian assets","NK YUKOS OAO","Dundee Energy Ltd",15.99,"Cash", ,"Completed"
"INV",2005/11/8,"Hansabank OAO","European Bank for Reconstruction & Development","Swedbank AB",15.43,"Cash", ,"Completed"
"M&A",2014/6/6,"Affair OOO","Management Group,Kontron AG","Kontron AG",15.00,"Cash", ,"Completed"
"INV",2004/4/12,"ST Goloil ZAO","RussNeft PJSC","Caerus Operating LLC",15.00,"Cash", ,"Completed"
"M&A",2007/10/26,"Omolonskaya Zolotorudnaya Kompaniya OAO","Polymetal JSC","Kinross Gold Corp",15.00,"Cash", ,"Completed"
"M&A",2023/8/11,"Russian assets/Magna International Inc","Unnamed Buyer","Magna International Inc",15.00,"Cash", ,"Completed"
"M&A",2017/8/15,"Blackburn OAO","Alvogen Inc","Perrigo Co PLC",14.91,"Cash", ,"Completed"
"M&A",2013/3/1,"GeoStream Services Group OOO","Key Energy Services Inc","Glenavon Group SA",14.60,"Cash", ,"Completed"
"M&A",2006/6/5,"Enter Logistic CJSC","Lebedyansky JSC","Enter Consorcio Espanol de Distribucion Exterior SA",14.39,"Cash", ,"Completed"
"M&A",2004/7/9,"Various communications and media businesses","Communicorp Corp","MIG LLC",14.25,"Cash", ,"Completed"
"M&A",2012/12/11,"Olymp Ltd","Solidcore Resources PLC","Talisman Metals PLC",13.60,"Stock", ,"Completed"
"M&A",2008/4/9,"Svetloye gold project","Lundin Gold Inc","Freeport-McMoRan Exploration Corp",13.39,"Cash and Stock", ,"Completed"
"M&A",2008/10/15,"Valderama Investments Ltd","Rosinter Restaurants Holding PJSC","Rostik Investment Group Inc",12.20,"Cash", ,"Completed"
"M&A",2014/12/4,"Arkhangelsk assets","Unnamed Buyer,Lesozavod 25 OOO","RusForest AB",11.62,"Cash", ,"Completed"
"M&A",2015/9/30,"42 apartments","Ovaro Kiinteistosijoitus Oyj","YIT Oyj",11.52,"Cash", ,"Pending"
"INV",2008/1/15,"Rosbunker OOO","GTL Terminals Ltd","Goulding Partners Inc",11.31,"Cash and Stock", ,"Completed"
"M&A",2011/6/14,"Assets of Russian Retail Banking Business","Citigroup Inc","HSBC Holdings PLC",10.98,"Cash", ,"Completed"
"M&A",2011/7/31,"Ambassador brand","Strauss Coffee BV","Sucafina SA",10.40,"Cash", ,"Completed"
"M&A",2010/7/2,"Tambeyneftegas","Novatek PJSC","Gazprombank JSC,Volga Group/The",10.00,"Cash", ,"Completed"
"M&A",2022/11/29,"Office building/KMC Properties ASA","Unnamed Buyer","BEVEST ASA",9.93,"Cash", ,"Completed"
"M&A",2024/2/21,"Russian operations/Wienerberger AG","Private Investor","Wienerberger AG",9.73,"Cash", ,"Completed"
"M&A",2022/10/17,"Telko OOO","TD Khimik AO","Aspo Oyj",9.35,"Undisclosed", ,"Completed"
"M&A",2010/6/25,"Svetloye gold project","Polymetal JSC","Lundin Gold Inc",9.25,"Cash", ,"Completed"
"M&A",2018/2/12,"Kulturnaya Sluzhba OOO","Mobile TeleSystems PJSC","Cubichall Holdings Ltd",8.56,"Cash", ,"Completed"
"M&A",2001/4/11,"Taas-Yuryakh Neftegazodobycha OOO","Unnamed Buyer","Harbor Global Co Ltd",8.50,"Cash", ,"Completed"
"M&A",2014/3/3,"Boguchansky sawmill","Unnamed Buyer","RusForest AB",8.00,"Cash", ,"Completed"
"M&A",2016/6/22,"Century Project offices","MirLand Development Corp PLC","TMJK Holdings Ltd,Fadida Holdings Ltd",8.00,"Cash", ,"Completed"
"M&A",2009/2/2,"Russo-Forest Corp","Buffalo Coal Corp","Aberdeen International Inc,Orion Digital Corp,Forbes & Manhattan Inc,Lawrence Partners Fund,Technerego Ltd",7.95,"Stock", ,"Terminated"
"M&A",2015/12/9,"Intouch Strakhovanie OAO","NPF Blagosostoyanie","RSA Insurance Group LTD",7.58,"Cash", ,"Completed"
"M&A",2002/5/29,"Russian timber business","Successful Union Ltd","Harbor Global Co Ltd",7.55,"Cash and Debt", ,"Completed"
"M&A",2013/4/10,"Pedragon Investments Ltd","Fitzroy Ventures Ltd","Metro Baltic Horizons PLC",7.18,"Cash", ,"Completed"
"M&A",2002/5/22,"Vankor license/Siberia","TotalEnergies SE","Anglo Siberian Oil Co Ltd",6.98,"Undisclosed", ,"Terminated"
"M&A",2005/10/5,"Russian operations","Vostok Gas Ltd","Eniro Group AB",5.99,"Cash", ,"Completed"
"M&A",2023/6/15,"Coffee store/Russia","Private Investor","Starbucks Corp",5.99,"Cash", ,"Completed"
"M&A",2014/3/3,"Rusforest Angara OOO","Unnamed Buyer","RusForest AB",5.90,"Cash", ,"Completed"
"M&A",2015/11/27,"Stokmann AO/Moscow","Reviva Holdings Ltd","Lindex Group OYJ",5.30,"Cash", ,"Completed"
"INV",2015/12/22,"Unistream Commercial Bank JSC","Unnamed Buyer","Aurora Russia Ltd",4.97,"Cash", ,"Completed"
"M&A",2003/6/30,"Technocom Ltd LLC","Grosco Holding Ltd","MIG LLC",4.50,"Cash", ,"Completed"
"M&A",2014/7/11,"Lonas Tekhnologiya ZAO","Almaz Invest SRO","AFRY AB",4.41,"Cash", ,"Completed"
"INV",2023/8/2,"SRV Development LLC","Geomare Investments Ltd","SRV Group Oyj",4.40,"Cash", ,"Completed"
"M&A",2015/7/13,"Primorskoye property","Solidcore Resources PLC","Decamor Investments Ltd",4.35,"Stock", ,"Completed"
"M&A",2011/9/2,"Orenburg-GSM CJSC","Rostelecom PJSC","Nasdaq Inc",4.00,"Cash", ,"Completed"
"M&A",2019/10/18,"Pilot plant & technology","Evraz PLC","Rock Capital Partners LLC",3.89,"Cash", ,"Completed"
