Acquirer Financial Adviser,Acquirer Legal Adviser,Acquirer Termination Fee,Action ID,Amendment Date,Announce Date,Announced Equity Value (mil.),Announced Total Value (mil.),Cash Terms,Completion/Termination Date,Contingency Payment (Cash),Currency of Deal,Current/Completed Total Value,Deal Attributes,Deal Description,Deal Status,Deal Type,Has Contingency Payment,Merger Agreement Date,Nature of Bid,Net Debt,Payment Type,Percent Owned,Percent Sought,Proposal Date,Proposed Deal Type,Seller Financial Adviser,Seller Legal Adviser,Stock Terms,Target Financial Adviser,Target Legal Adviser,Target Termination Fee,Acquirer City of Domicile,Acquirer Country/Region,Acquirer Country/Region ISO Code,Acquirer Industry Sector,Acquirer Name,Acquirer Number of Employees,Acquirer SIC Name,Current Acquirer SIC Code,Current Seller SIC Code,Current Target SIC Code,Seller Country/Region,Seller Country/Region ISO Code,Seller Industry Sector,Seller Name,Seller SIC Name,Target City of Domicile,Target Country/Region,Target Country/Region ISO Code,Target Industry Group,Target Industry Sector,Target Industry Subgroup,Target Name,Target Number of Employees,Target SIC Name,EqV/Book Val,EqV/EBITDA,EqV/Rev,EqV/Total Assets,TV/Book Val,TV/EBITDA,TV/Rev,TV/Total Assets,Acquirer Shareholders,Central Bank of Russia,EC: European Commission,Federal Antimonopoly service of Russian Federation: FAC,Foreign Investment Commission,Ministry of Finance,Russian Ministry on Antitrust Policy,Seller Board of Directors,Target Shareholders
,, ,98413424, ,2014-11-06,N/A,N/A,N/A,2015-05-31,,EUR,N/A,"Cross Border, Asset Sale","Kommersant reported on 11/06/2014 that QIWI plc is in talks with Bank of Cyprus Pcl to buy its Money transfer system.  With no further information disclosed, this proposal has been withdrawn.",Withdrawn,AST,No, ,Friendly,0,Cash,0,100,2014-11-06,Negotiation,,, ,,, ,Nicosia,Russia,CY,Financials,QIWI plc,162,BUSINESS SVC,7389,N.A.,,Cyprus,CY,Financials,Bank of Cyprus Pcl, ,,Russia,,N.A.,N.A.,N.A.,Money transfer system,,, , , , , , , , ,,,,,,,,,
,, ,98887544, ,2014-12-18,N/A,N/A,N/A,2015-08-06,,EUR,N/A,"Cross Border, Asset Sale","On 08/06/2015, Sanoma OYJ announced that the Russian Government Commission for Monitoring Foreign Investments has decided not to approve sale of stake in publisher of Cosmopolitan and Esquire magazines in Russia. Sanoma is to continue strategic review for stake. .Sanoma OYJ announced the sale...",Terminated,AST,No, ,Friendly,0,Cash,0,50,2014-10-30,Preliminary Offer,Citi,, ,,, ,New York,United States,US,Communications,Hearst Communications Inc,,PERIODICALS,2721,N.A.,,Finland,FI,Communications,Sanoma Oyj, ,,Russia,,N.A.,N.A.,N.A.,Russian assets of Sanoma OYJ,,, , , , , , , , ,,,,,,,,,
,, ,99085888, ,2014-11-24,22.29,22.29,1000.0 Mln,2015-04-20,,RUB,22.29,"Cross Border, Majority Purchase",Petropavlovsk PLC announced the sale of ZDP Koboldo OAO to Rosszoloto LLC for RUB 1000.00M. The transaction was announced on 11/24/2014 and terminated on 4/20/2015.,Terminated,M&A,No, ,Friendly,0,Cash,0,95.699997, ,,,, ,,, , ,Russia,RU,Materials,Rosszoloto LLC,, ,N.A.,N.A.,1099,United Kingdom,RU,Materials,Petropavlovsk PLC, ,N.A,Russia,RU,Materials,Materials,Metals & Mining,ZDP Koboldo OAO,,METAL ORES NEC, , , , , , , , ,,,,,,,,,
,, ,99243555, ,2014-11-27,N/A,N/A,N/A,2016-05-31,,CZK,N/A,"Cross Border, Asset Sale","On 07/21/2015, Hospodarske said that PPF Group buys 2 office buildings in Moscow. On 11/27/2014, Vedomosti reported that PPF AS may buy one of the office buildings at the Metropolis business and trading center in Moscow. With no further information disclosed, this proposal has been withdrawn.",Withdrawn,AST,No, ,Friendly,0,Cash,0,100,2014-11-27,,,, ,,, ,Prague 6,Czech Republic,CZ,Financials,PPF AS,,BUS CONSULT,8748, ,,N.A., ,N.A.,, ,,Russia,,N.A.,N.A.,N.A.,Office building/Moscow,,, , , , , , , , ,,,,,,,,,
,, ,99282793, ,2014-11-28,N/A,N/A,N/A,2015-01-19,,NOK,N/A,"Company Takeover, Cross Border",Orkla ASA sold Orkla Brands Russia OJSC to Slavyanka-Lyuks OOO. The transaction was announced on 11/28/2014 and completed on 1/19/2015. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,Renessans K,Baker McKenzie, ,,, ,Staryy Oskol,Russia,RU,Consumer Staples,Slavyanka-Lyuks OOO,,CHOC/COCOA,2066,N.A.,N.A.,Norway,NO,Consumer Staples,Orkla ASA, ,Saint-Petersburg,Russia,RU,Consumer Staple Products,Consumer Staples,Food,Orkla Brands Russia OJSC,, , , , , , , , , ,,,,,,,,,
,, ,99562593, ,2014-12-04,N/A,11.62,11.618 Mln,2015-11-24,,USD,11.62,"Cross Border, Asset Sale",RusForest AB sold Arkhangelsk assets to a consortium led by Unnamed Buyer for USD 11.62M. The transaction was announced on 12/4/2014 and completed on 11/24/2015.,Completed,AST,No, ,Friendly,19,Cash,0,100, ,,Pareto Secs,Hogan Lovells US, ,,, ,,Russia,,Materials,"Unnamed Buyer,Lesozavod 25 OOO",,,,N.A.,,Sweden,SE,Materials,RusForest AB, ,,Russia,,Materials,Materials,"Forestry, Paper & Wood Products",Arkhangelsk assets,,, , , , , , , , ,,,,,,,,,
,, ,99598654, ,2014-12-05,N/A,N/A,N/A,2015-06-30,,RUB,N/A,Company Takeover,R-Farm AO announced the acquisition of SIA International Ltd. Financial terms of the transaction are undisclosed.,Withdrawn,M&A,No, ,Friendly,0,Undisclosed,0,100,2014-12-05,,,, ,,, ,Moscow,Russia,RU,Consumer Staples,R-Farm AO,,DRUG STORES,5912, ,N.A.,N.A., ,N.A.,, ,Moscow,Russia,RU,Health Care,Health Care,Health Care Facilities & Svcs,SIA International Ltd,, , , , , , , , , ,,,,,,,,,
,, ,100027398, ,2014-12-15,N/A,N/A,N/A,2015-03-10,,RUB,N/A,"Cross Border, Majority Purchase",Marcolin SpA acquired Zao Sover-M Sp. The transaction was announced on 12/15/2014 and completed on 3/10/2015. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,51, ,,,, ,,, ,Longarone,Italy,IT,Health Care,Marcolin SpA,1978, ,N.A., ,5047,N.A., ,N.A.,, ,Moscow,Russia,RU,Health Care,Health Care,Medical Equipment & Devices,Zao Sover-M Sp,,MED/HOSP EQUI, , , , , , , , ,,,,,,,,,
,, ,101300263, ,2015-01-12,2.35,2.35,148.0 Mln,2015-01-12,,RUB,2.35,Majority Purchase,CTC Media Inc acquired Caramba Media SRO for RUB 148.00M. The transaction was completed on 1/12/2015.,Completed,M&A,No, ,Friendly,0,Cash,0,51, ,,,, ,,, ,Moscow,Russia,RU,Communications,CTC Media Inc,,TV STATIONS,4833, ,N.A.,N.A., ,N.A.,, , ,Russia,RU,Media,Communications,Entertainment Content,Caramba Media SRO,, , , , , , , , , ,,,,,,,,,
,, ,101574647, ,2015-01-18,45.85,45.85,285.0 Mln,2015-05-01,,CNY,45.96,"Cross Border, Majority Purchase",Suzhou Yangtze New Materials Co Ltd acquired United New Material Co Ltd for CNY 285.00M. The transaction was announced on 1/18/2015 and completed on 5/1/2015.,Completed,M&A,No, ,Friendly,0,Cash,0,51, ,,,, ,,, ,Suzhou,China,CN,Consumer Discretionary,Suzhou Yangtze New Materials Co Ltd,160, ,N.A., ,N.A.,N.A., ,N.A.,, , ,Russia,RU,Materials,Materials,Chemicals,United New Material Co Ltd,, , , , , , , , , ,2015-03-26,,,,,,,,
Goldman Sachs,A&O Shearman LLP, ,101578259, ,2015-01-20,1474.19,1474.19,22.0/sh.,2015-09-24,,USD,1474.19,"Cross Border, Minority Purchase","On 09/24/2015, it was reported that Schlumberger Ltd will not extend its USD 1,700.00M agreement to buy a minority interest in Russia’s largest driller Eurasia Drilling Co, after a lack of regulatory approvals stalled the deal. On 01/20/2015, it is announced that Schlumberger Ltd is buying ...",Terminated,INV,No, ,Friendly,0,Cash,0,45.650002, ,,,, ,Sberbank CIB/Xenon Capital,Maples & Calder/Skadden Arps/Vinson & Elkins/Walkers, ,Houston,United States,US,Energy,SLB Ltd,109000,OIL/NG SVS NEC,1389, ,N.A.,N.A., ,N.A.,, ,Nicosia,Russia,CY,Oil & Gas,Energy,Oil & Gas Services & Equip,Eurasia Drilling Co Ltd,17765, ,2.72,3.87,1.09,1.2,2.72,3.87,1.09,1.2,,,,N/A,,,,,N/A
,, ,101890263, ,2015-01-12,N/A,N/A,N/A,2015-01-12,,RUB,N/A,"Company Takeover, Cross Border",DinoDirect Ltd acquired TDPRO. The transaction was completed on 1/12/2015. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,,, ,,, ,Yuzhong District,China,CN,Consumer Discretionary,DinoDirect Ltd,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Saint Petersburg,Russia,RU,Software & Tech Services,Technology,Software,TDPRO,, , , , , , , , , ,,,,,,,,,
,, ,101891055, ,2015-01-21,N/A,N/A,N/A,2015-01-21,,RUB,N/A,"Private Equity, Minority Purchase",Elbrus Capital OOO acquired a minority stake in Cian.ru. The transaction was completed on 1/21/2015. Financial terms of the transaction are undisclosed.,Completed,INV,No, ,Friendly,0,Undisclosed,0,27, ,,,, ,VTB Capital,, ,Moscow,Russia,RU,Financials,Elbrus Capital OOO,,MISC INVSTRS,6799, ,N.A.,N.A., ,N.A.,, , ,Russia,RU,Real Estate,Real Estate,Real Estate Owners & Developers,Cian.ru,, , , , , , , , , ,,,,,,,,,
,, ,101950571, ,2015-01-20,N/A,N/A,N/A,2015-01-20,,EUR,N/A,"Cross Border, Majority Purchase",ArcelorMittal SA sold Ugolnaya Kompaniya Severny Kuzbass OAO to Natsionalnaya Toplivnaya Kompaniya OOO. The transaction was completed on 1/20/2015. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,0, ,,,Baker McKenzie, ,,, , ,Russia,RU,Energy,Natsionalnaya Toplivnaya Kompaniya OOO,, ,N.A.,3312,1222,Luxembourg,LU,Materials,ArcelorMittal SA,BLAST FUR/MILL,Berezovsky,Russia,RU,Materials,Materials,Metals & Mining,Ugolnaya Kompaniya Severny Kuzbass OAO,,BITU COAL UNDR, , , , , , , , ,,,,,,,,,
,, ,102366730, ,2015-04-30,N/A,N/A,N/A,2015-08-06,,EUR,N/A,"Cross Border, Minority Purchase","Sanoma OYJ announced the sale of Delovoi Standard Ltd to Ivania Ltd. The transaction was announced on 04/30/2015 and was completed on 08/06/2015. Financial terms of the transaction are undisclosed. On 02/06/2015, Vedomosti reported that Sanoma OYJ was planning to sell its 33% stake in Russian...",Completed,INV,No, ,Friendly,0,Undisclosed,0,33,2015-02-06,On the Block,,, ,,, ,N.A,Russia,RU,Communications,Ivania Ltd,, ,N.A.,N.A.,N.A.,Finland,FI,Communications,Sanoma Oyj, , ,Russia,CY,Media,Communications,Publishing & Broadcasting,Delovoi Standard Ltd,, , , , , , , , , ,,,,,,,,,
