name,country,industry,grade_latest,action_type,action_text,writedown_usd_mn,sale_price_usd_mn,book_value_pre_usd_mn,exit_year,exit_quarter,data_source,notes
Breitling SA,Switzerland,Consumer Discretionary,A,sold,Fully exit Russia after selling its operations,,,,,,,
Bristol-Myers Squibb,United States,Health Care,A,sold,transfer business and exit completely,,,,,,,
British American Tobacco,United Kingdom,Consumer Staples,A,other,exit Russian operations,,,,,,,
British Petroleum (BP),United Kingdom,Energy,A,sold,Will divest from 20% Rosneft stake,,,,,,,
British Standards Institution (BSI),United Kingdom,Industrials,A,other,terminate all contractual relations &amp; discontinue services in Russia,,,,,,,
Broadridge Financial Solutions,United States,Financials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Bruker,United States,Industrials,A,suspended,Ceased operations in Russia,,,,,,,
Brunel,Netherlands,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Bryan Cave,United States,Industrials,A,other,exit Russian operations; local partners and counsel form new firms,,,,,,,
Bumble,United States,Communication Services,A,other,remove apps from app stores,,,,,,,
Bunge,United States,Consumer Staples,A,sold,Sold Russian Business,,,,,,,
CBC,Canada,Communication Services,A,other,Cease all reporting from Russia and all presence,,,,,,,
CCC,Poland,Consumer Discretionary,A,sold,Left Russia. Sold Subsidary,,,,,,,
CD Projekt,Poland,Communication Services,A,other,Halts all sales of products in Russia &amp; Belarus,,,,,,,
CERN,Switzerland,NGO,A,other,Will end cooperation with Russia in 2024,,,,,,,
CFA Institute,United States,NGO,A,other,Cease all business in Russia,,,,,,,
CMA CGM,France,Industrials,A,other,Completes Russia Exit,,,,,,,
CMS,Germany,Industrials,A,other,transfer Russian practice to local partners and counsel,,,,,,,
CRH,Ireland,Materials,A,sold,withdrawal from Russia,,,,,,,
Cadence,United States,Information Technology,A,other,terminate operations in Russia,,,,,,,
Calrec,United Kingdom,Consumer Discretionary,A,other,Cease all commercial activity with Russia,,,,,,,
Canara,India,Financials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Canva,Australia,Information Technology,A,sold,withdraw from Russia,,,,,,,
Cargotec,Finland,Industrials,A,other,Ramped Down Business,,,,,,,
Carlsberg,Denmark,Consumer Staples,A,sold,Finalises Russian asset sale to local buyer,,,,,,,
Carnival,United States,Consumer Discretionary,A,other,discontinue Russia itineraries,,,,,,,
Caverion,Finland,Industrials,A,sold,Withdrew from Russia,,,,,,,
Centrica,United Kingdom,Utilities,A,other,exit gas supply partnership with Gazprom,,,,,,,
Chanel,France,Consumer Discretionary,A,suspended,Stopped selling in Russia and to those with intent to sell in Russia,,,,,,,
