name,country,industry,grade_latest,action_type,action_text,writedown_usd_mn,sale_price_usd_mn,book_value_pre_usd_mn,exit_year,exit_quarter,data_source,notes
London Stock Exchange Group,United Kingdom,Financials,A,other,curtail Russian access to capital markets,,,,,,,
Lufthansa,Germany,Industrials,A,suspended,suspended flights and ended Russian aircraft maintenance,,,,,,,
Luxoft,Switzerland,Information Technology,A,other,exit Russian market,,,,,,,
LyondellBasell,Netherlands,Materials,A,other,end all business,,,,,,,
MAN,Germany,Industrials,A,other,"end delivery, supply of trucks, and sales to Russia",,,,,,,
MSCI,United States,Financials,A,other,curtail Russian access to capital markets,,,,,,,
MSU S.A.,Poland,Consumer Discretionary,A,suspended,ceased all business activities in Russia,,,,,,,
Maersk,Denmark,Industrials,A,sold,Divested all assets from Russia,,,,,,,
Makrochem SA,Poland,Industrials,A,other,Terminated all business with its Russian and Belarussian counterparts,,,,,,,
Mannheimer Swartling,Sweden,Industrials,A,other,end all operations,,,,,,,
Mantsinen,Finland,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Marsh McLennan,United States,Financials,A,sold,exit operations in Russia,,,,,,,
Marugame,Japan,Consumer Staples,A,sold,Fully exit Russia and end all franchises operating in Russia,,,,,,,
Maxima,Lithuania,Consumer Discretionary,A,other,Fully remove all Russian products and end Russian business,,,,,,,
Mayr-Melnhof,United Kingdom,Materials,A,sold,Fully exit Russia after selling its operations,,,,,,,
McCain Foods,Canada,Consumer Staples,A,other,end operations in Russia,,,,,,,
McDonald's,United States,Consumer Discretionary,A,sold,leave the Russian market &amp; sell Russian business,,,,,,,
McKinsey,United States,Industrials,A,other,exit Russian market completely,,,,,,,
Mercedes-Benz,Germany,Consumer Discretionary,A,suspended,Stopped manufacturing and exporting and will sell shares in subsidies,,,,,,,
MessageBird,Netherlands,Information Technology,A,other,"shut down API access, block SMS and voice traffic to Russian carriers",,,,,,,
Mondi,United Kingdom,Materials,A,other,sell Russian assets,,,,,,,
Monroe Energy,United States,Energy,A,suspended,stop imports of Russian crude oil,,,,,,,
Moog Inc.,United States,Industrials,A,other,exit Russian operations,,,,,,,
Moose Toys,Australia,Consumer Discretionary,A,other,Ended all shipments to Russia,,,,,,,
Morgan Advanced Materials,United Kingdom,Industrials,A,other,cease all trading with Russia.,,,,,,,
Morgan Lewis,United States,Industrials,A,other,close Russian offices,,,,,,,
Morrisons,United Kingdom,Consumer Staples,A,other,remove products from Russia,,,,,,,
NCAB Group AB,Sweden,Industrials,A,sold,sold assets and ceased operations in Russia,,,,,,,
NTT Data,Japan,Information Technology,A,sold,exit Russia,,,,,,,
Nasdaq,United States,Financials,A,other,curtail Russian access to capital markets,,,,,,,
Naspers,South Africa,Consumer Discretionary,A,sold,Ended Operations. Sold Avito.,,,,,,,
Nemetschek Group,Germany,Information Technology,A,other,No longer engaged in any Russian business,,,,,,,
Nemiroff,Ukraine,Consumer Staples,A,other,Revoke all licenses related to Russia and end all business there,,,,,,,
Netflix,United States,Communication Services,A,suspended,suspend service in Russia,,,,,,,
Netscout,United States,Information Technology,A,suspended,"pause all sales, support, and services in Russia",,,,,,,
Next,United Kingdom,Consumer Discretionary,A,sold,Fully wind down Russian business,,,,,,,
Nike,United States,Consumer Discretionary,A,sold,exit Russia,,,,,,,
Nissan,Japan,Consumer Discretionary,A,other,Exit from Russian Market,,,,,,,
Nokia,Finland,Information Technology,A,other,pulling out of Russia completely,,,,,,,
Nokian Tyres,Finland,Consumer Discretionary,A,other,meaningfully reduce production in Russia,,,,,,,
Nordea Bank,Finland,Financials,A,suspended,Ceased all operations,,,,,,,
Norton Rose Fulbright,United Kingdom,Industrials,A,other,exit from Russia,,,,,,,
Norwegian Cruise Lines,United States,Consumer Discretionary,A,other,discontinue Russian itineraries,,,,,,,
OBI,Germany,Consumer Discretionary,A,sold,Fully exit Russia after selling its operations,,,,,,,
Oceania Cruises,United States,Consumer Discretionary,A,other,discontinue Russian itineraries,,,,,,,
Oerlikon,Switzerland,Materials,A,other,sell Russian operations,,,,,,,
Olam Group,Singapore,Consumer Staples,A,sold,divest Russian operations,,,,,,,
Omnicom Media Group,United States,Communication Services,A,other,exit Russian operations,,,,,,,
Omron,Japan,Information Technology,A,sold,fully wind down Russian business,,,,,,,
OneWeb,United States,Communication Services,A,suspended,suspend use of Russian airspace,,,,,,,
Orica,Australia,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Orkla,Norway,Consumer Staples,A,other,exit Russian operations,,,,,,,
Orlen Lietuva,Poland,Energy,A,suspended,stopped Russian oil imports,,,,,,,
Orsted,Denmark,Utilities,A,other,end all gas purchases from Russia,,,,,,,
Otis Worldwide,United States,Industrials,A,sold,fully exit Russia through divesting business,,,,,,,
Owens Corning,United States,Industrials,A,other,expedite exit from Russia,,,,,,,
PFZW,Netherlands,Financials,A,sold,divest from all Russian assets,,,,,,,
PGL Esports,United States,Communication Services,A,other,exclusion of esports teams and individuals with connections to the Russian government from upcoming competition,,,,,,,
PHX,United States,Energy,A,sold,Fully exit Russia after selling its operations,,,,,,,
PKO BP,Poland,Financials,A,suspended,suspends transactions with Russian banks transactions in Russian ruble suspended,,,,,,,
PME pensioenfonds,Netherlands,Financials,A,sold,sell off all Russian investments,,,,,,,
PZU SA,Poland,Financials,A,other,reduced position in Russian bonds to zero,,,,,,,
Pandora,Denmark,Consumer Discretionary,A,suspended,suspend all business with Russia and Belarus,,,,,,,
Parker Hannifin,United States,Industrials,A,other,closed our office and warehouse facility in Moscow and no longer do business in this country,,,,,,,
Paul Smith,United Kingdom,Consumer Discretionary,A,other,Leaving Market,,,,,,,
Paulig,Finland,Consumer Staples,A,sold,withdraw from Russia,,,,,,,
Paysera,Lithuania,Financials,A,suspended,Close accounts of Russians and halt transfers to and from Russia,,,,,,,
Pensioenfonds Detailhandel,Netherlands,Financials,A,sold,sell off all Russian investments,,,,,,,
Pentair,United States,Industrials,A,other,exiting its business in Russia,,,,,,,
Petro,Austria,Energy,A,sold,Fully exit Russia after selling its operations,,,,,,,
Petrofac,United Kingdom,Energy,A,other,fully end all business operatins in R,,,,,,,
Pixabay,Germany,Consumer Discretionary,A,other,block Russian access,,,,,,,
Playrix,Ireland,Consumer Discretionary,A,other,Fully end operations in Russia,,,,,,,
Playtika,Israel,Information Technology,A,other,end Russian operations,,,,,,,
Polskie Górnictwo Naftowe i Gazownictwo SA,Poland,Energy,A,suspended,stopped gaz imports,,,,,,,
Ponsse PLC,Finland,Industrials,A,sold,divest Russian operations,,,,,,,
Postnord,Norway,Utilities,A,other,reject all Russian items,,,,,,,
Primo Water,United States,Consumer Staples,A,sold,Withdrew from Russia,,,,,,,
Princess Cruises,United States,Consumer Discretionary,A,other,reject bookings from Russia,,,,,,,
Prio,Portugal,Energy,A,suspended,ceased purchase of any products from Russian or directly related companies,,,,,,,
Publicis Groupe,France,Communication Services,A,other,cede ownership to local affiliates,,,,,,,
Pure Storage,United States,Information Technology,A,sold,fully wind down Russian business,,,,,,,
PwC,United States,Industrials,A,other,leaving Russia completely,,,,,,,
Qantas Airlines,Australia,Industrials,A,other,No longer flies over Russian territory,,,,,,,
R&amp;A,United States,Industrials,A,other,ban on all Russian competition,,,,,,,
RWS,United Kingdom,Industrials,A,sold,Fully wind down Russian business,,,,,,,
Raisio,United States,Consumer Staples,A,sold,Fully exit Russia after selling its operations,,,,,,,
Rational,Germany,Consumer Discretionary,A,other,Closed Russian Business,,,,,,,
Red Hat,United States,Information Technology,A,other,discontinue sales and services in Russia &amp; terminate partnerships,,,,,,,
Reface,Ukraine,Information Technology,A,other,Removed App  and updates of app in Russia,,,,,,,
Refinitiv,United Kingdom,Financials,A,other,end Russian access,,,,,,,
Regent Seven Seas Cruises,United States,Consumer Discretionary,A,other,discontinue Russian itineraries,,,,,,,
Rehau,Switzerland,Consumer Discretionary,A,sold,Fully exit Russia after selling its operations,,,,,,,
Renault,France,Consumer Discretionary,A,other,sell Renault Russia; transfer Moscow factory to city government and partner for local brand production,,,,,,,
Repsol,Spain,Energy,A,sold,Withdrew from Russia,,,,,,,
Resbud,Estonia,Industrials,A,sold,Withdrew from Russia,,,,,,,
Rewe,Germany,Consumer Discretionary,A,other,remove products from Russia from shelves,,,,,,,
Rimi,Latvia,Consumer Discretionary,A,other,remove products from Russia from shelves,,,,,,,
Rio Tinto,Australia,Materials,A,other,Terminated all commercial relationships with Russia,,,,,,,
Rocket Lawyer,United States,Information Technology,A,suspended,suspend Russian and Belarusian access to the platform,,,,,,,
Roku,United States,Communication Services,A,other,remove Kremlin-linked propaganda and ads,,,,,,,
Roland Berger,Germany,Industrials,A,other,end any activity for Russia,,,,,,,
Royal London,United Kingdom,Financials,A,sold,fully divest Russian assets,,,,,,,
Royal Swinkels Family Brewers,Netherlands,Consumer Staples,A,other,Terminated licence contract with MBC,,,,,,,
S Group (Suomen Osuuskauppojen Keskuskunta),Finland,Consumer Staples,A,other,close all operations,,,,,,,
S&amp;P 500 [S&amp;P Dow Jones Indices],United States,Financials,A,other,curtail Russian access to capital markets,,,,,,,
SKF,Sweden,Industrials,A,other,end sales and production in Russia,,,,,,,
SMAY,Poland,Industrials,A,other,end cooperation with Russia,,,,,,,
SRV,Finland,Industrials,A,sold,Sold its last remaining asset in Russia,,,,,,,
Salesforce,United States,Industrials,A,other,exit business relationships in Russia,,,,,,,
Sarantis Group,Greece,Consumer Staples,A,sold,Permanent withdrawal from Russian market,,,,,,,
Savills,United Kingdom,Real Estate,A,other,end partnerships in Russia,,,,,,,
Schneider Electric,France,Industrials,A,other,sell Russian assets to local management and exit completely,,,,,,,
Senior PLC,United Kingdom,Industrials,A,other,cease servicing Russian aircraft,,,,,,,
Sidley Austin,United States,Industrials,A,other,end all Russian relationships,,,,,,,
Siemens,Germany,Industrials,A,other,exit Russian market,,,,,,,
Slack,United States,Information Technology,A,other,exit Russian market completely,,,,,,,
Smurfit Kappa,Ireland,Materials,A,other,exit Russian market,,,,,,,
Societe Generale,France,Financials,A,other,cessation of all activities in Russia,,,,,,,
Sodexo,France,Industrials,A,other,ceded control of its operations in Russia,,,,,,,
SoftwareOne,Switzerland,Information Technology,A,sold,Fully exit Russia after selling its operations,,,,,,,
Sonos,United States,Consumer Discretionary,A,suspended,ceased all sales to this market at the onset of the war and blocked Russian state radio,,,,,,,
Spin Master,Canada,Consumer Discretionary,A,sold,fully exit Russia,,,,,,,
Squire Patton Boggs,United States,Industrials,A,other,leave Russia,,,,,,,
Stanley Black &amp; Decker,United States,Industrials,A,other,shut down Russian business,,,,,,,
Starbucks,United States,Consumer Discretionary,A,other,exit and no longer have a brand presence in Russia,,,,,,,
State Street,United States,Financials,A,other,curtail Russian access to capital markets,,,,,,,
Stora Enso,Finland,Materials,A,sold,divest packaging plants,,,,,,,
Storebrand,Norway,Financials,A,sold,divest all Russian holdings,,,,,,,
Strabag,Austria,Industrials,A,sold,winding down operations in Russia; terminating shareholder syndicate agreements with Deripaska,,,,,,,
Strava,United States,Information Technology,A,other,disable access in Russia,,,,,,,
Sulzer,Switzerland,Industrials,A,other,exit Russian market,,,,,,,
Svenska Handelsbanken,Sweden,Financials,A,sold,divest from all Russian investments,,,,,,,
Sylvamo,United States,Materials,A,sold,Sold operations in Russia,,,,,,,
Systembolaget,Sweden,Consumer Discretionary,A,other,remove all Russian alcohol from stores,,,,,,,
Sæplast,Iceland,Materials,A,suspended,Stopped all operations in Russia,,,,,,,
TDZ Turn,Czech Republic,Industrials,A,suspended,fully stopped trade with Russia,,,,,,,
TJ Maxx,United States,Consumer Discretionary,A,sold,divest Familia subsidiary,,,,,,,
TUI,Germany,Consumer Discretionary,A,sold,end brand-sharing agreement; had already exited,,,,,,,
Tata Steel,India,Materials,A,other,Replaced all Russian raw materials for operations; no presence in Russia,,,,,,,
Tchibo,Germany,Consumer Staples,A,other,sell Russian subsidiary,,,,,,,
TeamViewer,Germany,Information Technology,A,sold,withdraw from Russia/Belarus,,,,,,,
Technip Energies,France,Energy,A,other,No new business. Signed exit agreement on Arctic LNG 2,,,,,,,
Teknos,Finland,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Teknotherm Marine HVAC sp. z o.o.,Poland,Industrials,A,sold,complete withdrawal from Russia,,,,,,,
Teleperformance,France,Communication Services,A,sold,Withdrew from Russia,,,,,,,
Teradata,United States,Information Technology,A,suspended,stopped all business in Russia and ceased customer interactions and services with all Russian accounts.,,,,,,,
Terex Corporation,United States,Industrials,A,sold,fully withdraw from Russia,,,,,,,
Tetra Pak,Sweden,Industrials,A,other,completely left Russia,,,,,,,
Tietoevry,Finland,Information Technology,A,other,conclude total exit from Russia,,,,,,,
Tom Ford,United States,Consumer Discretionary,A,suspended,We have ceased all marketing and advertising,,,,,,,
Topsoe,Denmark,Energy,A,sold,Fully wind down all Russian business,,,,,,,
Toyota,Japan,Consumer Discretionary,A,suspended,stop production at its St. Petersburg plant and stop imports of vehicles,,,,,,,
Trane Technologies,Ireland,Industrials,A,sold,suspend all business activities indefinitely &amp; exit Russia,,,,,,,
TransferGo,United Kingdom,Financials,A,other,End all remittances to Russia,,,,,,,
Trimble,United States,Information Technology,A,other,Discontinue business operations in Russia,,,,,,,
TripAdvisor,United States,Communication Services,A,other,remove Kremlin-linked propaganda and ads,,,,,,,
Triumph Motorcycles,United Kingdom,Consumer Discretionary,A,other,Discontinued commercial activity in Russia,,,,,,,
Tunnock's,United Kingdom,Consumer Staples,A,other,discontinue supplies to Russia,,,,,,,
UEFA,Switzerland,NGO,A,other,ban Russian athletes from competing,,,,,,,
Uber,United States,Information Technology,A,sold,divest from partnership with Yandex,,,,,,,
Umbro,United Kingdom,Consumer Discretionary,A,sold,withdrawal from the Russian market,,,,,,,
Unilever,United Kingdom,Consumer Staples,A,sold,completed the sale of its Russian subsidiary to Arnest Group. The completion of the sale ends Unilever presence in Russia.,,,,,,,
United Airlines,United States,Industrials,A,other,no flying over Russian airspace,,,,,,,
United Internet Group,Germany,Information Technology,A,suspended,suspend all Russian contracts,,,,,,,
Universal,United States,Communication Services,A,sold,closing operations in Russia,,,,,,,
Uponor,Finland,Industrials,A,other,Completes Exit,,,,,,,
VTG,Germany,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Vaillant Group,Germany,Industrials,A,other,Terminated business activities in Russia,,,,,,,
Valeo,France,Consumer Discretionary,A,other,No longer have any industrial activities,,,,,,,
Valio,Finland,Consumer Staples,A,other,sell business and Viola brand to Velcom,,,,,,,
Valmet,Finland,Industrials,A,other,exit from Russia,,,,,,,
Van Oord,Netherlands,Industrials,A,sold,Full withdrawal from Russia,,,,,,,
VanEck,United States,Financials,A,other,liquidate Russian ETFs,,,,,,,
Vanguard,United States,Financials,A,suspended,suspend operations in Russia,,,,,,,
Velux,Denmark,Consumer Discretionary,A,sold,permanently close operations in Russia and Belarus,,,,,,,
Veon,Netherlands,Communication Services,A,sold,Fully divested from Russia and sale of its Russian business approved,,,,,,,
Vestas,Denmark,Energy,A,sold,Fully Withdrawn from Russia,,,,,,,
Vianor,Finland,Consumer Discretionary,A,other,terminate contract with Russian subsidiary,,,,,,,
Vinmonopolet,Norway,Consumer Staples,A,suspended,"stop sales of all Russian wine, spirits and strong beers in Norway",,,,,,,
Visteon,United States,Consumer Discretionary,A,suspended,Ceased business activity in Russia,,,,,,,
Vodafone,United Kingdom,Information Technology,A,suspended,suspend partner agreement with MTS,,,,,,,
Volaris Group,Canada,Information Technology,A,other,discontinue sales and support to Russia,,,,,,,
Volfas Engelman,Lithuania,Consumer Staples,A,sold,suspend investment and withdraw from Russian market,,,,,,,
Vorwerk Group,,,A,suspended,Stopped all product deliveries,,,,,,,
WIKA,Germany,Industrials,A,suspended,Suspended business in Russia,,,,,,,
WPP PLC,United Kingdom,Communication Services,A,other,leave Russia,,,,,,,
Waitrose,United Kingdom,Consumer Staples,A,other,remove products from Russia,,,,,,,
Walker's Shortbread,United Kingdom,Consumer Staples,A,other,cancel all future orders to Russia,,,,,,,
Wallenius Wilhelmsen,Norway,Consumer Discretionary,A,other,End all operations in Russia,,,,,,,
Wargaming,Belarus,Consumer Discretionary,A,sold,close operations; transfer of some business,,,,,,,
Wartsila,Finland,Industrials,A,other,Ended Activity,,,,,,,
WePlay,United States,Consumer Discretionary,A,other,terminate all Russian operations,,,,,,,
Wear Medicine,Poland,Consumer Discretionary,A,other,terminate cooperation with Russian partners,,,,,,,
Weir Group,United Kingdom,Industrials,A,sold,wind down Russian business in 2022,,,,,,,
Wex Inc.,United States,Information Technology,A,other,ending relationship with Lukoil and subsidiaries,,,,,,,
White &amp; Case,United States,Industrials,A,sold,wind down Russian operations,,,,,,,
Wienerberger,Austria,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Willis Towers Watson,United Kingdom,Financials,A,sold,Fully exit Russia and transfer ownership to local management,,,,,,,
Windstar Cruises,United States,Consumer Discretionary,A,other,Cancel all Russian cruises,,,,,,,
Winston &amp; Strawn,United States,Industrials,A,other,Close Russian office,,,,,,,
Women's Tennis Association,United States,NGO,A,suspended,Suspend Russian partnerships,,,,,,,
World Athletics Council,United States,NGO,A,other,Ban on all Russian competition,,,,,,,
World Boxing Association,Panama,NGO,A,other,Ban on all Russian competition,,,,,,,
World Boxing Organization,United States,NGO,A,other,Ban on all Russian competition,,,,,,,
World Rowing Federation,United States,NGO,A,other,Ban on all Russian competition,,,,,,,
World Rugby Union,Ireland,NGO,A,other,Ban on all Russian competition,,,,,,,
YIT,Finland,Industrials,A,other,Exits Russia projects,,,,,,,
ZET Chemie,Germany,Materials,A,other,still operating in Russia,,,,,,,
ZF Friedrichshafen,Germany,Consumer Discretionary,A,other,Ended all business in Russia,,,,,,,
Zepz,United Kingdom,Financials,A,other,Disable all Russian transactions,,,,,,,
Zott,Germany,Consumer Staples,A,other,discontinue business in preparation for liquidation,,,,,,,
Zurich Insurance Group,Switzerland,Financials,A,sold,sell Russian business to local team and exit market,,,,,,,
Zwack,Hungary,Consumer Staples,A,other,Terminated Business in Russia,,,,,,,
edX (2U),United States,Information Technology,A,sold,withdraw from all Russian partnerships,,,,,,,
3M,United States,Industrials,B,suspended,suspend operations in Russia,,,,,,,
ACCA,United Kingdom,Industrials,B,suspended,suspend operations in Russia and Belarus,,,,,,,
ADEO | Leroy Merlin,France,Consumer Discretionary,B,other,Will transfer control of Leroy Merlin,,,,,,,
ADP,United States,Information Technology,B,suspended,suspend sales/services to Russia,,,,,,,
AICPA,United States,Industrials,B,sold,suspend sale and delivery of services indefinitely,,,,,,,
AL-KO Vehicle Technology,Germany,Consumer Discretionary,B,suspended,suspend deliveries to Russia and Belarus,,,,,,,
AM Best,United States,Information Technology,B,suspended,suspend all commercial activities to Russian clients,,,,,,,
AMD,United States,Information Technology,B,suspended,suspend all sales to Russia,,,,,,,
ARM,United Kingdom,Information Technology,B,suspended,suspend shipments according to sanctions,,,,,,,
AXA,France,Financials,B,suspended,stop underwriting new insurance &amp; stop renewals,,,,,,,
AXA Investments Managers,France,Financials,B,suspended,pause investments &amp; prohibit new subscriptions,,,,,,,
Abrdn,United Kingdom,Financials,B,suspended,suspend investments in Russia and reduce exposure,,,,,,,
Acer,Taiwan,Information Technology,B,suspended,suspend its business in Russia,,,,,,,
Acne Studios,Sweden,Consumer Discretionary,B,other,put all Russian activities on hold,,,,,,,
Adamed,Poland,Health Care,B,suspended,halt sales and production in Russia,,,,,,,
Air Astana,Kazakhstan,Industrials,B,suspended,suspend flights to Russia,,,,,,,
Air France,France,Industrials,B,suspended,halt flight to and from Russia,,,,,,,
Air Malta,Malta,Industrials,B,suspended,suspend all flights to and from Russia,,,,,,,
Airbnb,United States,Consumer Discretionary,B,other,block bookings and block accepting guests in Russia,,,,,,,
Akamai,United States,Information Technology,B,suspended,suspend sales in Russia,,,,,,,
Akin Gump,United States,Industrials,B,suspended,suspend operations in Russia,,,,,,,
Alaska Airlines,United States,Industrials,B,suspended,temporarily suspend partnership with Russian airline,,,,,,,
Alimentation Couche-Tard,Canada,Consumer Staples,B,suspended,suspend operations,,,,,,,
Alstom,France,Industrials,B,suspended,suspend shipments to Russia,,,,,,,
Amazon,United States,Consumer Discretionary,B,suspended,suspend operations in Russia,,,,,,,
Ambarella,United States,Information Technology,B,suspended,suspend shipments into Russia,,,,,,,
Amdocs,United States,Information Technology,B,suspended,stop all new sales of product and services in Russia,,,,,,,
Amer Sports,Finland,Consumer Discretionary,B,other,Intention to discontinue business in Russia,,,,,,,
American Express,United States,Financials,B,suspended,suspend operations in Russia,,,,,,,
Amica,Poland,Consumer Discretionary,B,suspended,suspended Russian exports,,,,,,,
Analog Devices,United States,Information Technology,B,suspended,suspend sales to Russia according to sanctions,,,,,,,
Ansys,United States,Information Technology,B,suspended,suspend all sales and business activity,,,,,,,
Aon PLC,United Kingdom,Financials,B,suspended,suspend operations in Russia,,,,,,,
Apple,United States,Information Technology,B,suspended,suspend all official site sales; turn off select apps and services,,,,,,,
Arla,Denmark,Consumer Staples,B,other,suspends all operations,,,,,,,
Asian Infrastructure Investment Bank,China,Financials,B,other,curtail Russian access to capital markets,,,,,,,
Asos,United Kingdom,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Association of International Certified Professional Accountants,United States,Industrials,B,other,indefinite suspension of services within Russia,,,,,,,
Aston Martin,United Kingdom,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Asus,Taiwan,Information Technology,B,suspended,suspend shipments to Russia,,,,,,,
Atlassian,Australia,Information Technology,B,suspended,Suspended software sales to Russia,,,,,,,
Audi,Germany,Consumer Discretionary,B,suspended,suspend operations at Kaluga assembly plant,,,,,,,
Australia Post,Australia,Communication Services,B,suspended,Suspend all business with Russia,,,,,,,
Austrian Airlines,Austria,Industrials,B,other,Cancel Russian flights until July,,,,,,,
Autodesk,United States,Information Technology,B,suspended,suspend operations in Russia,,,,,,,
Avast,Czech Republic,Information Technology,B,suspended,suspend all operations in Russia,,,,,,,
Axis Communication,Sweden,Consumer Discretionary,B,suspended,Suspend all product shipments to Russia,,,,,,,
Azerbaijan Airlines,Azerbaijan,Industrials,B,suspended,suspend flights to Russia,,,,,,,
B Lab,United States,NGO,B,suspended,suspend Russian companies from obtaining certifications,,,,,,,
BCG,United States,Industrials,B,suspended,suspend operations; Moscow office ope,,,,,,,
BMC,United States,Information Technology,B,suspended,suspend all business with Russia &amp; Belarus,,,,,,,
BMW,Germany,Consumer Discretionary,B,suspended,suspend exports to and production in Russia,,,,,,,
BNP Paribas,France,Financials,B,suspended,suspend new business in Russia/curtail financing,,,,,,,
BUDVAR Centrum Sp. z.o.o.,Poland,Industrials,B,suspended,Suspended Activity,,,,,,,
Badminton World Federation,Malaysia,NGO,B,other,cancel all tournaments,,,,,,,
Bain,United States,Industrials,B,suspended,suspend consulting for all Russian businesses,,,,,,,
Bang &amp; Olufsen,Denmark,Information Technology,B,suspended,suspended deliveries and sales to Russia,,,,,,,
Bank of China,China,Financials,B,other,curtail Russian access to capital markets,,,,,,,
Bentley,United States,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Big Fish Games,United States,Communication Services,B,suspended,suspend downloadable game business in Russia,,,,,,,
Bitdefender,Romania,Information Technology,B,suspended,suspend all sales to Russia,,,,,,,
BlackBerry,Canada,Information Technology,B,other,cease all activities in Russia,,,,,,,
Boeing,United States,Industrials,B,suspended,suspend operations in Russia/titanium purchases,,,,,,,
Bombardier,Canada,Industrials,B,other,restrict Russian business,,,,,,,
Boohoo Group,United Kingdom,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Boosteroid Cloud Gaming,United Arab Emirates,Information Technology,B,suspended,suspend services to Russia,,,,,,,
Boryszew,Poland,Materials,B,suspended,suspended operations in Russia,,,,,,,
Brav,Norway,Consumer Discretionary,B,suspended,suspend sales and operations in Russia,,,,,,,
Bridgestone Tire,Japan,Consumer Discretionary,B,suspended,suspend manufacturing in Russia and shipments into,,,,,,,
Brinks,United States,Consumer Discretionary,B,suspended,Suspended business in Russia,,,,,,,
British Airways,United Kingdom,Industrials,B,other,cancel Russian flights,,,,,,,
Brown-Forman,United States,Consumer Staples,B,suspended,suspend commercial operations in Russia,,,,,,,
Brunico Communications,Canada,Communication Services,B,other,Put all business with Russia on hold,,,,,,,
Budweiser Budvar,Czech Republic,Consumer Staples,B,other,suspends production and supply of beer,,,,,,,
Bulgaria Air,Bulgaria,Industrials,B,suspended,suspend flights to Russia,,,,,,,
Bulgarian Postbank,Bulgaria,Financials,B,suspended,stop operations in Russian ruble,,,,,,,
Burberry,United Kingdom,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Buta Airways,Azerbaijan,Industrials,B,suspended,suspend flights to Russia,,,,,,,
CBRE,United States,Real Estate,B,other,discontinue Russian business,,,,,,,
CME Group,United States,Financials,B,suspended,suspend acceptance of certain Russian commodities,,,,,,,
CNH Industrial,United Kingdom,Industrials,B,suspended,suspend sales to Russia,,,,,,,
Callaway Golf,United States,Consumer Discretionary,B,suspended,Suspended business in Russia,,,,,,,
Canada Goose,Canada,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Canadian Tire,Canada,Consumer Discretionary,B,other,close Russia stores,,,,,,,
Canon,Japan,Information Technology,B,suspended,suspend deliveries in Russia,,,,,,,
Canonical,United Kingdom,Information Technology,B,suspended,suspend support &amp; professional services,,,,,,,
Capgemini,France,Information Technology,B,suspended,stop services to Russia,,,,,,,
Cargolux,Luxembourg,Industrials,B,suspended,suspend all shipments into and through Russia,,,,,,,
Ceratizit,Luxembourg,Industrials,B,suspended,Stop all deliveries to Russia and Belarus. Still distributes through distributors,,,,,,,
Chemours,United States,Materials,B,suspended,Suspended business in Russia,,,,,,,
Chevron,United States,Energy,B,other,"Pausing all transactions and sales of refining products, lubricants, and chemicals",,,,,,,
Chipperfield,United Kingdom,Industrials,B,suspended,suspend operations in Russia,,,,,,,
Chopard,Switzerland,Consumer Discretionary,B,suspended,Suspend all Russian diamond purchases,,,,,,,
Cie Automotives,Spain,Consumer Discretionary,B,other,temporarily shut down aluminum plant,,,,,,,
Ciena,United States,Communication Services,B,suspended,suspend business operations in Russia,,,,,,,
Citrix,United States,Information Technology,B,suspended,suspend all sales to Russia,,,,,,,
Cleary Gottlieb,United States,Industrials,B,suspended,suspend Russian operations,,,,,,,
Clorox,United States,Consumer Staples,B,suspended,suspend business activity in Russia,,,,,,,
Clutch,United States,Industrials,B,suspended,suspend all business activity,,,,,,,
Cogent Communications,United States,Communication Services,B,other,cut all internet to Russia,,,,,,,
Columbia Sportswear,United States,Consumer Discretionary,B,suspended,pause taking any new orders from Russian distributor &amp; remove future sales,,,,,,,
Commerzbank,Germany,Financials,B,suspended,suspend operations in Russia,,,,,,,
Conde Nast,United States,Communication Services,B,suspended,suspend all publishing operations,,,,,,,
Conformis,United States,Health Care,B,suspended,suspend distribution operations in Russia,,,,,,,
Costco,United States,Consumer Discretionary,B,suspended,stopped purchases from Russia,,,,,,,
Coupa,United States,Information Technology,B,suspended,suspend operations in Russia,,,,,,,
Coursera,United States,Consumer Discretionary,B,suspended,platform available; refrain from financial benefits from the region; suspend some content,,,,,,,
Credit Agricole,France,Financials,B,suspended,suspend all services in Russia,,,,,,,
Criteo,France,Consumer Discretionary,B,other,Discontinued Operations,,,,,,,
Crocs,United States,Consumer Discretionary,B,suspended,suspend D2C business,,,,,,,
Curve,United Kingdom,Financials,B,other,no longer allow Russian payment cards &amp; transaction in RUB,,,,,,,
Cyprus Airways,Cyprus,Industrials,B,suspended,suspend flights to Russia,,,,,,,
DACHSER,Germany,Industrials,B,other,End all transports to Russia,,,,,,,
DAF,Netherlands,Consumer Discretionary,B,suspended,Suspend business in Russia,,,,,,,
