name,country,industry,grade_latest,patents_total,api_status
Daikin,Japan,Industrials,A,94340,ok
Danfoss,Denmark,Industrials,A,28738,ok
Dechert,United States,Industrials,A,65,ok
Deezer,France,Communication Services,A,14,ok
Deichmann,Germany,Consumer Discretionary,A,331,ok
Dell,United States,Information Technology,A,42537,ok
Deloitte,United States,Industrials,A,218,ok
Delta Air Lines,United States,Industrials,A,100,ok
Dentsu International,United Kingdom,Communication Services,A,0,ok
Deugro,Germany,Industrials,A,0,ok
Deutsche Bank,Germany,Financials,A,696,ok
Deutsche Telekom,Germany,Communication Services,A,14043,ok
Digicert,United States,Information Technology,A,325,ok
Dino Polska,Poland,Consumer Staples,A,0,ok
Docker,United States,Information Technology,A,86,ok
Domino's Pizza,United States,Consumer Discretionary,A,12,ok
Donaldson Company,United States,Industrials,A,2450,ok
Dr. Oetker,Germany,Consumer Staples,A,11,ok
Draftkings,United States,Consumer Discretionary,A,103,ok
Duisburger Hafen,Germany,Industrials,A,6,ok
ELA Container,Germany,Industrials,A,7,ok
ELKO Group,Latvia,Information Technology,A,0,ok
ENEOS,Japan,Energy,A,3191,ok
EPAM,United States,Information Technology,A,10,ok
EY,United States,Industrials,A,238,ok
EarthDaily Analytics,United States,Industrials,A,34,ok
Eastnine,Sweden,Industrials,A,0,ok
Edeka,Germany,Consumer Staples,A,7,ok
Ejot,Germany,Industrials,A,2023,ok
Electronic Arts,United States,Communication Services,A,1628,ok
Elisa Esports,Finland,NGO,A,0,ok
Elopak,Norway,Materials,A,2582,ok
Emerson Electric,United States,Industrials,A,10950,ok
Endeavour Group,Australia,Consumer Staples,A,7,ok
Enel,Italy,Utilities,A,1518,ok
EnerSys,United States,Industrials,A,320,ok
Energizer,United States,Industrials,A,2331,ok
Eni,Italy,Energy,A,7566,ok
Equinor,Norway,Energy,A,2612,ok
Espersen,Denmark,Consumer Staples,A,101,ok
Essity,,,A,6965,ok
Etsy,United States,Consumer Discretionary,A,193,ok
Euroins,Bulgaria,Financials,A,0,ok
Euronet Worldwide,United States,Financials,A,76,ok
Eurovision,United Kingdom,NGO,A,27,ok
Eversheds Sutherland,United Kingdom,Industrials,A,1,ok
Evonik,Germany,Materials,A,51070,ok
Expedia,United States,Consumer Discretionary,A,320,ok
Exxonmobil,United States,Energy,A,55186,ok
FICO,United States,Information Technology,A,2704,ok
FL Smidth,Denmark,Industrials,A,28,ok
FMC Corporation,United States,Materials,A,3141,ok
Fantasy Premier League,United Kingdom,Consumer Discretionary,A,0,ok
Faurecia | Forvia,France,Consumer Discretionary,A,0,ok
Fazer,Finland,Consumer Staples,A,275,ok
Fennovoima,Finland,Energy,A,0,ok
Fiskars,Finland,Consumer Discretionary,A,4061,ok
Five9,United States,Information Technology,A,60,ok
Flowserve,United States,Industrials,A,2275,ok
Fonterra,New Zealand,Consumer Staples,A,1202,ok
Ford,United States,Consumer Discretionary,A,191337,ok
Formula One,United Kingdom,Communication Services,A,62,ok
Fortum,Finland,Utilities,A,948,ok
Freedom Holding,Kazakhstan,Financials,A,0,ok
Freshfields,United Kingdom,Industrials,A,0,ok
Fugro,Netherlands,Industrials,A,968,ok
Fujifilm,Japan,Information Technology,A,202008,ok
G2A,Netherlands,Communication Services,A,0,ok
GC Rieber,Norway,Industrials,A,0,ok
GM,United States,Consumer Discretionary,A,138019,ok
GXO Logistics,United States,Industrials,A,0,ok
Galp,Portugal,Energy,A,1,ok
Game Insight,Lithuania,Consumer Discretionary,A,0,ok
Gameloft,France,Information Technology,A,3,ok
Garmin,United States,Consumer Discretionary,A,2228,ok
Gaz-System,Poland,Utilities,A,8,ok
Geberit,Switzerland,Industrials,A,4846,ok
Georg Fischer,Switzerland,Industrials,A,2716,ok
Gerry Weber,Germany,Consumer Discretionary,A,0,ok
Gett,Israel,Industrials,A,84,ok
Global Fashion Group,Luxembourg,Consumer Discretionary,A,0,ok
Global Foundries,United States,Information Technology,A,249,ok
GoDaddy,United States,Information Technology,A,5,ok
Goodvalley,Denmark,Consumer Staples,A,0,ok
Gowling,Canada,Industrials,A,9,ok
Grant Thornton,United States,Industrials,A,14,ok
Grid Dynamics,United States,Information Technology,A,2,ok
Grundfos,Denmark,Industrials,A,4918,ok
H&amp;M,Sweden,Consumer Discretionary,A,1,ok
HP Enterprise (Independent from HP Inc.),United States,Information Technology,A,0,ok
HP Inc.,United States,Information Technology,A,38,ok
Halewood,United Kingdom,Consumer Staples,A,24,ok
Halliburton,United States,Energy,A,98488,ok
Halyk Bank,Kazakhstan,Financials,A,0,ok
Hampidjan,Iceland,Industrials,A,247,ok
Haniel,Germany,Materials,A,452,ok
Hansgrohe,Germany,Consumer Discretionary,A,4041,ok
Hard Rock Café,United States,Consumer Staples,A,0,ok
Harvia,Finland,Consumer Discretionary,A,140,ok
Hays plc,United Kingdom,Industrials,A,0,ok
Hearst Communications,United States,Communication Services,A,1,ok
Heidrick &amp; Struggles,United States,Industrials,A,0,ok
Heineken,Netherlands,Consumer Staples,A,4619,ok
Heinzmann,Germany,Industrials,A,560,ok
Hempel,Denmark,Industrials,A,1490,ok
Henkel,Germany,Consumer Staples,A,107275,ok
Herbert Smith Freehills,Australia,Industrials,A,0,ok
Hertz,United States,Consumer Discretionary,A,2105,ok
Hesburger,Finland,Consumer Discretionary,A,0,ok
Hogan Lovells,United Kingdom,Industrials,A,8,ok
Holcim,Switzerland,Materials,A,2814,ok
Home Credit,Czech Republic,Financials,A,1,ok
Honeywell,United States,Industrials,A,131949,ok
Hortex,Poland,Consumer Staples,A,14,ok
Houthoff,Netherlands,Industrials,A,11,ok
Huhtamaki,Finland,Materials,A,2528,ok
Hypertherm Associates,Netherlands,Industrials,A,0,ok
Hyve,United Kingdom,Consumer Discretionary,A,110,ok
IBM,United States,Information Technology,A,521362,ok
ID Logistics,France,Industrials,A,0,ok
IDEXX Labs,United States,Health Care,A,0,ok
IMAX,Canada,Consumer Discretionary,A,1503,ok
IMCD,Netherlands,Industrials,A,2,ok
IMI Plc,United Kingdom,Materials,A,15,ok
ISS,Denmark,Industrials,A,590,ok
Icosagen,Estonia,Industrials,A,71,ok
Ikea,Sweden,Consumer Discretionary,A,2973,ok
Imperial Brands,United Kingdom,Consumer Staples,A,0,ok
InPost,Poland,Industrials,A,7,ok
Inchcape,United Kingdom,Industrials,A,44,ok
Incoff Aerospace,Slovakia,Industrials,A,0,ok
Inditex,Spain,Consumer Discretionary,A,11,ok
Infineon,Germany,Information Technology,A,104172,ok
Insydium,United Kingdom,Industrials,A,0,ok
Intercontinental Exchange,United States,Financials,A,323,ok
Intercontinental Hotels (IHG),United Kingdom,Consumer Discretionary,A,0,ok
International Biathlon Union,Austria,NGO,A,0,ok
International Boxing Federation,France,NGO,A,0,ok
International Cat Federation,Canada,NGO,A,0,ok
International Cycling Union,United States,NGO,A,0,ok
International Ice Hockey Federation,Switzerland,NGO,A,0,ok
International Olympic Committee,Switzerland,NGO,A,0,ok
International Paper,United States,Materials,A,2265,ok
International Paralympic Committee,Germany,NGO,A,0,ok
International Skating Union,Switzerland,NGO,A,0,ok
International Weightlifting Federation,Switzerland,NGO,A,0,ok
Interpublic Group,United States,Communication Services,A,0,ok
Intracom Telecom,Greece,Communication Services,A,7,ok
Iveco,Italy,Industrials,A,7921,ok
J Sainsbury,United Kingdom,Consumer Staples,A,9,ok
JD Sports,United Kingdom,Consumer Discretionary,A,0,ok
JKX,United Kingdom,Energy,A,0,ok
JLL,United States,Real Estate,A,35,ok
JYSK,Denmark,Consumer Discretionary,A,71,ok
Jabil,United States,Information Technology,A,2805,ok
Jamie Oliver,United Kingdom,Consumer Staples,A,0,ok
Jan de Nul,Luxembourg,Industrials,A,123,ok
JetBrains,Czech Republic,Information Technology,A,0,ok
John Wood Group,United Kingdom,Industrials,A,2,ok
Johnson Matthey,United Kingdom,Materials,A,22576,ok
Jotun,Norway,Materials,A,786,ok
Jägermeister,Germany,Consumer Staples,A,1,ok
KION Group,Germany,Industrials,A,2,ok
KLP,Norway,Financials,A,42,ok
KPMG,United States,Industrials,A,292,ok
Kalnapilis-Taurus,Lithuania,Consumer Staples,A,0,ok
Kamstrup,Denmark,Utilities,A,1004,ok
Kearney,United States,Industrials,A,3232,ok
Kelly,United States,Industrials,A,21252,ok
Kemira,Finland,Consumer Discretionary,A,10787,ok
Kennametal,United States,Industrials,A,13048,ok
Kennedys,United States,Industrials,A,13,ok
Kesko,Finland,Consumer Staples,A,14,ok
Kiilto,Finland,Materials,A,38,ok
Kingspan,Ireland,Industrials,A,1871,ok
Kinross Gold,Canada,Materials,A,0,ok
Knorr-Bremse,Germany,Industrials,A,31145,ok
Koch Industries,United States,Industrials,A,15,ok
Kofax,United States,Information Technology,A,590,ok
Koskisen,Finland,Industrials,A,92,ok
Krispy Kreme,United States,Consumer Discretionary,A,5,ok
L'Occitane,France,Consumer Discretionary,A,7,ok
LVMH,France,Consumer Discretionary,A,3757,ok
Lamb Weston,United States,Consumer Staples,A,768,ok
Latham &amp; Watkins,United States,Industrials,A,0,ok
Lear Corporation,United States,Consumer Discretionary,A,4831,ok
Legrand,France,Industrials,A,11811,ok
Leica Camera AG,Germany,Information Technology,A,680,ok
Leptos Estates,Cyprus,Real Estate,A,0,ok
Lifan,China,Consumer Discretionary,A,6593,ok
Lincoln Electric,United States,Industrials,A,1294,ok
Lindab,Sweden,Industrials,A,1114,ok
Lindstrom Group,Finland,Consumer Discretionary,A,0,ok
Lindt-Sprungli,Switzerland,Consumer Staples,A,13,ok
Linklaters,United Kingdom,Industrials,A,3,ok
Lloyd's Register,United Kingdom,Industrials,A,11,ok
Logitech,Switzerland,Information Technology,A,3224,ok
London Stock Exchange Group,United Kingdom,Financials,A,1,ok
Lufthansa,Germany,Industrials,A,2129,ok
Luxoft,Switzerland,Information Technology,A,0,ok
LyondellBasell,Netherlands,Materials,A,573,ok
MAN,Germany,Industrials,A,397674,ok
MSCI,United States,Financials,A,3,ok
MSU S.A.,Poland,Consumer Discretionary,A,0,ok
Maersk,Denmark,Industrials,A,2436,ok
Makrochem SA,Poland,Industrials,A,0,ok
Mannheimer Swartling,Sweden,Industrials,A,0,ok
Mantsinen,Finland,Industrials,A,84,ok
Marsh McLennan,United States,Financials,A,5,ok
Marugame,Japan,Consumer Staples,A,82,ok
Maxima,Lithuania,Consumer Discretionary,A,297,ok
Mayr-Melnhof,United Kingdom,Materials,A,720,ok
McCain Foods,Canada,Consumer Staples,A,543,ok
McDonald's,United States,Consumer Discretionary,A,23,ok
McKinsey,United States,Industrials,A,148,ok
Mercedes-Benz,Germany,Consumer Discretionary,A,21702,ok
MessageBird,Netherlands,Information Technology,A,21,ok
Mondi,United Kingdom,Materials,A,2318,ok
Monroe Energy,United States,Energy,A,0,ok
Moog Inc.,United States,Industrials,A,2295,ok
Moose Toys,Australia,Consumer Discretionary,A,11,ok
Morgan Advanced Materials,United Kingdom,Industrials,A,57,ok
Morgan Lewis,United States,Industrials,A,44,ok
Morrisons,United Kingdom,Consumer Staples,A,16,ok
NCAB Group AB,Sweden,Industrials,A,0,ok
NTT Data,Japan,Information Technology,A,3938,ok
Nasdaq,United States,Financials,A,1458,ok
Naspers,South Africa,Consumer Discretionary,A,0,ok
Nemetschek Group,Germany,Information Technology,A,0,ok
Nemiroff,Ukraine,Consumer Staples,A,137,ok
Netflix,United States,Communication Services,A,2965,ok
Netscout,United States,Information Technology,A,892,ok
Next,United Kingdom,Consumer Discretionary,A,6430,ok
Nike,United States,Consumer Discretionary,A,47694,ok
Nissan,Japan,Consumer Discretionary,A,221751,ok
Nokia,Finland,Information Technology,A,211519,ok
Nokian Tyres,Finland,Consumer Discretionary,A,161,ok
Nordea Bank,Finland,Financials,A,14,ok
Norton Rose Fulbright,United Kingdom,Industrials,A,7,ok
Norwegian Cruise Lines,United States,Consumer Discretionary,A,0,ok
OBI,Germany,Consumer Discretionary,A,820,ok
Oceania Cruises,United States,Consumer Discretionary,A,0,ok
Oerlikon,Switzerland,Materials,A,25546,ok
Olam Group,Singapore,Consumer Staples,A,0,ok
Omnicom Media Group,United States,Communication Services,A,2,ok
Omron,Japan,Information Technology,A,90516,ok
OneWeb,United States,Communication Services,A,29,ok
Orica,Australia,Industrials,A,2302,ok
Orkla,Norway,Consumer Staples,A,301,ok
Orlen Lietuva,Poland,Energy,A,0,ok
Orsted,Denmark,Utilities,A,53,ok
Otis Worldwide,United States,Industrials,A,0,ok
Owens Corning,United States,Industrials,A,16372,ok
PFZW,Netherlands,Financials,A,0,ok
PGL Esports,United States,Communication Services,A,0,ok
PHX,United States,Energy,A,9,ok
PKO BP,Poland,Financials,A,0,ok
PME pensioenfonds,Netherlands,Financials,A,0,ok
PZU SA,Poland,Financials,A,0,ok
Pandora,Denmark,Consumer Discretionary,A,577,ok
Parker Hannifin,United States,Industrials,A,12101,ok
Paul Smith,United Kingdom,Consumer Discretionary,A,40,ok
Paulig,Finland,Consumer Staples,A,80,ok
Paysera,Lithuania,Financials,A,0,ok
Pensioenfonds Detailhandel,Netherlands,Financials,A,0,ok
Pentair,United States,Industrials,A,2802,ok
Petro,Austria,Energy,A,10545,ok
Petrofac,United Kingdom,Energy,A,54,ok
Pixabay,Germany,Consumer Discretionary,A,0,ok
Playrix,Ireland,Consumer Discretionary,A,0,ok
Playtika,Israel,Information Technology,A,41,ok
Polskie Górnictwo Naftowe i Gazownictwo SA,Poland,Energy,A,0,ok
Ponsse PLC,Finland,Industrials,A,0,ok
Postnord,Norway,Utilities,A,15,ok
Primo Water,United States,Consumer Staples,A,26,ok
Princess Cruises,United States,Consumer Discretionary,A,0,ok
Prio,Portugal,Energy,A,148,ok
Publicis Groupe,France,Communication Services,A,6,ok
Pure Storage,United States,Information Technology,A,6255,ok
PwC,United States,Industrials,A,279,ok
Qantas Airlines,Australia,Industrials,A,0,ok
R&amp;A,United States,Industrials,A,5,ok
RWS,United Kingdom,Industrials,A,222,ok
Raisio,United States,Consumer Staples,A,1248,ok
Rational,Germany,Consumer Discretionary,A,2966,ok
Red Hat,United States,Information Technology,A,9944,ok
Reface,Ukraine,Information Technology,A,7,ok
Refinitiv,United Kingdom,Financials,A,493,ok
Regent Seven Seas Cruises,United States,Consumer Discretionary,A,0,ok
Rehau,Switzerland,Consumer Discretionary,A,8974,ok
Renault,France,Consumer Discretionary,A,73221,ok
Repsol,Spain,Energy,A,1895,ok
Resbud,Estonia,Industrials,A,0,ok
Rewe,Germany,Consumer Discretionary,A,16,ok
Rimi,Latvia,Consumer Discretionary,A,35,ok
Rio Tinto,Australia,Materials,A,1915,ok
Rocket Lawyer,United States,Information Technology,A,23,ok
Roku,United States,Communication Services,A,3225,ok
Roland Berger,Germany,Industrials,A,0,ok
Royal London,United Kingdom,Financials,A,17,ok
Royal Swinkels Family Brewers,Netherlands,Consumer Staples,A,0,ok
S Group (Suomen Osuuskauppojen Keskuskunta),Finland,Consumer Staples,A,0,ok
S&amp;P 500 [S&amp;P Dow Jones Indices],United States,Financials,A,0,ok
SKF,Sweden,Industrials,A,43926,ok
SMAY,Poland,Industrials,A,47,ok
SRV,Finland,Industrials,A,9,ok
Salesforce,United States,Industrials,A,12270,ok
Sarantis Group,Greece,Consumer Staples,A,0,ok
Savills,United Kingdom,Real Estate,A,0,ok
Schneider Electric,France,Industrials,A,34758,ok
Senior PLC,United Kingdom,Industrials,A,0,ok
Sidley Austin,United States,Industrials,A,7,ok
Siemens,Germany,Industrials,A,820630,ok
Slack,United States,Information Technology,A,1873,ok
Smurfit Kappa,Ireland,Materials,A,1133,ok
Societe Generale,France,Financials,A,512,ok
Sodexo,France,Industrials,A,8,ok
SoftwareOne,Switzerland,Information Technology,A,0,ok
Sonos,United States,Consumer Discretionary,A,6143,ok
Spin Master,Canada,Consumer Discretionary,A,1910,ok
Squire Patton Boggs,United States,Industrials,A,0,ok
Stanley Black &amp; Decker,United States,Industrials,A,3,ok
Starbucks,United States,Consumer Discretionary,A,1410,ok
State Street,United States,Financials,A,409,ok
Stora Enso,Finland,Materials,A,7700,ok
Storebrand,Norway,Financials,A,0,ok
Strabag,Austria,Industrials,A,939,ok
Strava,United States,Information Technology,A,79,ok
Sulzer,Switzerland,Industrials,A,43127,ok
Svenska Handelsbanken,Sweden,Financials,A,17,ok
Sylvamo,United States,Materials,A,0,ok
Systembolaget,Sweden,Consumer Discretionary,A,0,ok
Sæplast,Iceland,Materials,A,2,ok
TDZ Turn,Czech Republic,Industrials,A,0,ok
TJ Maxx,United States,Consumer Discretionary,A,0,ok
TUI,Germany,Consumer Discretionary,A,156,ok
Tata Steel,India,Materials,A,3051,ok
Tchibo,Germany,Consumer Staples,A,634,ok
TeamViewer,Germany,Information Technology,A,37,ok
Technip Energies,France,Energy,A,911,ok
Teknos,Finland,Industrials,A,40,ok
Teknotherm Marine HVAC sp. z o.o.,Poland,Industrials,A,0,ok
Teleperformance,France,Communication Services,A,88,ok
Teradata,United States,Information Technology,A,1801,ok
Terex Corporation,United States,Industrials,A,119,ok
Tetra Pak,Sweden,Industrials,A,8045,ok
Tietoevry,Finland,Information Technology,A,0,ok
Tom Ford,United States,Consumer Discretionary,A,8,ok
Topsoe,Denmark,Energy,A,11048,ok
Toyota,Japan,Consumer Discretionary,A,547778,ok
Trane Technologies,Ireland,Industrials,A,11,ok
TransferGo,United Kingdom,Financials,A,1,ok
Trimble,United States,Information Technology,A,6468,ok
TripAdvisor,United States,Communication Services,A,7,ok
Triumph Motorcycles,United Kingdom,Consumer Discretionary,A,14,ok
Tunnock's,United Kingdom,Consumer Staples,A,0,ok
UEFA,Switzerland,NGO,A,8,ok
Uber,United States,Information Technology,A,5025,ok
Umbro,United Kingdom,Consumer Discretionary,A,130,ok
Unilever,United Kingdom,Consumer Staples,A,114884,ok
United Airlines,United States,Industrials,A,144,ok
United Internet Group,Germany,Information Technology,A,0,ok
Universal,United States,Communication Services,A,79766,ok
Uponor,Finland,Industrials,A,4638,ok
VTG,Germany,Industrials,A,80,ok
Vaillant Group,Germany,Industrials,A,145,ok
Valeo,France,Consumer Discretionary,A,115064,ok
Valio,Finland,Consumer Staples,A,1850,ok
Valmet,Finland,Industrials,A,28508,ok
Van Oord,Netherlands,Industrials,A,143,ok
VanEck,United States,Financials,A,18,ok
Vanguard,United States,Financials,A,8090,ok
Velux,Denmark,Consumer Discretionary,A,461,ok
Veon,Netherlands,Communication Services,A,40,ok
Vestas,Denmark,Energy,A,15081,ok
Vianor,Finland,Consumer Discretionary,A,13,ok
Vinmonopolet,Norway,Consumer Staples,A,0,ok
Visteon,United States,Consumer Discretionary,A,14834,ok
Vodafone,United Kingdom,Information Technology,A,9327,ok
Volaris Group,Canada,Information Technology,A,0,ok
Volfas Engelman,Lithuania,Consumer Staples,A,0,ok
Vorwerk Group,,,A,0,ok
WIKA,Germany,Industrials,A,839,ok
WPP PLC,United Kingdom,Communication Services,A,0,ok
Waitrose,United Kingdom,Consumer Staples,A,10,ok
Walker's Shortbread,United Kingdom,Consumer Staples,A,0,ok
Wallenius Wilhelmsen,Norway,Consumer Discretionary,A,2,ok
Wargaming,Belarus,Consumer Discretionary,A,88,ok
Wartsila,Finland,Industrials,A,913,ok
WePlay,United States,Consumer Discretionary,A,8,ok
Wear Medicine,Poland,Consumer Discretionary,A,0,ok
Weir Group,United Kingdom,Industrials,A,74,ok
Wex Inc.,United States,Information Technology,A,8,ok
White &amp; Case,United States,Industrials,A,0,ok
Wienerberger,Austria,Industrials,A,1186,ok
Willis Towers Watson,United Kingdom,Financials,A,0,ok
Windstar Cruises,United States,Consumer Discretionary,A,0,ok
Winston &amp; Strawn,United States,Industrials,A,0,ok
Women's Tennis Association,United States,NGO,A,0,ok
World Athletics Council,United States,NGO,A,0,ok
World Boxing Association,Panama,NGO,A,0,ok
World Boxing Organization,United States,NGO,A,0,ok
World Rowing Federation,United States,NGO,A,0,ok
World Rugby Union,Ireland,NGO,A,0,ok
YIT,Finland,Industrials,A,310,ok
ZET Chemie,Germany,Materials,A,0,ok
ZF Friedrichshafen,Germany,Consumer Discretionary,A,12269,ok
Zepz,United Kingdom,Financials,A,0,ok
Zott,Germany,Consumer Staples,A,140,ok
Zurich Insurance Group,Switzerland,Financials,A,0,ok
Zwack,Hungary,Consumer Staples,A,77,ok
edX (2U),United States,Information Technology,A,0,ok
3M,United States,Industrials,B,129473,ok
ACCA,United Kingdom,Industrials,B,74,ok
ADEO | Leroy Merlin,France,Consumer Discretionary,B,0,ok
ADP,United States,Information Technology,B,3735,ok
AICPA,United States,Industrials,B,0,ok
AL-KO Vehicle Technology,Germany,Consumer Discretionary,B,0,ok
AM Best,United States,Information Technology,B,0,ok
AMD,United States,Information Technology,B,1276,ok
ARM,United Kingdom,Information Technology,B,11406,ok
AXA,France,Financials,B,208,ok
AXA Investments Managers,France,Financials,B,0,ok
Abrdn,United Kingdom,Financials,B,6,ok
Acer,Taiwan,Information Technology,B,22931,ok
Acne Studios,Sweden,Consumer Discretionary,B,0,ok
Adamed,Poland,Health Care,B,820,ok
Air Astana,Kazakhstan,Industrials,B,0,ok
Air France,France,Industrials,B,139,ok
Air Malta,Malta,Industrials,B,0,ok
Airbnb,United States,Consumer Discretionary,B,2385,ok
Akamai,United States,Information Technology,B,2220,ok
Akin Gump,United States,Industrials,B,3,ok
Alaska Airlines,United States,Industrials,B,40,ok
Alimentation Couche-Tard,Canada,Consumer Staples,B,5,ok
Alstom,France,Industrials,B,42500,ok
Amazon,United States,Consumer Discretionary,B,40607,ok
