name,country,industry,grade_latest,patents_total,api_status
Ambarella,United States,Information Technology,B,476,ok
Amdocs,United States,Information Technology,B,1020,ok
Amer Sports,Finland,Consumer Discretionary,B,353,ok
American Express,United States,Financials,B,5277,ok
Amica,Poland,Consumer Discretionary,B,230,ok
Analog Devices,United States,Information Technology,B,22021,ok
Ansys,United States,Information Technology,B,680,ok
Aon PLC,United Kingdom,Financials,B,0,ok
Apple,United States,Information Technology,B,173050,ok
Arla,Denmark,Consumer Staples,B,1839,ok
Asian Infrastructure Investment Bank,China,Financials,B,0,ok
Asos,United Kingdom,Consumer Discretionary,B,16,ok
Association of International Certified Professional Accountants,United States,Industrials,B,0,ok
Aston Martin,United Kingdom,Consumer Discretionary,B,434,ok
Asus,Taiwan,Information Technology,B,674,ok
Atlassian,Australia,Information Technology,B,1598,ok
Audi,Germany,Consumer Discretionary,B,59802,ok
Australia Post,Australia,Communication Services,B,7,ok
Austrian Airlines,Austria,Industrials,B,0,ok
Autodesk,United States,Information Technology,B,3821,ok
Avast,Czech Republic,Information Technology,B,388,ok
Axis Communication,Sweden,Consumer Discretionary,B,1,ok
Azerbaijan Airlines,Azerbaijan,Industrials,B,0,ok
B Lab,United States,NGO,B,557,ok
BCG,United States,Industrials,B,134,ok
BMC,United States,Information Technology,B,3460,ok
BMW,Germany,Consumer Discretionary,B,2041,ok
BNP Paribas,France,Financials,B,106,ok
BUDVAR Centrum Sp. z.o.o.,Poland,Industrials,B,0,ok
Badminton World Federation,Malaysia,NGO,B,10,ok
Bain,United States,Industrials,B,1562,ok
Bang &amp; Olufsen,Denmark,Information Technology,B,1,ok
Bank of China,China,Financials,B,36522,ok
Bentley,United States,Consumer Discretionary,B,6218,ok
Big Fish Games,United States,Communication Services,B,54,ok
Bitdefender,Romania,Information Technology,B,893,ok
BlackBerry,Canada,Information Technology,B,25939,ok
Boeing,United States,Industrials,B,97025,ok
Bombardier,Canada,Industrials,B,15463,ok
Boohoo Group,United Kingdom,Consumer Discretionary,B,0,ok
Boosteroid Cloud Gaming,United Arab Emirates,Information Technology,B,0,ok
Boryszew,Poland,Materials,B,23,ok
Brav,Norway,Consumer Discretionary,B,113,ok
Bridgestone Tire,Japan,Consumer Discretionary,B,4468,ok
Brinks,United States,Consumer Discretionary,B,413,ok
British Airways,United Kingdom,Industrials,B,323,ok
Brown-Forman,United States,Consumer Staples,B,76,ok
Brunico Communications,Canada,Communication Services,B,0,ok
Budweiser Budvar,Czech Republic,Consumer Staples,B,2,ok
Bulgaria Air,Bulgaria,Industrials,B,0,ok
Bulgarian Postbank,Bulgaria,Financials,B,0,ok
Burberry,United Kingdom,Consumer Discretionary,B,147,ok
Buta Airways,Azerbaijan,Industrials,B,0,ok
CBRE,United States,Real Estate,B,48,ok
CME Group,United States,Financials,B,177,ok
CNH Industrial,United Kingdom,Industrials,B,5615,ok
Callaway Golf,United States,Consumer Discretionary,B,5450,ok
Canada Goose,Canada,Consumer Discretionary,B,54,ok
Canadian Tire,Canada,Consumer Discretionary,B,201,ok
Canon,Japan,Information Technology,B,746583,ok
Canonical,United Kingdom,Information Technology,B,44,ok
Capgemini,France,Information Technology,B,42,ok
Cargolux,Luxembourg,Industrials,B,6,ok
Ceratizit,Luxembourg,Industrials,B,1240,ok
Chemours,United States,Materials,B,6707,ok
Chevron,United States,Energy,B,47342,ok
Chipperfield,United Kingdom,Industrials,B,162,ok
Chopard,Switzerland,Consumer Discretionary,B,401,ok
Cie Automotives,Spain,Consumer Discretionary,B,0,ok
Ciena,United States,Communication Services,B,6520,ok
Citrix,United States,Information Technology,B,10666,ok
Cleary Gottlieb,United States,Industrials,B,0,ok
Clorox,United States,Consumer Staples,B,4372,ok
Clutch,United States,Industrials,B,5028,ok
Cogent Communications,United States,Communication Services,B,0,ok
Columbia Sportswear,United States,Consumer Discretionary,B,672,ok
Commerzbank,Germany,Financials,B,44,ok
Conde Nast,United States,Communication Services,B,1,ok
Conformis,United States,Health Care,B,806,ok
Costco,United States,Consumer Discretionary,B,11,ok
Coupa,United States,Information Technology,B,281,ok
Coursera,United States,Consumer Discretionary,B,68,ok
Credit Agricole,France,Financials,B,25,ok
Criteo,France,Consumer Discretionary,B,89,ok
Crocs,United States,Consumer Discretionary,B,709,ok
Curve,United Kingdom,Financials,B,427,ok
Cyprus Airways,Cyprus,Industrials,B,0,ok
DACHSER,Germany,Industrials,B,0,ok
DAF,Netherlands,Consumer Discretionary,B,1213,ok
DHL,Germany,Industrials,B,65,ok
DJI,China,Information Technology,B,,"error:HTTPSConnectionPool(host='api.lens.org', port=443): Max retries exceeded with url: /patent/search (Caused by SSLError(CertificateError(""hostname 'api.lens.org' doesn't match either of 'gateway.hsia.sonifi.net', 'www.gateway.hsia.sonifi.net'"")))"
DKV Mobility,Germany,Information Technology,B,0,ok
DSV A/S,Denmark,Industrials,B,0,ok
Daimler Truck,Germany,Consumer Discretionary,B,2950,ok
Damen,Netherlands,Industrials,B,438,ok
Danaher,United States,Health Care,B,603,ok
Danone,France,Consumer Staples,B,3856,ok
Danske Bank,Denmark,Financials,B,2,ok
Dassault Aviation,France,Industrials,B,482,ok
Dassault Systèmes,France,Information Technology,B,40,ok
Debevoise &amp; Plimpton,United States,Industrials,B,0,ok
Decathlon,France,Consumer Discretionary,B,2915,ok
Deckers,United States,Consumer Discretionary,B,931,ok
Demant,Denmark,Health Care,B,75,ok
Denso,Japan,Consumer Discretionary,B,254519,ok
Depositphotos,Ukraine,Consumer Discretionary,B,0,ok
Diadora,Italy,Consumer Discretionary,B,234,ok
Diageo,United Kingdom,Consumer Staples,B,569,ok
Diebold Nixdorf,United States,Information Technology,B,3175,ok
DirecTV,United States,Communication Services,B,3407,ok
Discover,United States,Communication Services,B,636,ok
Discovery,United States,Communication Services,B,21497,ok
Disney,United States,Communication Services,B,8625,ok
Dreamstime,United States,Communication Services,B,0,ok
DuPont,United States,Materials,B,22539,ok
Dyson,Singapore,Consumer Discretionary,B,21726,ok
ECFMG,United States,Industrials,B,0,ok
EDF,France,Utilities,B,324,ok
ESET,Slovakia,Information Technology,B,33,ok
Edrington,United Kingdom,Consumer Staples,B,77,ok
Egon Zehnder,United States,Industrials,B,1,ok
Electrolux,Sweden,Consumer Discretionary,B,39293,ok
Elsevier,Netherlands,Communication Services,B,564,ok
Embraer,Brazil,Industrials,B,1396,ok
Epiroc,Sweden,Consumer Staples,B,2736,ok
Eppendorf SE,Germany,Health Care,B,1064,ok
Epson,Japan,Consumer Discretionary,B,313217,ok
Equinix,United States,Real Estate,B,600,ok
Ericsson,Sweden,Information Technology,B,287133,ok
Esri,United Kingdom,Information Technology,B,71,ok
Estee Lauder,United States,Consumer Staples,B,549,ok
Etex,Belgium,Communication Services,B,1680,ok
Eurasian Resources Group,Luxembourg,Materials,B,0,ok
European University Association,Belgium,NGO,B,0,ok
Exiger,United States,Industrials,B,13,ok
Exor,Netherlands,Financials,B,16,ok
FANUC,Japan,Industrials,B,60926,ok
FIBA,Switzerland,NGO,B,43,ok
FIFA,Switzerland,Industrials,B,10,ok
Famur,Poland,Industrials,B,261,ok
Farfetch,United Kingdom,Consumer Discretionary,B,26,ok
FedEx,United States,Industrials,B,984,ok
Ferragamo,Italy,Consumer Discretionary,B,246,ok
Ferrari,Italy,Consumer Discretionary,B,10719,ok
Fidelity,United States,Financials,B,2283,ok
Finnlines,Finland,Industrials,B,78,ok
Fitch,United States,Financials,B,1443,ok
Fiverr,Israel,Consumer Discretionary,B,0,ok
Fluidra,Spain,Industrials,B,170,ok
Forest Stewardship Council (FSC),Germany,NGO,B,0,ok
Fortinet,United States,Information Technology,B,2647,ok
Foster + Partners,United Kingdom,Industrials,B,9,ok
Fujitsu,Japan,Information Technology,B,512451,ok
Fédération Internationale de Motocyclisme,Switzerland,NGO,B,0,ok
Ganni,Denmark,Consumer Discretionary,B,40,ok
Gap Inc,United States,Consumer Discretionary,B,78,ok
Gasum,Finland,Energy,B,10,ok
Generac,United States,Industrials,B,717,ok
Gestamp,Spain,Consumer Discretionary,B,1248,ok
GetYourGuide,Switzerland,Consumer Discretionary,B,0,ok
Goodyear,United States,Consumer Discretionary,B,46190,ok
Grainpro,United States,Materials,B,37,ok
Grammarly,United States,Information Technology,B,98,ok
Graphisoft,Hungary,Information Technology,B,26,ok
Grupa Azoty,Poland,Materials,B,210,ok
Grupo Antolín,Spain,Consumer Discretionary,B,201,ok
Grupo Bimbo,Mexico,Consumer Staples,B,300,ok
HARIBO,Germany,Consumer Staples,B,6,ok
HHLA,Germany,Financials,B,12,ok
HMM,South Korea,Industrials,B,5,ok
Hannover Re,Germany,Financials,B,0,ok
Hapag Lloyd,Germany,Industrials,B,11,ok
Harley-Davidson,United States,Consumer Discretionary,B,1212,ok
Hasbro,United States,Consumer Discretionary,B,1927,ok
Heraeus,Germany,Industrials,B,29764,ok
Herbalife,United States,Consumer Staples,B,70,ok
Hermes,France,Consumer Discretionary,B,7122,ok
Herzog &amp; de Meuron,Switzerland,Industrials,B,0,ok
Hexagon,Sweden,Information Technology,B,5269,ok
Hindalco,India,Materials,B,56,ok
Hitachi Construction,Japan,Industrials,B,32044,ok
Honda,Japan,Consumer Discretionary,B,298292,ok
Honey Group,Finland,Consumer Staples,B,3,ok
Hugo Boss,Germany,Consumer Discretionary,B,17,ok
Hunkemoller,Netherlands,Consumer Discretionary,B,5,ok
Husqvarna,Sweden,Consumer Discretionary,B,12963,ok
Hyundai,South Korea,Consumer Discretionary,B,285170,ok
ICBC,China,Financials,B,818,ok
Iberia,Spain,Industrials,B,1165,ok
Icecat,Netherlands,Industrials,B,0,ok
Illinois Tool Works,United States,Industrials,B,64352,ok
Indeed,United States,Information Technology,B,176,ok
Institute of Internal Auditors,United States,Industrials,B,0,ok
Intel,United States,Information Technology,B,257449,ok
Interactive Advertising Bureau,United States,Industrials,B,1,ok
Intercomm Foods,Greece,Consumer Staples,B,0,ok
International Canoe Federation,Switzerland,NGO,B,0,ok
International Federation of Sport Climbing,Italy,NGO,B,0,ok
International Tennis Federation,United Kingdom,NGO,B,0,ok
Intertek,United States,Industrials,B,955,ok
Intuit,United States,Information Technology,B,7146,ok
Isuzu,Japan,Consumer Discretionary,B,32141,ok
JCB,United Kingdom,Industrials,B,827,ok
Jablotron,Czech Republic,Consumer Discretionary,B,19,ok
Japan Credit Bureau (JCB),Japan,Financials,B,0,ok
Johnson Controls,Ireland,Industrials,B,26974,ok
Julipedra,Portugal,Materials,B,0,ok
Jungheinrich,Germany,Industrials,B,5031,ok
Juniper Networks,United States,Information Technology,B,12543,ok
KBC Group,Belgium,Financials,B,0,ok
KGHM,Poland,Materials,B,314,ok
KLM,Netherlands,Industrials,B,99,ok
KONE,Finland,Industrials,B,20621,ok
KUKA,Germany,Industrials,B,9819,ok
Kepenou Mills,Greece,Consumer Staples,B,0,ok
Kering,France,Consumer Discretionary,B,80,ok
Kerry Group,Ireland,Consumer Staples,B,546,ok
Kingston,United States,Information Technology,B,5459,ok
Kodak Alaris,United Kingdom,Information Technology,B,1451,ok
Komatsu,Japan,Industrials,B,57540,ok
Konecranes,Finland,Industrials,B,3398,ok
Konica Minolta,Japan,Consumer Discretionary,B,97699,ok
Korean Air Lines,South Korea,Industrials,B,122,ok
Korn Ferry,United States,Industrials,B,37,ok
Krombacher,Germany,Consumer Staples,B,15,ok
Kronospan,Austria,Materials,B,598,ok
Kubota,Japan,Industrials,B,97549,ok
Kurokesu,Lithuania,Consumer Discretionary,B,0,ok
Kyocera,Japan,Information Technology,B,159719,ok
Kärcher,Germany,Consumer Discretionary,B,255,ok
Körber,Germany,Industrials,B,565,ok
L'Oreal,France,Consumer Discretionary,B,14827,ok
LCBO,Canada,Consumer Staples,B,2,ok
LG Electronics,South Korea,Information Technology,B,441781,ok
LUSH,United Kingdom,Consumer Discretionary,B,263,ok
La Lorraine,Belgium,Consumer Staples,B,9,ok
Lanxess,Germany,Materials,B,14879,ok
Lego,Denmark,Consumer Discretionary,B,5023,ok
Leonardo,Italy,Industrials,B,10548,ok
Les Ballets de Monte-Carlo,Monaco,Consumer Discretionary,B,0,ok
Levi Strauss,United States,Consumer Discretionary,B,168,ok
Lexmark,United States,Information Technology,B,12107,ok
Little Caesar's,United States,Consumer Discretionary,B,0,ok
Live Nation Entertainment,United States,Communication Services,B,491,ok
Lladró,Spain,Consumer Discretionary,B,24,ok
Louis Dreyfus,Netherlands,Consumer Staples,B,123,ok
Lumen,United States,Communication Services,B,1003,ok
M&amp;G,United Kingdom,Financials,B,1,ok
MS &amp; AD Insurance Group,Japan,Financials,B,0,ok
MSC,United States,Financials,B,757,ok
MSC Cruises,Switzerland,Consumer Discretionary,B,0,ok
MV Group,Lithuania,Consumer Staples,B,13,ok
MVRDV,Netherlands,Industrials,B,0,ok
Magna,Canada,Consumer Discretionary,B,31466,ok
Magna Steyr,Austria,Consumer Discretionary,B,2313,ok
Mango,Spain,Consumer Discretionary,B,769,ok
Manolo Blahnik,United Kingdom,Consumer Discretionary,B,1,ok
Marks &amp; Spencer,United Kingdom,Consumer Staples,B,0,ok
Marriott,United States,Consumer Discretionary,B,806,ok
Marvell,United States,Information Technology,B,24167,ok
Mastercard,United States,Information Technology,B,14525,ok
Match Group,United States,Communication Services,B,269,ok
Mattel,United States,Consumer Discretionary,B,10642,ok
Mazda,Japan,Consumer Discretionary,B,68603,ok
McCormick,United States,Consumer Staples,B,3581,ok
Meggit,United Kingdom,Industrials,B,25,ok
Meta,United States,Communication Services,B,30508,ok
Metsa,Finland,Materials,B,267,ok
Metso Outotec,Finland,Industrials,B,2526,ok
Mettler Toledo,United States,Health Care,B,6648,ok
Michelin,France,Consumer Discretionary,B,53194,ok
Micro Focus,United Kingdom,Information Technology,B,4359,ok
Micron,United States,Information Technology,B,109695,ok
Microsoft,United States,Information Technology,B,246797,ok
Milk Hydrosan sp. z o.o.,Poland,Industrials,B,0,ok
Mitsubishi Electric,Japan,Industrials,B,571435,ok
Mitsubishi Motors,Japan,Consumer Discretionary,B,34369,ok
Mobatime (Elekon),Czech Republic,Consumer Discretionary,B,0,ok
Moncler,Italy,Consumer Discretionary,B,88,ok
Moneygram,United States,Financials,B,282,ok
MongoDB,United States,Information Technology,B,241,ok
Mothercare,United Kingdom,Consumer Discretionary,B,143,ok
Motorola Solutions,United States,Information Technology,B,15860,ok
Munich Re,Germany,Financials,B,13,ok
NCR,United States,Information Technology,B,29318,ok
NEC,Japan,Information Technology,B,497786,ok
NHL,United States,NGO,B,18,ok
NSG Group (Pilkington),Japan,Materials,B,0,ok
NXP Semiconductors,Netherlands,Information Technology,B,228,ok
Namecheap,United States,Information Technology,B,38,ok
Nemak,Mexico,Consumer Discretionary,B,683,ok
Neste Oyj,Finland,Energy,B,2805,ok
NetApp,United States,Information Technology,B,7249,ok
New Balance,United States,Consumer Discretionary,B,438,ok
New Development Bank,China,Financials,B,0,ok
Niantic Labs,United States,Information Technology,B,0,ok
Nikon,Japan,Consumer Discretionary,B,81286,ok
Nintendo,Japan,Communication Services,B,13085,ok
Nippon Telegraph and Telephone Corporation (NTT),Japan,Communication Services,B,2,ok
Norton,United States,Information Technology,B,19406,ok
Nozbe,Poland,Industrials,B,0,ok
Nu Skin,United States,Consumer Staples,B,73,ok
Nutanix,United States,Information Technology,B,1432,ok
Nvidia,United States,Information Technology,B,22976,ok
ON24,United States,Information Technology,B,92,ok
OP Bank Lithuania,Lithuania,Financials,B,0,ok
Olvi,Finland,Consumer Staples,B,14,ok
Olympus,Japan,Information Technology,B,148860,ok
OpenText,Canada,Information Technology,B,11,ok
Oracle,United States,Information Technology,B,48510,ok
Orion,Finland,Health Care,B,19876,ok
Outokumpu,Finland,Materials,B,11634,ok
PTC,United States,Information Technology,B,4230,ok
PVH,United States,Consumer Discretionary,B,52,ok
PagerDuty,United States,Information Technology,B,92,ok
Panasonic,Japan,Consumer Discretionary,B,364050,ok
Papa John's,United States,Consumer Discretionary,B,8,ok
Par Pacific,United States,Energy,B,0,ok
Paramount,United States,Communication Services,B,4405,ok
Payoneer,United States,Information Technology,B,0,ok
Paypal,United States,Information Technology,B,10487,ok
Peak Design,United States,Consumer Staples,B,136,ok
Pekao SA,Poland,Financials,B,0,ok
Pernod Ricard,France,Consumer Staples,B,682,ok
Pivovary Staropramen,Czech Republic,Consumer Staples,B,3,ok
Playmobil,Germany,Consumer Discretionary,B,0,ok
Plzeňský Prazdroj,Czech Republic,Consumer Staples,B,0,ok
Podravka,Croatia,Consumer Staples,B,32,ok
Polaris,United States,Consumer Discretionary,B,16152,ok
Porsche,Germany,Consumer Discretionary,B,42744,ok
Prada,Italy,Consumer Discretionary,B,514,ok
Preem AB,Sweden,Energy,B,19,ok
Prosus,Netherlands,Industrials,B,1,ok
Puma,Germany,Consumer Discretionary,B,2951,ok
QS,United Kingdom,NGO,B,513,ok
Qlik,Sweden,Information Technology,B,5,ok
Qualcomm,United States,Information Technology,B,379269,ok
RTB,United States,Industrials,B,129,ok
Rabobank,Netherlands,Financials,B,18,ok
Radio Free Europe,Czech Republic,Communication Services,B,0,ok
Rakovnický Pivovar,Czech Republic,Consumer Staples,B,0,ok
Ralph Lauren,United States,Consumer Discretionary,B,66,ok
Ravensburger | BRIO,Germany,,B,0,ok
Raytheon,United States,Industrials,B,60142,ok
Recruit Holdings,Japan,Industrials,B,340,ok
Reima,Finland,Consumer Discretionary,B,144,ok
Remitly Global,United States,Information Technology,B,0,ok
Renishaw,United Kingdom,Industrials,B,6535,ok
Revolut,United Kingdom,Financials,B,1,ok
Richemont,Switzerland,Consumer Discretionary,B,2968,ok
Ricoh,Japan,Information Technology,B,311388,ok
Roca,Spain,Consumer Discretionary,B,4410,ok
Rockwell Automation,United States,Industrials,B,12406,ok
Roland DG,Japan,Information Technology,B,2443,ok
Rolex,Switzerland,Consumer Discretionary,B,3400,ok
Rolls Royce,United Kingdom,Industrials,B,61278,ok
Rotork,United Kingdom,Industrials,B,728,ok
Rovio,Finland,Information Technology,B,110,ok
Royal Caribbean Cruises,United States,Consumer Discretionary,B,134,ok
Royal Society of Chemistry,United Kingdom,NGO,B,0,ok
SSAB,Sweden,Materials,B,1028,ok
STIHL,Germany,Consumer Discretionary,B,9026,ok
Safran,France,Industrials,B,66298,ok
Samsonite International,Luxembourg,Consumer Discretionary,B,2,ok
Samsung,South Korea,Information Technology,B,1289220,ok
Sandvik,Sweden,Industrials,B,33715,ok
Sardina,Croatia,Consumer Staples,B,39,ok
Scandinavian Tobacco,Denmark,Consumer Staples,B,4,ok
Scania,Sweden,Industrials,B,25142,ok
Schwarz Group,Germany,Consumer Staples,B,0,ok
Sennheiser,Germany,Information Technology,B,2648,ok
Sharp Group,Japan,Information Technology,B,19,ok
Sherwin Williams,United States,Industrials,B,4025,ok
Shiseido,Japan,Consumer Staples,B,22459,ok
Siemens Energy AG,Germany,Industrials,B,0,ok
Sigma Group,Czech Republic,Industrials,B,29,ok
Simba Dickie Group,Germany,Consumer Discretionary,B,13,ok
Skytrax,United Kingdom,NGO,B,0,ok
Smartway Pharmaceuticals,United Kingdom,Health Care,B,0,ok
Sodeca,Spain,Industrials,B,25,ok
Solvay,Belgium,Materials,B,41919,ok
SonoSim,United States,Health Care,B,22,ok
Sony,Japan,Consumer Discretionary,B,622238,ok
Sportradar,Switzerland,Consumer Discretionary,B,6,ok
Spotify,Sweden,Communication Services,B,1941,ok
SriLankan Airlines,Sri Lanka,Industrials,B,0,ok
Stellantis,Netherlands,Consumer Discretionary,B,18044,ok
Storytel,Sweden,Communication Services,B,0,ok
Subaru,Japan,Consumer Discretionary,B,16358,ok
Sumitomo Group,Japan,Financials,B,0,ok
Supercell,Finland,Information Technology,B,376,ok
Swagelok,United States,Industrials,B,2147,ok
Swarovski,Liechtenstein,Consumer Discretionary,B,4188,ok
Swatch,Switzerland,Consumer Discretionary,B,7648,ok
Sweco,Sweden,Industrials,B,203,ok
Synopsys,United States,Information Technology,B,8533,ok
Systemair,Sweden,Industrials,B,141,ok
T Machinery,Czech Republic,Industrials,B,27,ok
TSMC,Taiwan,Information Technology,B,1889,ok
TTC Holding,Czech Republic,Real Estate,B,8,ok
Tadano,Japan,Industrials,B,4878,ok
Take-Two Interactive,United States,Communication Services,B,85,ok
Talgo,Spain,Industrials,B,699,ok
Tanin,Slovenia,Materials,B,78,ok
Tata Motors,India,Consumer Discretionary,B,480,ok
Tendam,Spain,Consumer Discretionary,B,0,ok
Thales,France,Industrials,B,48020,ok
The Navigator Company,Portugal,Materials,B,12,ok
Thermo Fisher,United States,Health Care,B,5852,ok
TikTok,United States,Communication Services,B,50,ok
Timken,United States,Industrials,B,4709,ok
TomTom,Netherlands,Information Technology,B,4475,ok
Torm,Denmark,Industrials,B,15,ok
Tous,Spain,Consumer Discretionary,B,1109,ok
Triumph,Switzerland,Consumer Discretionary,B,9868,ok
Twin Disc,United States,Industrials,B,1085,ok
Twitter,United States,Communication Services,B,2635,ok
UL,United States,Industrials,B,3097,ok
UPM,Finland,Materials,B,6720,ok
UPS,United States,Industrials,B,337,ok
Ubisoft,France,Information Technology,B,45,ok
UiPath,United States,Information Technology,B,1096,ok
Under Armour,United States,Consumer Discretionary,B,1395,ok
Uniqlo/Fast Retailing,Japan,Consumer Discretionary,B,0,ok
Universal Music Group,Netherlands,Consumer Discretionary,B,43,ok
Upwork,United States,Industrials,B,9,ok
VF Corporation,United States,Consumer Discretionary,B,0,ok
VMWare,United States,Information Technology,B,16609,ok
Valero Energy,United States,Energy,B,8,ok
Vattenfall,Sweden,Utilities,B,1050,ok
Veeam,United States,Information Technology,B,88,ok
Vesuvius,United Kingdom,Industrials,B,4430,ok
Victoria’s Secret,United States,Consumer Discretionary,B,0,ok
Viessmann,Germany,Industrials,B,5530,ok
Vietnam Airlines,Vietnam,Industrials,B,1,ok
Viking River Cruises,Switzerland,Consumer Discretionary,B,15,ok
Villeroy &amp; Boch,Germany,Consumer Discretionary,B,0,ok
Visa,United States,Information Technology,B,16192,ok
Vitec Group,United Kingdom,Consumer Discretionary,B,415,ok
Viva,Australia,Energy,B,981,ok
Volkswagen,Germany,Consumer Discretionary,B,77659,ok
Volvo Cars,Sweden,Industrials,B,1,ok
Volvo Group,Sweden,Industrials,B,350,ok
WEKA,Israel,Information Technology,B,592,ok
WWE,United States,Communication Services,B,406,ok
WarnerMedia,United States,Communication Services,B,44,ok
Waters Corporation,United States,Health Care,B,2,ok
WeTransfer,United States,Information Technology,B,37,ok
Western Union,United States,Information Technology,B,2412,ok
Wielton,Poland,Industrials,B,80,ok
William Grant &amp; Sons,United Kingdom,Consumer Staples,B,0,ok
Wimbledon,United Kingdom,NGO,B,52,ok
Wintershall Dea AG,Germany,Energy,B,2,ok
Wise PLC,United Kingdom,Information Technology,B,0,ok
Wizz Air,Hungary,Industrials,B,0,ok
Wolffkran,Switzerland,Industrials,B,198,ok
World Boxing Council,Mexico,NGO,B,0,ok
World Federation of Exchanges,United Kingdom,NGO,B,0,ok
Woseba,Poland,Consumer Staples,B,0,ok
Wrangler (Kontoor),United States,Consumer Discretionary,B,0,ok
Würth,Germany,Consumer Discretionary,B,387,ok
Xerox,United States,Information Technology,B,223873,ok
YKK Group,Japan,Industrials,B,1,ok
YOOX,Italy,Consumer Discretionary,B,11,ok
Yanmar,Japan,Consumer Discretionary,B,34228,ok
Yara,Norway,Materials,B,3518,ok
ZHA,United Kingdom,Industrials,B,1770,ok
Zegna Group,Italy,Consumer Discretionary,B,2,ok
Zendesk,United States,Information Technology,B,116,ok
Zetor,Czech Republic,Industrials,B,45,ok
Zynga,United States,Communication Services,B,1241,ok
bunq.com,Netherlands,Financials,B,0,ok
d&amp;b audiotechnik,Germany,Consumer Discretionary,B,0,ok
eBay,United States,Consumer Discretionary,B,12781,ok
eDreams ODIGEO,Spain,Consumer Discretionary,B,0,ok
iHerb,United States,Consumer Discretionary,B,0,ok
Żabka,Poland,Consumer Staples,B,0,ok
