name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,action_text
International Boxing Federation,France,NGO,A,A,other,yes,ban on all Russian competition
International Cat Federation,Canada,NGO,A,A,other,yes,ban Russian cats from competitions
International Cycling Union,United States,NGO,A,A,other,yes,ban on all Russian competition
International Ice Hockey Federation,Switzerland,NGO,A,A,other,yes,ban on all Russian competition
International Olympic Committee,Switzerland,NGO,A,A,other,yes,ban Russian athletes from competing
International Paper,United States,Materials,A,F,sold,yes,Fully exit Russia after selling its operations
International Paralympic Committee,Germany,NGO,A,B,other,yes,bar Russian athletes
International Skating Union,Switzerland,NGO,A,A,other,yes,ban on all Russian competition
International Weightlifting Federation,Switzerland,NGO,A,A,other,yes,ban on all Russian competition
Interpublic Group,United States,Communication Services,A,A,other,yes,exit Russian operations
Intracom Telecom,Greece,Communication Services,A,,sold,no,Withdrew from Russia
Iveco,Italy,Industrials,A,C,sold,yes,Fully exit Russia after selling its operations
J Sainsbury,United Kingdom,Consumer Staples,A,A,other,yes,remove products from Russia
JD Sports,United Kingdom,Consumer Discretionary,A,B,suspended,yes,suspend operations in Russia
JKX,United Kingdom,Energy,A,,other,no,Disposing of all its Russian assets
JLL,United States,Real Estate,A,A,other,yes,separate operations in Russia
JYSK,Denmark,Consumer Discretionary,A,B,other,yes,temporarily close Russian stores
Jabil,United States,Information Technology,A,A,other,yes,closed its site in Russia
Jamie Oliver,United Kingdom,Consumer Staples,A,A,other,yes,exit franchise agreement
Jan de Nul,Luxembourg,Industrials,A,A,sold,yes,close rep office and withdraw ships
JetBrains,Czech Republic,Information Technology,A,A,suspended,yes,suspend all activity indefinitely
John Wood Group,United Kingdom,Industrials,A,A,sold,yes,withdraw from Russia
Johnson Matthey,United Kingdom,Materials,A,,other,no,leave Russia and end all business there
Jotun,Norway,Materials,A,,suspended,no,Suspend business in Russia
Jägermeister,Germany,Consumer Staples,A,A,suspended,yes,Fully stopped business in Russia
KION Group,Germany,Industrials,A,F,sold,yes,Fully exit Russia after selling its operations
KLP,Norway,Financials,A,A,other,yes,exit all investment holdings in Russia
KPMG,United States,Industrials,A,A,other,yes,leaving Russia completely
Kalnapilis-Taurus,Lithuania,Consumer Staples,A,A,other,yes,termination of export ties and production in Russian Market
Kamstrup,Denmark,Utilities,A,,sold,no,Completely exit Russia
Kearney,United States,Industrials,A,A,sold,yes,officially withdrawn from Russia
Kelly,United States,Industrials,A,A,other,yes,leave Russia &amp; transition operations
Kemira,Finland,Consumer Discretionary,A,A,sold,yes,exit Russia completely
Kennametal,United States,Industrials,A,,sold,no,Completely exit Russia
Kennedys,United States,Industrials,A,,sold,no,Fully exit Russia
Kesko,Finland,Consumer Staples,A,B,sold,yes,Withdrawn all business
Kiilto,Finland,Materials,A,A,sold,yes,fully exited from Russia
Kingspan,Ireland,Industrials,A,A,sold,yes,exit Russia
Kinross Gold,Canada,Materials,A,A,other,yes,complete exit from Russia by selling Russian operations
