name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,first_grade_a_date,first_grade_ab_date,timing_left_censored,action_text
nVent,United Kingdom,Industrials,C,,suspended,no,,,no,Suspended new business in Russia
Aalberts,Netherlands,Industrials,D,D,other,yes,,,no,"continue operations on an unspecified ""lower"" level &amp; postpone investments"
Abbott Laboratories,United States,Health Care,D,D,suspended,yes,,,no,suspend non-essential business activity
Abbvie,United States,Health Care,D,D,suspended,yes,,,no,"suspend aesthetics operations, pause new clinical trials"
Accor,France,Consumer Discretionary,D,D,suspended,yes,,,no,suspend new investments/development
Accumalux,Luxembourg,Consumer Discretionary,D,D,other,yes,,,no,"still operating plant in Togliatti, Russia"
Airbus,Netherlands,Industrials,D,D,suspended,yes,,,no,"suspend supply of parts and deliveries/servicing, t but continue substantial titanium purchases from Russia"
Akrapovič,Slovenia,Consumer Discretionary,D,D,other,yes,,,no,still operating in Russia
Alcon,Switzerland,Health Care,D,D,suspended,yes,,,no,suspend new investments and new clinical trial enrollment in Russia
AmerisourceBergen,United States,Health Care,D,D,other,yes,,,no,"cease new business initiatives but continue existing clinical trials, and distributing health products"
Andbank,Andorra,Financials,D,D,other,yes,,,no,investigate if Russian customers are subject to European sanction
Andritz,Austria,Industrials,D,D,suspended,yes,,,no,suspend unspecified new business in Russia for time being
Anecoop,Spain,Consumer Staples,D,D,other,yes,,,no,diverting sales away from Russia
Archer Daniels Midland (ADM),United States,Consumer Staples,D,D,other,yes,,,no,unspecified scaling down of non-essential operations
AstraZeneca,United Kingdom,Health Care,D,D,suspended,yes,,,no,halt new investments/new clinical trials
Aurubis AG,Germany,Industrials,D,D,other,yes,,,no,monitor situation and review structures of Russian business partners
BT Group,United Kingdom,Communication Services,D,,other,no,,,no,
Bacardi,Bermuda,Consumer Staples,D,C,other,yes,,,no,Backtracked on statement and have continued imports
Bang &amp; Bonsomer,Finland,Materials,D,,suspended,no,,,no,suspend new investments but still operating in Russia
Barilla,Italy,Consumer Staples,D,D,other,yes,,,no,all new investments and advertising activities on hold; limit Russia production to pasta and bread
Barry Callebaut,Switzerland,Consumer Staples,D,D,suspended,yes,,,no,suspend capital investment
Bayer,Germany,Health Care,D,D,other,yes,,,no,stopping unspecified non-essential business activity
Binance,China,Financials,D,D,other,yes,,,no,"restrict Russian accounts with over €10,000"
BlaBlaCar,France,Information Technology,D,D,suspended,yes,,,no,Stopped new investment but stays in Russia
Boiron,France,Health Care,D,D,suspended,yes,,,no,suspend new investments &amp; stop clinical trials
Bosch,Germany,Industrials,D,C,suspended,yes,,,no,Suspend some shipments and plants but not all. Looking for buyer
CANPACK,Poland,Materials,D,D,suspended,yes,,,no,Stopped new investments
"CAPRI Holdings (Versace, Michael Kors, Jimmy Cho)",United States,Consumer Discretionary,D,D,other,yes,,,no,online orders unavailable but still advertising; no information about on-site sales
Calfrac Well Services,Canada,Energy,D,D,other,yes,,,no,suspension of new investments in Russia
Campari,Italy,Consumer Staples,D,D,suspended,yes,,,no,continue sales in Russia but suspend new investments
Cargill,United States,Consumer Staples,D,D,other,yes,,,no,unspecified scaling down of non-essential operations
Carmim,Portugal,Consumer Staples,D,D,suspended,yes,,,no,suspend some orders in backlog
Carter's | Oshkosh,United States,Industrials,D,C,suspended,yes,,,no,Stop all shipments of merchandise to Russia
Colgate-Palmolive,United States,Consumer Staples,D,D,other,yes,,,no,continue essential health and hygiene products
Convatec,United Kingdom,Health Care,D,,other,no,,,no,discontinuation of associated Russia activities.
Corticeira Amorim,Portugal,Materials,D,D,suspended,yes,,,no,commerical activity suspended
Crèdit Andorrà,Andorra,Financials,D,D,other,yes,,,no,Investigate if Russian customers are subject to European sanctions
DMK Group,Germany,Consumer Staples,D,D,suspended,yes,,,no,suspend new investments/advertising but continue sales and plant operations in Russia
Deceuninck,Belgium,Industrials,D,D,suspended,yes,,,no,stop investments &amp; cut links with other establishments
Delonghi,Italy,Consumer Discretionary,D,D,suspended,yes,,,no,paused new shipments and  investments
Dr. Theiss,Germany,Health Care,D,D,suspended,yes,,,no,suspend advertisement
ESL,Germany,NGO,D,D,other,yes,,,no,ban people with ties to Russian government
Ebara,Japan,Industrials,D,,other,no,,,no,Seeking optimal procurement
Ecco,Denmark,Consumer Discretionary,D,D,suspended,yes,,,no,suspend new investments still operating in Russia
Eesti Gaas,Estonia,Energy,D,D,other,yes,,,no,continues to import Russian gas but is looking for alternatives
Ehrmann,Germany,Consumer Staples,D,D,suspended,yes,,,no,continue sales in Russia but suspend new investments
Ekosem Agrar AG,Germany,Consumer Staples,D,D,other,yes,,,no,restructuring finances
Eli Lilly,United States,Health Care,D,D,suspended,yes,,,no,suspend new investments and clinical trials
Engie,France,Utilities,D,D,other,yes,,,no,no new investments
FIDE,Switzerland,NGO,D,B,suspended,yes,,2022-12-24,no,Allowing Russian play after suspend Russian &amp; Belarussian teams from participation in tournaments
FM Global,United States,Financials,D,D,suspended,yes,,,no,stopped renewing and underwriting new reinsurance
Focus Brands - Cinnabon,United States,Industrials,D,D,other,yes,,,no,no new investments and expansion plans on hold
Forever Living Products,United States,Consumer Discretionary,D,F,suspended,yes,,,no,"Suspended online sales but continues to pay earned bonuses to russians and other ""friendly countries"""
