name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,first_grade_a_date,first_grade_ab_date,timing_left_censored,action_text
China Minmetals,China,Materials,F,F,other,yes,,,no,discussing investments with Chinese government to booster stakes in Russian energy and commodity companies
China Mobile,China,Communication Services,F,F,other,yes,,,no,business as usual
China National Petroleum Corporation,China,Energy,F,F,other,yes,,,no,business as usual
China Railway Construction Corporation,China,Industrials,F,F,other,yes,,,no,continues to build Vladivostok highway in March 2022
China Railway Engineering Corporation,China,Industrials,F,F,other,yes,,,no,business as usual
China State Construction Engineering,China,Industrials,F,F,other,yes,,,no,contractor to the Russian state
China State Railway Group Company,China,Industrials,F,F,other,yes,,,no,increasing coal shipments from Russia
China United Network Communications,China,Communication Services,F,F,other,yes,,,no,a subsidiary in Russia: China Unicom (Russia) Operations Limited Liability Company; business as usual
Chipita,Greece,Consumer Staples,F,F,other,yes,,,no,Not disclosed publicly; still operating in Russia
Clarins,France,Consumer Discretionary,F,F,other,yes,,,no,still selling online in Russia
Cloudflare,United States,Information Technology,F,F,other,yes,,,no,continue sales &amp; services in Russia
Coal India,India,Energy,F,F,other,yes,,,no,expecting highest import level in 2 years
Coesia Group,,,F,,other,no,,,no,Many companies in group have Russia operations or partners
Coface,France,Financials,F,,other,no,,,no,Business as usual
Cofix Coffee,Israel,Consumer Staples,F,F,other,yes,,,no,maintains locations in Russia
Colin's,Turkey,Consumer Discretionary,F,F,other,yes,,,no,still selling online
Corendon Airlines,Turkey,Industrials,F,F,other,yes,,,no,still flying to Russia
Cremonini Group,Italy,Consumer Staples,F,F,other,yes,,,no,continue sales in Russia
De Cecco,Italy,Consumer Staples,F,F,other,yes,,,no,continue sales and operations in Russia
Deep in Russia,Belgium,Industrials,F,F,other,yes,,,no,still offering trips to Russia
Dentsply Sirona,United States,Health Care,F,,other,no,,,no,Business as usual
Dessange International,France,Consumer Discretionary,F,F,other,yes,,,no,still operating salons in Russia
Didi,China,Industrials,F,F,sold,yes,,,no,explicitly reversed decision to exit Russia
Diesel,Italy,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia; not disclosed
Dinex A/S,Denmark,Consumer Discretionary,F,,other,no,,,no,Business as usual
Doka,Austria,Industrials,F,F,other,yes,,,no,not disclosed
Dr Reddys Labs,India,Health Care,F,F,other,yes,,,no,business as usual; plans new brands in Russia
Duol,Slovenia,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia
EMS-Chemie,Switzerland,Materials,F,F,other,yes,,,no,still operating in Russia
Egger,Austria,Industrials,F,F,other,yes,,,no,still operating in Russia
Egyptair,Egypt,Industrials,F,F,other,yes,,,no,still flying to Russia
ElvalHalcor,Greece,Materials,F,F,other,yes,,,no,Not disclosed publicly
Emirates Airlines,United Arab Emirates,Industrials,F,F,other,yes,,,no,still flying to Russia
Etam,France,Consumer Discretionary,F,F,other,yes,,,no,still selling to Russia
Etihad Airways,United Arab Emirates,Industrials,F,F,other,yes,,,no,still flying to Russia
FAW Group,China,Industrials,F,F,other,yes,,,no,remains silent on whether they will continue operations
FS Mackenzie,United Kingdom,Industrials,F,,other,no,,,no,Business as usual
Fenzi Group,Italy,Industrials,F,F,other,yes,,,no,still operating in Russia
Fleetcor,United States,Financials,F,F,other,yes,,,no,business as usual
Fondital,Italy,Industrials,F,F,other,yes,,,no,still operating and investing in Russia
Foraco,France,Energy,F,F,other,yes,,,no,still operating in Russia
Fresenius,Germany,Health Care,F,F,other,yes,,,no,still operating in Russia
Frigoglass,Greece,Industrials,F,F,other,yes,,,no,still operating in Russia
Geoplin,Slovenia,Energy,F,F,other,yes,,,no,still purchasing Russian gas from Gazprom
Globus,Germany,Consumer Staples,F,F,other,yes,,,no,still operating in Russia
Gorenje,China,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia
Groupe Le Duff,France,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia
Groupe Savencia,France,Consumer Staples,F,F,other,yes,,,no,still operates in Russia
Grupo Borges | ITLV,Spain,Consumer Staples,F,F,other,yes,,,no,still operating in Russia
Grupo Fuertes,Spain,Consumer Staples,F,F,other,yes,,,no,still operating in Russia
Guess,United States,Consumer Discretionary,F,,other,no,,,no,Business as usual
Haier,China,Consumer Discretionary,F,F,other,yes,,,no,planning expansion in Russia
Heidenhain,Germany,Information Technology,F,F,other,yes,,,no,still operating in Russia through a third-party; not disclosed publicly
Heliski Russia,France,Industrials,F,F,other,yes,,,no,cooperating with sanctioned individuals
Hengli Group,China,Energy,F,F,other,yes,,,no,business as usual
Herend,Hungary,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia
Hoffmann Group,Germany,Industrials,F,F,other,yes,,,no,still operating and advertising in Russia
Honor,China,Information Technology,F,F,other,yes,,,no,business as usual
Huntsman Corporation,United States,Materials,F,F,other,yes,,,no,still operating in Russia
IQVIA,United States,Industrials,F,F,other,yes,,,no,still operating and actively hiring
Ideal Molde,Portugal,Industrials,F,F,other,yes,,,no,still selling to Russia
Indian Oil Corporation,India,Energy,F,F,other,yes,,,no,signed new deal to import Russian oil
IndusInd Bank,India,Financials,F,C,other,yes,,,no,Approved for rupee trade with Russia
Industrial Bank (China),China,Financials,F,F,other,yes,,,no,"offices operating in Moscow, did not answer for Reuters' calls for commenting on that"
Iridium,United States,Communication Services,F,,other,no,,,no,Business as usual
JD.com,China,Industrials,F,F,other,yes,,,no,business as usual - the Russian store is still fully operational
JSW Steel,India,Materials,F,F,other,yes,,,no,Increased business with Russia
Jean Cacharel,France,Consumer Discretionary,F,F,other,yes,,,no,still selling and advertising in Russia
Kawasaki,Japan,Industrials,F,F,other,yes,,,no,"still operating in Russia, providing online sales, and cooperating with dealers"
Kidzania,Mexico,Communication Services,F,F,other,yes,,,no,Operating facility in Russia
Kleemann,Greece,Industrials,F,F,other,yes,,,no,Not disclosed publicly
Kotanyi,Austria,Consumer Staples,F,F,other,yes,,,no,still exporting to Russia
Koton,Turkey,Consumer Discretionary,F,F,other,yes,,,no,still advertising  and selling to Russia
Krka,Slovenia,Health Care,F,F,other,yes,,,no,still operating in Russia
Kweichow Moutai,China,Consumer Staples,F,F,other,yes,,,no,business as usual
LACTALIS,France,Consumer Staples,F,F,other,yes,,,no,still operating in Russia
LPP Group,Poland,Consumer Discretionary,F,A,other,yes,2022-12-24,2022-12-24,yes,Still operating in Russia via subsidaries
La Redoute,France,Consumer Discretionary,F,F,other,yes,,,no,still selling products to Russia
Lacoste,France,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia
Larsen &amp; Toubro,India,Real Estate,F,,other,no,,,no,Business as usual
Lemken,Germany,Industrials,F,F,other,yes,,,no,still operating and advertising in Russia
Letique Cosmetics,Latvia,Consumer Staples,F,F,other,yes,,,no,maintains stores in Russia
LiSEC,Austria,Industrials,F,F,other,yes,,,no,still operating in Russia
Liebherr,Switzerland,Industrials,F,F,other,yes,,,no,No action taken; still operating in Russia
Luka Koper,Slovenia,Industrials,F,F,other,yes,,,no,continuing trans shipments
"MOL | Mitsui O.S.K. Lines, Ltd.",Japan,Industrials,F,,other,no,,,no,still operating in Russia
Makita,Japan,Industrials,F,F,other,yes,,,no,still working with dealers in Russia
Maxam,Spain,Materials,F,F,other,yes,,,no,still operating in Russia
Micro-Star International Co. (MSi),Taiwan,Information Technology,F,F,other,yes,,,no,still operating in Russia
Mitsubishi Heavy Industries,Japan,Industrials,F,F,other,yes,,,no,still operating in Russia
Mitsui,Japan,Materials,F,F,other,yes,,,no,continuing operations within sanctions compliance &amp; shares in Sakhalin-2 project
Mizuho Financial Group,Japan,Financials,F,F,other,yes,,,no,still operating in Russia
Mod's Hair,France,Consumer Discretionary,F,F,other,yes,,,no,still operates in Russia
Muehlhan AG,Germany,Materials,F,,other,no,,,no,Business as usual
NIS Serbia,Serbia,Energy,F,F,other,yes,,,no,partnership with Gazprom Neft; Gazprom has a 50% stake in NIS
New Yorker Marketing &amp; Media GmbH,Germany,Industrials,F,,other,no,,,no,continue to operate and open new stores
Nordson,United States,Materials,F,,other,no,,,no,Business as usual
OBO Bettermann,Germany,Industrials,F,F,other,yes,,,no,still operating in Russia
OCSiAl,Luxembourg,Information Technology,F,F,other,yes,,,no,still running research center and branch
OKI,Japan,Information Technology,F,F,other,yes,,,no,still operating in Russia; not disclosed
ONGC,India,Energy,F,F,seized,yes,,,no,Selling of Russian Sokoil to other Indian Nationalised Energy corps
Oasis Logistics Corp,China,Industrials,F,F,other,yes,,,no,“We are actively exploring opportunities to work with our Russian partners”
Oppo,China,Information Technology,F,F,other,yes,,,no,business as usual
Orano,France,Energy,F,F,other,yes,,,no,still operating in Russia
Ottobock,Germany,,F,,other,no,,,no,Continues operating in Russia
Patreon,United States,Financials,F,F,other,yes,,,no,still providing services to Russia
Pegasus,Turkey,Industrials,F,F,other,yes,,,no,still flying to Russia
Perfetti Van Melle,Italy,Consumer Staples,F,F,other,yes,,,no,still operating in Russia; not disclosed publicly
Pidilite Ind,India,Materials,F,F,other,yes,,,no,Business as usual - Imports to Russia
Plastika Kritis,Greece,Materials,F,F,other,yes,,,no,Not disclosed publicly
Poly Real Estate,China,Real Estate,F,F,other,yes,,,no,"a sister company is Poly Technologies, one of China's largest arms exporters and has been sanctioned by the United States; in Russian tax registry"
Posco,South Korea,Materials,F,F,other,yes,,,no,operating through a Russian subsidiary
PowerChina,China,Energy,F,F,other,yes,,,no,"cooperating with a Russian bank ""Solidarnost"" on off-shore projectes"
Projahn,Germany,Industrials,F,F,other,yes,,,no,still operating in Russia through a subsidiary
Provalliance Group (Jean Louis David),France,Consumer Discretionary,F,F,other,yes,,,no,affiliates still operating in Russia
Qatar Airways,Qatar,Industrials,F,F,other,yes,,,no,still flying to Russia
Quicksilver,United States,Consumer Discretionary,F,F,other,yes,,,no,online sales still running
Raba,Hungary,Industrials,F,F,other,yes,,,no,maintain commerical ties with Russian Kamaz
Rabe Moden,Germany,Consumer Discretionary,F,F,other,yes,,,no,still  advertising and selling to Russia via Telegram
Raiffeisen Bank International,Austria,Financials,F,F,other,yes,,,no,still operating in Russia
Reliance,India,Energy,F,B,other,yes,,2022-12-24,no,Buying Russian fuel
Richter Spielgeräte GmbH,Germany,Consumer Discretionary,F,,other,no,,,no,Continues supplying playground equipment
Riko,Slovenia,Industrials,F,F,other,yes,,,no,still operating in Russa
Riot Games,United States,Consumer Discretionary,F,F,other,yes,,,no,still operating in and selling to Russia
Russia Fachspedition Dr. Lassmann,Austria,Industrials,F,F,other,yes,,,no,still operating in Russia
SAIC Motor,China,Industrials,F,F,other,yes,,,no,remains operational; plans to increase export
SBI,India,Financials,F,C,other,yes,,,no,Facilitating rupee trade with Russia
SMC,Japan,Industrials,F,F,other,yes,,,no,still operating in Russia
Sanatmetal,Hungary,Health Care,F,F,other,yes,,,no,still operating in Russia
Sany Heavy Industries,China,Industrials,F,F,other,yes,,,no,business as usual
Sarstedt AG,Germany,Health Care,F,,other,no,,,no,Business as usual
Sbarro Pizza,United States,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia and allowing placing online orders
Schoeller Bleckmann,Austria,Industrials,F,F,other,yes,,,no,still operating in Russia
Semiconductor Manufacturing International Corporation,China,Information Technology,F,F,other,yes,,,no,defies US sanctions by continuing to export to Russia
Shanghai Fosun Pharmaceutical,China,Health Care,F,F,other,yes,,,no,business as usual
Siemens Healthineers,Germany,Health Care,F,F,other,yes,,,no,continue to support healthcare providers
Signet Armorite,United States,Consumer Discretionary,F,F,other,yes,,,no,operating in Russia through a subsidiary
Sisecam,Turkey,Materials,F,F,other,yes,,,no,still operating in Russia through subsidiaries
Société Bic,France,Consumer Discretionary,F,F,other,yes,,,no,still operating and actively hiring in Russia
Soler &amp; Palau Ventilation Group,Spain,Industrials,F,,other,no,,,no,"Business as usual, 15 listed distributors"
Stada Arzneimittel,Germany,Health Care,F,F,other,yes,,,no,still operating in Russia
State Grid Corporation of China,China,Utilities,F,F,other,yes,,,no,business as usual
Storck,Germany,Consumer Staples,F,F,other,yes,,,no,continue candy sales in Russia
Stryker,United States,Health Care,F,F,other,yes,,,no,continue sales and imports to Russia
Sucden,France,Financials,F,,other,no,,,no,Business as usual
Sun Pharma,India,Health Care,F,F,other,yes,,,no,Business as usual
Symrise,Germany,Consumer Discretionary,F,,other,no,,,no,Business as usual
Syngenta,China,Health Care,F,F,other,yes,,,no,still operating in Russia
TEPCO,Japan,Utilities,F,F,other,yes,,,no,continues purchases of Russian gas
TGI Friday's,United States,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia
Tencent,China,Communication Services,F,F,other,yes,,,no,major investment in VK
Tenneco,United States,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia; deny comments
Teva,Israel,Health Care,F,F,other,yes,,,no,no action taken; still operating Russia
The China Coal Transportation and Distribution Association,China,Energy,F,F,other,yes,,,no,big power plants and about 20 Russian coal companies discussed plans to increase bilateral trade
Titan International,United States,Industrials,F,F,other,yes,,,no,still operating in Russia
Toppan,Japan,Consumer Discretionary,F,,other,no,,,no,Business as usual
Trelleborg Group,Sweden,Industrials,F,B,other,yes,,2022-12-24,no,Was discovered to have continued sales to Russia through Dec 2022 despite claiming the contrary.
Trumpf,Germany,Industrials,F,,other,no,,,no,Business as usual
Tupperware,United States,Consumer Discretionary,F,F,other,yes,,,no,still operating and actively hiring in Russia
Turkish Airlines,Turkey,Industrials,F,F,other,yes,,,no,still flying to Russia
UniCredit,Italy,Financials,F,F,other,yes,,,no,Still operating in Russia
Uzbekistan Airways,Uzbekistan,Industrials,F,F,other,yes,,,no,still flying to Russia
Valve,United States,Consumer Discretionary,F,F,other,yes,,,no,still providing services to Russia
Vanke,China,Real Estate,F,F,other,yes,,,no,business as usual
Veolia,France,Utilities,F,F,other,yes,,,no,still operating in Russia
Vinci SA,France,Industrials,F,F,other,yes,,,no,still operating in Russia
Vivo,China,Industrials,F,F,other,yes,,,no,still operating in Russia
Wanhua Chemical Group,China,Materials,F,F,other,yes,,,no,still operating in Russia
Worldline,France,Financials,F,,other,no,,,no,Business as usual
Xibao Metallurgy Materials Group,China,Industrials,F,F,other,yes,,,no,"Building a refractory material plant in Lipetsk, Russia"
Yamaha,Japan,Consumer Discretionary,F,F,other,yes,,,no,Still operating and advertising in Russia
Yazaki,Japan,Consumer Discretionary,F,F,other,yes,,,no,Operating in Russia through a subsidiary
ZTE,China,Information Technology,F,F,other,yes,,,no,business as usual
Zentis,Germany,Consumer Staples,F,,other,no,,,no,Business as usual
Zepter,Switzerland,Consumer Discretionary,F,F,other,yes,,,no,Still advertising and selling to Russia
Zimmer Biomet,United States,Health Care,F,F,other,yes,,,no,continues sales in Russia
