yale_name,seller_name_bloomberg,match_score,target_name,acquirer_name,announce_date,deal_value_mn_usd,deal_type,deal_status,payment_type,tv_ebitda
Grupo Antolín,Grupo Antolin-France SAS,92.3076923076923,"Zapad LLC,Alta Povolzhye OOO",MGC Group LLC,2025/12/23,,M&A,Completed,Undisclosed,
Lufthansa,Deutsche Lufthansa AG,100.0,Aeromar JSC,Aeroflot PJSC,2025/9/8,,M&A,Proposed,Undisclosed,
ABB,Komfovent UAB,80.0,Certain Asset/Komfovent Ltd,Potential Buyer,2025/9/25,,M&A,Proposed,Cash,
Jungheinrich,Jungheinrich AG,100,Yungkhaynrikh Podyemno-Pogruzochnaya Tekhnika OOO,Unnamed Buyer,2025/6/27,,M&A,Proposed,Undisclosed,
Global Fashion Group,ING Groep NV,77.77777777777779,ING Bank Eurasia JSC,Global Development JSC,2025/1/28,,M&A,Terminated,Cash,
Gestamp,Gestamp Automocion SA,100.0,Automotive Component Factories/Gestamp Automocion SA,Polad AO,2025/1/31,,M&A,Completed,Cash,
MAN,LVL1 Management Ltd,100.0,Selectel Co Ltd,Moscow Exchange MICEX-RTS PJSC,2025/5/5,,INV,Completed,Undisclosed,
APG,Aggreko PLC,80.0,Certain assets/Aggreko Ltd,Halliburton Co,2025/5/28,,M&A,Proposed,Cash,
Meta,Ural Mining and Metallurgical Co OJSC,100.0,Sibay mining & processing plant/Bashkortostan,Polymetal JSC,2025/4/16,,M&A,Completed,Cash,
Volkswagen,Volkswagen AG,100,Banking unit/Volkswagen AG,Private Investor,2025/2/27,,M&A,Completed,Cash,
Damen,Global Payments Inc,80.0,KOKK AO,Interros Capital International Co LLC,2022/5/2,,M&A,Completed,Undisclosed,
Energizer,TotalEnergies SE,82.35294117647058,Arctic LNG 2 OOO,Nordline OOO,2026/6/3,,INV,Pending,Cash,
ELA Container,Telia Co AB,85.71428571428572,"Latvijas Mobilais Telefons SIA,Lattelecom Bpo Sia",Republic of Latvia,2024/12/18,,M&A,Proposed,Undisclosed,
