subsidiary_name,inactive,nace_code,nace_sector,guo_name,guo_country,guo_direct_pct,guo_total_pct,incorp_year,years_in_russia,total_assets_th_usd,total_assets_year,pre_inv_assets_th_usd,pre_inv_equity_th_usd,shareholders_funds_th_usd,revenue_th_usd,employees,costs_employees_th_usd,emp_intensity,ln_assets
OOO BASALT MANAGEMENT,No,7010,70,WILH. WERHAHN KG,DE,,,2006,16,471.51075760182,2023,384.802788194269,99.9426578404382,42.0456162812188,1836.91733819433,40.0,,0.103949350751081,5.952730964592403
PROIZVODSTVENNO-KOMMERCHESKAYA FIRMA EKSIMKO,No,4690,46,MR KHAMID ZARINEKHBAF ASADI,US,100.0,100.0,2003,19,2053.89100375585,2023,1956.49362223316,-241.908342991024,19.06603124924,1826.63729093596,4.0,,0.0020444738252887134,7.578909181861438
YUNIFARM,No,8610,86,FRESENIUS MEDICAL CARE AG,DE,,,2003,19,823.139662576839,2023,867.663793542422,648.920610705391,401.11138841603,1812.0422997633,28.0,,0.03227056402305788,6.765804304998371
NEUMO GUS OOO,No,4690,46,SNEL AG,CH,,,2006,16,2796.87528700475,2023,3156.58621317428,817.389608083293,1537.41340169311,2371.82543713134,9.0,,0.002851181432155326,8.05724641033641
TYUKHLER,No,1392,13,MAG.ING. CHRISTOPH LACH,AT,,100.0,2018,4,430.66931171529,2023,932.138585603796,-128.101585813798,146.864189248532,668.615611650981,3.0,,0.0032184055529218755,6.837481500631069
OTKRYTOE AKTSIONERNOE OBSHCHESTVO PROMTSEOLIT,Yes,2370,23,TIAIDZHI MINEREL RISOSIZ KAMPENI LTD,CY,100.0,100.0,2001,21,2261.61039683968,2023,1472.21928637009,-346.898609813303,602.397389668971,2170.97427518759,71.0,,0.048226511265898366,7.294526259912448
IZOKON RUS,No,2221,22,MR STANISLAUS TURNAUER,DE,,,2017,5,4954.49219059199,2023,6083.45910665765,2150.13336306717,1144.32981590834,2109.66193259135,28.0,,0.0046026445660425665,8.713328745195813
NEONLIGHT CONSULTANCY LIMITED LIABILITY COMPANY,No,6820,68,SUPPERSTONE HOLDINGS LIMITED,CY,100.0,100.0,2023,,17082.2608715231,2023,,,9117.59913790412,2046.08619564213,1.0,,,
EMEC RUSSIA SRL,No,4640,46,EMEC S.R.L.,IT,100.0,100.0,2009,13,832.750726282597,2023,339.508910263889,-715.656731590629,-403.207536880858,1049.07770774327,5.0,,0.014727153982832634,5.827500191908809
ASKK PROPERTI,No,6820,68,USESKB FAMILIEN EGBR,DE,,,2011,11,25511.4870835226,2023,32003.5369414855,11245.4536381718,7987.8866126202,3138.91542772576,11.0,,0.00034371200971043095,10.373601705095359
EF-TEK LIMITED LIABILITY COMPANY,No,7112,71,D-R BERNDT KRISTIAN ANDREAS,DE,93.0,,2007,15,718.231891802512,2023,799.797008245252,686.595964145847,576.30703111738,1388.56456123851,32.0,,0.04001015216374432,6.68435795577713
KHAMBERGER RASHA,No,4613,46,HAMBERGER HOLDING GMBH & CO. KG,DE,,,2015,7,623.737964997068,2023,1392.70934968814,708.509317272343,242.428489738144,2098.86899794266,41.0,,0.029439021149086742,7.239006301390529
KORTE AINRIKHTUNGEN.RUS,No,4669,46,MR VYACHESLAV SHNAIDER,DE,100.0,100.0,2017,5,565.714791534469,2023,467.677797530778,368.906184974127,419.865227340721,1051.54179716203,42.0,,0.0898054177935098,6.147779592000962
ONS FRANKFURT LIMITED LIABILITY COMPANY,No,4663,46,MR SARDOR AKOBIROV,DE,,,2021,1,3009.29986440856,2023,72.6451884666458,40.9865849325433,489.249971471727,6366.03633686248,4.0,,0.05506214636412642,4.285587158871176
KHAVER I BEKER,No,4669,46,HAVER & BOECKER OHG,DE,,,2016,6,2164.38478719443,2023,3683.93347901572,697.041149665602,948.105790203437,2892.19429352507,15.0,,0.004071734759990218,8.211736340484627
REALTRAK TEKHNOLODZHIS,No,6209,62,REALTRAC INTERNATIONAL SA,CH,100.0,100.0,2014,8,2956.2940675905,2023,2837.17351680342,20.9711327832192,104.517530368641,1379.78972697351,27.0,,0.009516513473740688,7.950563595012346
TAIL STOR,No,4644,46,MR FORNAS JOAQUIN PERIS,ES,,,2019,3,835.370911863633,2023,347.504322891124,94.5854621743783,445.699142197147,1272.19487226289,7.0,,0.020143634305790085,5.850777104901929
AGRO-ITAL-SERVICE,No,4661,46,BERNARDELLO LUIDZHI,IT,90.0,,2006,16,1250.84314720891,2023,1281.31198453158,886.171693142503,1072.42523372918,1235.61262166128,16.0,,0.012487200770114747,7.155639819887521
LIMITED LIABILITY COMPANY DEO,No,2020,20,AKTSIONERNOE OBSHCHESTVO UPROSHCHENNOGO TIPA IZHYEN E NATYUR,FR,52.0,,2001,21,1814.55098808557,2023,2124.67995350808,1898.34516676236,1693.62106122635,1830.58429389633,37.0,,0.01741438748876457,7.66137645990183
PROMYSHLENNO-NEFTYANAYA KOMPANIYA VOLGA-ALYANS,No,1920,19,MRS ECONOMIDES ELEANA,CY,,,2002,20,5116.76530100219,2023,4618.83142419625,-257.845327083021,-640.618649974465,983.127079182304,81.0,,0.017536903290228934,8.43789701359579
SPREING TEKNOLODZHIZ,No,4661,46,MRS OLGA SAUER,DK,,,2018,4,1825.4219708154,2023,2824.0228128694,862.966152116656,1105.16082890332,2576.02151683811,81.0,,0.028682487843537805,7.945917676792048
GMC LTD.,No,0729,07,MRS ELENA EGIAZAROVA,CY,0.0,100.0,2007,15,25203.4424569998,2023,21730.3470152505,347.571624344215,63.1966462694108,1458.87473261729,60.0,,0.0027611155936852552,9.98646504253164
LIMITED LIABILITY COMPANY NEWTECH-MWD SERVISES,No,0910,09,"NTS MANAGEMENT HOLDING COMPANY, LLC",US,,,2013,9,3591.01451257616,2023,3873.09094307385,1996.76681176294,2720.2209216021,2153.42460665759,41.0,,0.010585860389702249,8.2618081605388
TSG SVET,No,4643,46,ZUMTOBEL GROUP AG,AT,,,2014,8,3322.29496922065,2023,3673.19216710236,173.83965333458,2362.90565642994,6768.99857977405,10.0,,0.002722427671920202,8.208816363291913
BIZAR LTD,No,6820,68,MR LEV LEVIEV,GB,,,2007,15,2584.59565603733,2023,2723.05717294198,2017.88600774296,1576.02490240429,1637.33724500053,2.0,,0.000734468603844703,7.909510488759612
AGRI 2.0 LIPETSK,No,4661,46,365 CAPITAL FUND COÖPERATIEF U.A.,NL,,,2019,3,1043.88193548471,2023,1323.9811057914,598.902170768008,698.619523985311,3455.65684043244,15.0,,0.011329466813677722,7.188398465844826
3KEYS LLC,No,6201,62,3KEYS HOLDING GMBH,DE,,,2017,5,821.946641908027,2023,3396.61011547875,1367.33670187276,591.626754472032,1648.72111512069,18.0,,0.005299401281875684,8.130533188385161
GESELLSCHAFT MIT BESCHRANKTEN HAFUNG TESTO RUS,No,4669,46,TESTO SE & CO. KGAA,DE,,100.0,2005,17,2631.65864896309,2023,6312.06868251786,4327.64495725185,2366.06102885306,2221.6051803939,97.0,,0.015367386649111536,8.750218743727261
EVOKA RUS,No,4690,46,LSF 140 S.À R.L.,LU,,,2013,9,3264.75123397075,2023,2438.02205881011,464.21850284189,377.775012155995,2721.84878158011,4.0,,0.001640674244740928,7.798942357912553
OOO TC GROUP ENERGIA,No,4669,46,CAGI S.R.L.,IT,,,2011,11,569.305003266782,2023,1098.37317473907,235.555085819215,361.830904152244,3764.98368543107,4.0,,0.0036417495364908575,7.001585432031602
TIPIBIES INZHINIRING,No,4690,46,TPBS GROUP AG,CH,100.0,100.0,2016,6,715.132268008776,2023,485.593444343656,431.065807049163,592.351486654021,1460.55834122468,48.0,,0.09884812194052242,6.185371739538131
SOCIETE A RESPONSABILITE LIMITEE LTI VOSTOK,No,7022,70,METROPOLE TELEVISION,FR,,100.0,2009,13,3556.36116455123,2023,4441.72092024144,4180.79318660684,3381.0094256876,1902.58922360837,2.0,,0.00045027592591100605,8.39879717497984
AITI TEKH,No,6201,62,TRAVEL COMMUNITY LLP,GB,100.0,100.0,2016,6,391.957463471219,2023,285.910033022054,-58.5926450612023,-46.0037689674646,2154.57302842289,34.0,,0.11891852706469161,5.65567719147942
NEIRO,No,6201,62,NEURONET INC,US,100.0,100.0,2015,7,1853.63077728357,2023,2491.02868326474,484.812747487798,605.519312914461,3689.21014837269,35.0,,0.01405042030833986,7.820451029954914
INFASHTAUB RUS,No,4669,46,MR JOCHEN BLUEGGEL THOMAS,DE,,,2016,6,1235.06628509331,2023,1247.0151640363,388.060178523883,231.289913587272,492.39419416897,8.0,,0.0064153189397519825,7.128508106020133
ORAS-KHOLDING,No,7022,70,MR ANDREY GORBATSKIY,CY,,,2009,13,7819.99404036812,2023,8001.95432847552,7067.66209637281,6146.62088133395,1961.90576527268,14.0,,0.0017495725950571863,8.98744108188721
ASSINO CONSULTING RUS LIMITED LIABILITY COMPANY,No,6201,62,KOMPANIYA ASSINO KONSALTING GMBH,DE,90.0,,2012,10,248.839582117274,2023,451.485067917034,8.39922134578228,24.9753859639168,1349.15028026421,10.0,,0.02214912676101533,6.112542300144106
DATAPRINT,No,4690,46,MR FALEEV SERGEY,CY,100.0,100.0,2013,9,1145.70123219118,2023,3886.80697921384,2733.73118340224,165.395033655688,2696.98489287496,3.0,,0.0007718417755354528,8.265343271583163
TEKHNO-VUD,No,4673,46,STILLIO FRANKO,IT,100.0,100.0,2015,7,659.985723822378,2023,717.406569371,544.805262773298,496.798335890286,1617.1116422601,3.0,,0.004181729200821659,6.575642722250289
TEKHNOLOGIYA FASTFUDA,No,5610,56,MR MARTIN HARALD ACHATZ,DE,70.0,,2022,,575.303555788472,2023,,,-26.0011607445776,917.13185171783,9.0,,,
ALPI RUS,No,1621,16,FINALPI S.P.A.,IT,,,2015,7,1079.43841130566,2023,759.429596681148,53.5584963699803,416.364213415422,1395.29899566807,5.0,,0.006583888778961147,6.632567620808521
ZAO UNIVERSAL HALL MANAGEMENT,No,9004,90,DALLAU HOLDINGS LIMITED,CY,100.0,100.0,2008,14,1911.41980650276,2023,1951.52677499503,926.969834006391,1058.69992117491,1172.4494245695,12.0,,0.0061490316985430855,7.576367306739221
OCHEN INTERESNO,No,6201,62,"OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU SARITASA (SARITASA, LLC)",US,100.0,100.0,2006,16,238.514935955405,2023,44.9169897930697,-12.7603555060923,36.4373041652143,1243.68502319604,85.0,,1.8923797073577435,3.8048161150039084
RITEIL MANAGEMENT,No,5610,56,BSP HOLDING AKTIENGESELLSCHAFT,LI,0.0,100.0,2015,7,1044.4617212303,2023,600.94813494198,17.4714572224766,188.486115946434,2166.62588209566,21.0,,0.034944779389368595,6.398508632877849
APTIV SOLUTIONS LIMITED,No,7320,73,ICON PLC,IE,,100.0,2006,16,6519.82450588048,2023,798.58558208961,413.553968954831,618.642540271394,2816.030516061,28.0,,0.03506199038396625,6.6828421404836895
M-FASHION RUS,No,4642,46,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU M-FESHN GMBH,DE,100.0,100.0,2010,12,712.177590651438,2023,1175.37949736603,-446.652823585086,-321.290500864387,2017.82164054457,3.0,,0.0025523671348044257,7.06934635091431
GESELLSCHAFT MIT DESCHRANKTER HAFTUNG LOESCHE ; OOO LOESCHE,No,4669,46,THOMAS LOESCHE BETEILIGUNGSGESELLSCHAFT MBH & CO. KG,DE,,,2009,13,1516.25122197904,2023,1625.28971128073,-672.233834056184,-1088.30244337767,1478.20835728757,6.0,,0.0036916495307608844,7.393441362738223
NEFTEKHIMSERVICE LIMITED,No,2013,20,SGS S.A.,CH,100.0,100.0,2004,18,1939.94080529548,2023,1886.55395218078,1193.26822359767,1470.98333491944,7233.5407587029,18.0,,0.009541206059435899,7.542507138084091
