subsidiary_name,inactive,nace_code,nace_sector,guo_name,guo_country,guo_direct_pct,guo_total_pct,incorp_year,years_in_russia,total_assets_th_usd,total_assets_year,pre_inv_assets_th_usd,pre_inv_equity_th_usd,shareholders_funds_th_usd,revenue_th_usd,employees,costs_employees_th_usd,emp_intensity,ln_assets
ALBION-2002,No,4725,47,MERCURY RETAIL GROUP LIMITED,CY,,100.0,2002,20,957088.410759877,2023,576617.380921901,23403.3265361916,527.984119167551,3102552.19118955,166.0,,0.00028788587630604844,13.264934207543954
LIMITED LIABILITY COMPANY NESTLE ROSSIYA,No,1082,10,NESTLE S.A.,CH,,,2006,16,1189955.61915594,2021,1189955.61915594,360198.171101271,360198.171101271,2551696.56863201,5903.0,,0.004960689209726258,13.989426569565302
LA SOCIETE A RESPONSABILITE LIMITEE AUCHAN,No,4719,47,MULLIEZ FAMILY,FR,,,2001,21,1403959.83513571,2023,1697923.01431076,850806.219794172,762318.153213145,2519843.34426497,26875.0,,0.015828161685475125,14.344916305785985
LIMITED LIABILITY COMPANY AGROASPECT,No,4720,47,X5 RETAIL GROUP N.V.,NL,,100.0,2001,21,1042332.68107413,2023,580305.675535077,101832.523024111,206627.567327071,2715161.78923415,1371.0,,0.002362547977384255,13.271310270477377
GESELLSCHAFT MIT BESCHRANKTER HAFTUNG HYPERGLOBUS,No,4710,47,BRUCH BETEILIGUNGS-GMBH,DE,,,2004,18,1036200.43218945,2023,1093926.02932171,416134.441269254,447239.710971263,1598930.08531549,733.0,,0.0006700635878044674,13.905283644798468
JSC AB INBEV EFES,No,1105,11,AB INBEV EFES B.V.,NL,99.98,,2004,18,1238583.99015825,2023,835232.892373808,238969.194312497,585398.997035493,1211263.58269821,3336.0,,0.003994095575569089,13.63546587796651
PROCTER & GAMBLE DISTRIBUTION COMPANY,No,4640,46,THE PROCTER & GAMBLE COMPANY,US,,,2006,16,482755.490292764,2023,575084.321121937,55460.6238784064,169123.379341888,1180655.18797547,534.0,,0.0009285594831697284,13.262271954457553
LIMITED LIABILITY COMPANY ASTRAZENECA PHARMACEUTICALS,No,4646,46,ASTRAZENECA PLC,GB,,,2005,17,679073.02874859,2023,437809.506870936,81250.567623537,69905.0460890448,752424.410507235,2593.0,,0.0059226671858553384,12.989539178935487
LIMITED LIABILITY COMPANY AGRO-AVTO,No,4940,49,X5 RETAIL GROUP N.V.,NL,,100.0,2001,21,764175.273854628,2023,385078.697231362,3999.17348529492,320805.766531895,608389.687194445,192.0,,0.0004985993808030441,12.86120300077452
"RUSAGRO GROUP OF COMPANIES, LLC",No,0111,01,ROS AGRO PLC,CY,,99.99,2003,19,2687310.72172074,2023,2748048.36958153,1054792.54951916,1308603.90072328,793427.583167607,415.0,,0.00015101626470395636,14.826401533909472
JSC BOGUCHANSK ALUMINIUM SMELTER,No,2442,24,BALP LIMITED,CY,100.0,100.0,2006,16,1512472.25854336,2021,1512472.25854336,-731576.109622497,-731576.109622497,705331.409958829,183.0,,0.00012099395474284244,14.229256127259992
HOME INTERIOR LLC,No,4759,47,KRESORCO ENTERPRISES LIMITED,CY,100.0,100.0,2007,15,363685.661051841,2023,199731.101131263,7942.97133498639,15618.0342704849,745350.979812122,6337.0,,0.03172765765625721,12.204727246543019
LIMITED LIABILITY COMPANY ABBOTT LABORATORIES,No,4646,46,ABBOTT LABORATORIES,US,,,2007,15,955445.509801664,2023,957569.233811454,447606.660159166,466952.693914776,616096.132426484,752.0,,0.0007853218059301906,13.772153304275617
LLC VITA-LINE,No,4646,46,NIKSAY HOLDINGS LIMITED,CY,100.0,100.0,2006,16,447204.121046265,2023,433942.176932246,145758.122032275,200853.637182893,589094.640575697,1184.0,,0.0027284741215299405,12.980666571331245
JOHNSON & JOHNSON LIMITED LIABILITY COMPANY,No,4646,46,JOHNSON & JOHNSON,US,,,2002,20,891654.728089459,2023,889248.702117543,584846.975685312,601219.69987324,768412.191987244,1594.0,,0.0017925244042574957,13.698132230284804
JOINT STOCK COMPANY MULTON,No,1039,10,ADELINK LIMITED,CY,100.0,100.0,2001,21,378958.7228037,2023,255153.686228382,165380.547155838,318960.029760532,520237.958611939,1238.0,,0.0048519777170371575,12.449621333686922
NOVARTIS PHARMA LIMITED LIABILITY COMPANY,No,4646,46,NOVARTIS AG,CH,,,2006,16,398119.470974263,2023,400286.295095338,12758.5249065682,33569.3939746488,617019.485825242,7867.0,,0.019653433296101933,12.899935307810363
HOCHLAND RUSSLAND OOO,No,1051,10,HOCHLAND HOLDING GMBH & CO. KG,DE,,100.0,2000,22,259053.556100091,2023,198952.665604229,145403.376073032,188895.333185563,493854.484916774,404.0,,0.0020306337629256294,12.200822214127866
SDS,No,4636,46,SUCRES ET DENREES,FR,100.0,100.0,2002,20,122002.909579238,2023,182946.939808045,28271.6848278688,36578.0694544083,450267.552829805,1628.0,,0.008898755025408791,12.116951443376847
LIMITED LIABILITY COMPANY BACARDI RUS,No,4634,46,BACARDI-MARTINI B.V.,NL,,,2001,21,207953.392380801,2023,,,167470.220635869,424888.858981474,1422.0,,,
LIMITED LIABILITY COMPANY MAREVEN FOOD CENTRAL,No,1073,10,SUMMER SKY FOUNDATION,GB,,,2006,16,181813.183404814,2023,112188.332214161,33923.4051129464,115084.382025731,317905.644783271,4319.0,,0.03849776456035803,11.627934275702167
JOINT STOCK COMPANY ROUST RUSSIA,No,4634,46,ROUST CORPORATION,US,,,2003,19,773460.159432012,2021,773460.159432012,151343.429243443,151343.429243443,406633.925865669,785.0,,0.0010149197608012056,13.558629440793506
LIMITED LIABILITY COMPANY RUSAGRO-SARATOV,No,1042,10,ROS AGRO PLC,CY,,100.0,2020,2,168702.845130995,2023,222114.326082661,174494.038823277,-29731.9036218412,458901.878249307,638.0,,0.0028723946413189263,12.310947510650841
LLC BARRY CALLEBAUT NL RUSSIA,No,1082,10,BARRY CALLEBAUT AG,CH,100.0,100.0,2006,16,215729.133159164,2023,172622.264270195,132189.354931942,188864.27004927,346923.464211336,686.0,,0.003973994912534842,12.058861042766726
LIMITED LIABILITY COMPANY IDS BORJOMI,No,1107,11,RISSA INVESTMENTS LIMITED,CY,,,2006,16,108685.509746161,2023,73549.1008228231,-14921.7820529882,7238.9149265755,303144.589593399,168.0,,0.0022841883601637148,11.205708500568356
LIMITED LIABILITY COMPANY ASTRAZENECA INDUSTRIES,No,2120,21,ASTRAZENECA PLC,GB,,,2010,12,517940.802889004,2023,352121.20257318,124329.312447455,165317.832953718,284208.909789384,1176.0,,0.0033397591267046644,12.771730720805804
LIMITED LIABILITY COMPANY RTSB-RUS,No,5229,52,RTSB GMBH RAIL TRANSPORTATION SERVICE BROKER,DE,100.0,100.0,2021,1,23715.2327956008,2023,18879.2017167853,7388.23237773683,13384.8110757275,144444.620685196,1222.0,,0.06472731306819676,9.845816156855653
JOINT STOCK COMPANY ELECTROSNABSBYT,No,4660,46,SPINSIA LIMITED,VG,,,2010,12,237833.364362285,2023,255714.657300188,59253.1953630019,78798.6806832626,323030.025347047,54.0,,0.00021117287749606168,12.451817481889796
PFAIZER INNOVATSII,No,4646,46,PFIZER INC,US,,,2015,7,256686.413547828,2023,291981.768215583,59411.1922542788,54033.9353406094,342095.710954785,241.0,,0.0008253940013886726,12.584446641683243
SOCIETA RESPONSABILITA LIMITATA CALZRU,No,4771,47,MR SANDRO VERONESI,IT,,,2003,19,242732.353217463,2023,125361.20524683,18113.6207672916,18342.8823283259,327893.859116536,2329.0,,0.01857831532023256,11.738954491269183
LIMITED LIABILITY COMPANY PIRELLI TYRE RUSSIA,No,2211,22,PIRELLI & C. SPA,IT,,,2011,11,224018.2965147,2023,287271.958687098,101911.454168296,121544.209856668,295558.037363713,83.0,,0.0002889248236386523,12.56818463730484
RUSAGRO-BALAKOVO,No,1041,10,ROS AGRO PLC,CY,,100.0,2020,2,338385.149081359,2023,434151.955561532,90901.9055834999,-6518.78758137394,200008.956249923,290.0,,0.0006679688903506472,12.981149879823993
LIMITED COMPANY MARR RUSSIA,No,1013,10,CREMOFIN S.R.L.,IT,,,2001,21,142417.187980946,2023,123846.074553969,80502.1081637098,78097.9873102643,293749.707922666,173.0,,0.0013968953042965521,11.72679473925145
LIMITED LIABILITY COMPANY SAINT-GOBAIN CONSTRUCTION PRODUCTS RUS,No,2399,23,COMPAGNIE DE SAINT-GOBAIN,FR,,,2001,21,192276.792186881,2021,192276.792186881,134628.009624411,134628.009624411,263926.713304924,286.0,,0.0014874390026333802,12.166691238838158
GESELLSCHAFT MIT BESCHRANKTER HAFTUNG LIEBHERR-RUSSLAND,No,4663,46,LIEBHERR FAMILY,CH,0.0,100.0,2000,22,301784.746726019,2023,478522.484476082,87079.1022861758,106587.878367791,326316.418198945,258.0,,0.0005391596181368058,13.078458478271868
GROTEX LIMITED LIABILITY COMPANY,No,2120,21,FENY HOLDINGS LTD,VG,,,2010,12,219772.222054796,2021,219772.222054796,20123.1479345607,20123.1479345607,247042.488181249,1432.0,,0.006515837109036274,12.300346934688617
LIMITED LIABILITY COMPANY ASTELLAS PHARMA PRODUCTION,No,4646,46,ASTELLAS PHARMA INC.,JP,,,2014,8,200751.840185639,2023,78748.1784549905,9247.39463850949,49073.2773516076,302790.463149828,226.0,,0.0028699076529011157,11.274010425690081
EGGER DREVPRODUKT GAGARIN LIMITED LIABILITY COMPANY,No,1621,16,MFE VERMÖGENSVERWALTUNG PRIVATSTIFTUNG,AT,,,2006,16,433215.674961296,2023,408519.672200412,381816.79770439,397684.732012603,249803.598566304,766.0,,0.00187506270107897,12.920295349284027
LIMITED LIABILITY COMPANY BERLIN-CHEMIE/A. MENARINI,No,4646,46,PHARMAFIN SPA,IT,,,2011,11,238995.689835759,2023,273125.664357498,102161.775192924,100552.186109205,271389.657409029,3359.0,,0.01229836825441405,12.517687277259231
KRAFTKHAINTS VOSTOK,No,4638,46,THE KRAFT HEINZ COMPANY,US,,,2004,18,210794.989218297,2023,136151.472237165,35209.4551197756,88470.5549939517,287106.600897767,2014.0,,0.014792348308153236,11.821523311390228
LIMITED LIABILITY COMPANY FACTOR,No,4771,47,PHINA FOUNDATION,LI,0.0,100.0,2006,16,196524.823009601,2023,133291.120099917,116324.612219693,79662.2938507721,281333.038694543,242.0,,0.0018155748096241762,11.800290888043264
JOINT STOCK COMPANY RETAL,No,2222,22,PPS PLASTIC PACKAGING SOLUTIONS LTD,CY,,,2004,18,156572.712708178,2023,151749.63389372,59435.4207773916,106316.783932824,263757.212907634,1511.0,,0.00995719041443125,11.929987296356858
LIMITED LIABILITY COMPANY BETA-M,No,4711,47,MERCURY RETAIL GROUP LIMITED,CY,,100.0,2014,8,50579.8840607032,2023,32775.8076554164,4286.10650040396,7555.2103502471,268267.16552752,3355.0,,0.10236208472030028,10.39744595075136
MERCK LIMITED LIABILITY COMPANY,No,4646,46,FAMILY MERCK,DE,,,2008,14,207080.658737524,2023,216449.387792196,186419.412121448,168341.727809299,242819.923164499,463.0,,0.002139068189208772,12.285112024463244
LIMITED LIABILITY COMPANY RED BULL (RUS),No,4634,46,RED BULL GMBH,AT,73.0,,2004,18,65542.5820430564,2023,42145.192907799,19706.6327016698,28148.5310500842,129345.728801259,129.0,,0.0030608473019025726,10.648875909661562
RUSAGRO-ATKARSK,No,1041,10,ROS AGRO PLC,CY,,100.0,2020,2,459927.1066934,2023,443979.421424234,77873.3134059673,60096.8663795125,226809.45199233,556.0,,0.0012523102945096354,13.003533492196636
PERFETTI VAN MELLE,No,1082,10,C+F CONFECTIONERY AND FOODS S.A.,LU,,100.0,2003,19,195645.99046627,2023,96484.924545262,46125.1316378005,150640.289210662,244467.897247986,151.0,,0.0015650113290928103,11.477142052794207
SWIXX HEALTHCARE LIMITED LIABILITY COMPANY,No,4646,46,SWIXX HEALTHCARE HOLDING AG,CH,,,2008,14,85302.3715357995,2023,29099.2100347877,2938.74486980867,3180.20286264736,248723.61381843,295.0,,0.010137732249340501,10.27846630622024
LIMITED LIABILITY COMPANY IVI.RU ; LLC IVI.RU,No,6200,62,IVI.RU MEDIA LIMITED,CY,100.0,100.0,2007,15,275307.247392535,2023,210222.011258248,100204.447032672,156292.196754845,185279.677778799,152.0,,0.000723045123059331,12.25591944772882
LIMITED LIABILITY COMPANY DOW IZOLAN,No,2016,20,DOW INC.,US,,,2006,16,101690.606570398,2023,94020.4260948058,57857.6862728652,88774.9759595646,276722.103007391,636.0,,0.006764487531238024,11.45126733652707
LIMITED LIABILITY COMPANY RECKITT BENCKISER HEALTHCARE (RUSSIA),No,4646,46,RECKITT BENCKISER GROUP PLC,GB,,,2003,19,130611.021993204,2023,98372.1380516831,33107.8057235153,80597.9899960747,200675.843654063,1126.0,,0.011446330458004462,11.49651289306458
OPELLA KHELSKEA,No,4646,46,SANOFI,FR,,,2020,2,130167.820389603,2023,15387.5350289606,-2266.60525778681,16173.9373032479,198373.536757773,344.0,,0.022355757394057194,9.641313046945722
JOINT STOCK COMPANY FOR MANUFACTURE OF FLOOR COVERING TARKETT,No,2223,22,SOCIETE INVESTISSEMENT DECONINCK,FR,,,2000,22,209715.874149042,2023,160652.687377633,71400.7845989894,116173.476099646,235894.18173835,960.0,,0.005975623661641011,11.98700009255618
SVISS KRONO,No,1621,16,HML HOLDING AG,CH,,100.0,2002,20,280203.716409665,2023,292661.566732966,244528.765448002,259812.451042166,197875.433903955,98.0,,0.00033485777136366666,12.58677215805574
BONDUELLE-KUBAN SARL,No,1039,10,BONDUELLE,FR,,,2000,22,163181.668122717,2023,175343.935033203,109505.561691039,113284.39257964,199461.727703892,1103.0,,0.0062904941638907376,12.074504667192583
KARCHER LIMITED LIABILITY COMPANY,No,4690,46,ALFRED KÄRCHER SE & CO. KG,DE,,,2004,18,94229.8901469568,2023,59881.4409673177,26153.5061947294,64379.6990832891,207798.310843581,924.0,,0.015430490400261142,11.000121902494488
JOINT-STOCK COMPANY BAMTONNELSTROY-MOST,No,4213,42,SK MOST HOLDING LIMITED,CY,,,2001,21,564224.942863366,2023,261508.989364366,-74762.4383397326,-50370.6929038037,218104.749503094,1826.0,,0.006982551553728028,12.474223938050631
LIMITED LIABILITY COMPANY BRYANSKAGROSTROY,No,4312,43,TISTFERD LIMITED,VG,,,2011,11,191773.62377092,2023,419267.943084018,-35599.4535801485,-42394.0340651413,196508.053821882,548.0,,0.0013070400659994773,12.946265476823354
LIMITED LIABILITY COMPANY SATELLITE,No,4711,47,MERCURY RETAIL GROUP LIMITED,CY,,100.0,2010,12,29292.9723632513,2023,17628.2965287603,3862.24194883555,2743.24510553759,189988.351962986,1719.0,,0.09751367621911042,9.777260647283995
METPROMSTROI,No,7112,71,METPROM INVEST LLP,GB,100.0,100.0,2010,12,117572.376456772,2023,106243.137212734,3641.47972240578,9606.6818634877,171957.98530126,553.0,,0.005205042080908347,11.573485493761604
AKTSIONERNOE OBSHCHESTVO SATKINSKII CHUGUNOPLAVILNYI ZAVOD,No,2410,24,A.T.S. NOMINEES LIMITED,CY,,100.0,2003,19,88934.6168081909,2021,88934.6168081909,16814.998849025,16814.998849025,155637.140808046,1037.0,,0.011660251510798572,11.395656736127567
LIMITED LIABILITY COMPANY GREIF PERM,No,2591,25,GREIF INC,US,,,2002,20,106589.818420094,2023,59015.0424410934,41157.7594483355,81615.3913326021,160496.055950237,221.0,,0.0037448079482547843,10.98554764702064
"ACT , LLC",No,4661,46,RDO INTERNATIONAL,US,60.0,,2005,17,124924.070860591,2023,89970.6284564957,28615.2318253182,59128.8694783449,204552.547592779,746.0,,0.008291594854877779,11.407238545565113
LIMAGRAIN RU LIMITED LIABILITY COMPANY,No,4621,46,LIMAGRAIN,FR,,,2009,13,155383.49409589,2023,67079.681342978,9745.62729574367,30696.444107987,160630.934184168,111.0,,0.0016547484689507942,11.11363646552303
LIMITED LIABILITY COMPANY MEDTRONIC,No,4646,46,MEDTRONIC PUBLIC LIMITED COMPANY,IE,,,2008,14,78553.5205106847,2023,72398.2863558354,52959.3384536905,59428.5072115567,103002.327220894,255.0,,0.0035221828144755066,11.189937908975395
ALCON FARMACEVTIKA LIMITED LIABILITY COMPANY,No,4669,46,ALCON AG,CH,100.0,100.0,2001,21,103758.523929307,2023,82319.8531102501,23645.1541174389,35534.6446576845,137268.857805987,274.0,,0.003328480186098422,11.318367586131341
KLIK.RU,No,7311,73,SEOPULT LTD,CY,100.0,100.0,2010,12,31228.9884650381,2023,19368.5371219208,933.780741059221,2250.43837151118,134874.019334646,80.0,,0.004130410030268012,9.871405230674538
ABBVIE LIMITED LIABILITY COMPANY,No,4646,46,ABBVIE INC.,US,,100.0,2012,10,156392.165197056,2023,182236.263383983,120735.145646572,104260.12779705,104917.66058118,157.0,,0.0008615189813741481,12.11305927465157
GESELLSCHAFT MIT DESCHRANKTER HAFTUNG BIG DUTCHMAN,No,4661,46,CAL GMBH,DE,,100.0,2003,19,18525.4702392835,2023,15040.326832463,3633.76697588153,4863.94526674692,42105.668704791,44.0,,0.002925468341886728,9.618490328149568
LIMITED LIABILITY COMPANY BDR THERMEA RUS,No,4649,46,STICHTING AANDELEN REMEHA,NL,,,2008,14,53463.4261669479,2023,25795.045195275,4270.30411921814,33492.7396092461,139083.609489138,1440.0,,0.055824674432583335,10.157937705771614
LIMITED LIABILITY COMPANY ESAB,No,4690,46,ENOVIS CORPORATION,US,,,2000,22,72434.3614041852,2023,,,50779.1408118466,154396.353115392,123.0,,,
LIMITED LIABILITY COMPANY BETA UFA,No,4711,47,MERCURY RETAIL GROUP LIMITED,CY,,100.0,2012,10,24356.7657230971,2023,15381.2759938231,4476.13888335228,4325.11246430129,160058.027819443,1627.0,,0.10577796020651212,9.64090620410612
JOINT STOCK COMPANY DE HEUS,No,1091,10,DE HEUS RUSSLAND,NL,51.0,,2004,18,106123.492285024,2023,94811.5546758929,63755.3933689911,85735.2150440607,149539.287229511,321.0,,0.003385663288586687,11.45964656558257
OMD MEDIA TREIDING,No,7311,73,OMNICOM GROUP INC.,US,,,2016,6,32932.1202424373,2023,16670.6372321444,2623.0875945203,2386.72147090267,162159.227110093,29.0,,0.0017395855716950078,9.721404201297641
ALUTECH MSK LTD,No,4673,46,ELUTEK INVESTMENTS II LIMITED,CY,100.0,100.0,2006,16,23033.9287959021,2023,12339.1291714851,236.88765459042,5085.75791333895,94157.0378380781,272.0,,0.02204369499823162,9.42053072539752
BIONORICA GESELLSCHAFT MIT BESCHRANKTER HAFTUNG,No,4646,46,MR MICHAEL POPP,DE,,,2007,15,15486.9692428038,2023,12121.7858588723,8790.0408838829,9337.91772122867,29726.8081971155,293.0,,0.024171355888583407,9.402759596860415
B.BRAUN MEDICAL LIMITED LIABILITY COMPANY,No,4646,46,LUDWIG G. BRAUN GMBH U. CO. KG,DE,,,2001,21,68239.7341818195,2023,74785.2400720399,51297.7463386124,43359.0762889516,153878.961235807,130.0,,0.0017383109270595674,11.222375819251274
SIMENS ZDRAVOOKHRANENIE,No,4646,46,SIEMENS AG,DE,,,2015,7,80091.5582970269,2023,95970.9164274232,24519.6153577436,24863.9779029563,144484.826596708,334.0,,0.003480221013129361,11.471800470669168
FRONERI RUS,No,1052,10,FRONERI LUX TOPCO S.À R.L.,LU,,,2016,6,112052.336720534,2023,52614.9434579322,33069.8880848438,81761.3746935064,130776.985662879,338.0,,0.006424030470929706,10.870755454536535
LIMITED LIABILITY COMPANY HANKOOK TIRE RUS,No,4531,45,"HANKOOK TIRE & TECHNOLOGY CO., LTD.",KR,,100.0,2010,12,46180.0126843983,2023,58575.6447141515,5562.55932002235,1605.78352076933,81736.4662058978,24.0,,0.00040972660424174135,10.978074269959068
SPORT FORUM,No,9313,93,RUSSIAN FITNESS GROUP LIMITED,VG,,,2006,16,179506.472366803,2023,94388.4439005992,13742.6202139584,4610.70154290833,124087.116687653,1466.0,,0.015531562333455245,11.455173928332892
LIMITED LIABILITY COMPANY XSOLLA,No,6209,62,CORPORATION XSOLLA HOLDING COMPANY,US,99.99,,2011,11,12313.8130069105,2023,3404.80743246526,51.5798336490989,-4497.34227991942,131073.010884907,167.0,,0.04904829518628113,8.132943662642289
KSA DOITAG RASHA,No,0910,09,KCA DEUTAG INTERNATIONAL LIMITED,GB,,,2003,19,106582.247756223,2023,65674.8846523147,23199.5646568127,69554.2534135105,130031.782584181,1425.0,,0.021697792200839082,11.092471858211349
DELONGHI LIMITED LIABILITY COMPANY,No,4643,46,THE LONG E TRUST,GB,,,2005,17,66316.261521644,2023,140044.39018832,60239.1481904974,44820.1140683889,112610.659243812,50.0,,0.00035702965276055814,11.849714724108207
OBSCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU EGGER DREVPRODUKT SHUYA,No,1621,16,MFE VERMÖGENSVERWALTUNG PRIVATSTIFTUNG,AT,,,2003,19,244715.922900114,2023,238432.451763804,222164.654109282,224517.570089735,125335.361948732,1003.0,,0.004206642143635682,12.381841328079732
AVIAGEN LLC,No,0147,01,EW GROUP GMBH,DE,,,2008,14,106502.482617301,2023,57714.6976056276,42539.5390420416,85936.0550562786,110240.3501694,346.0,,0.005995006720199162,10.96326714459368
CAMPARI RUS LLC,No,4634,46,ARTEMISIA MANAGEMENT S.A.,LU,,,2006,16,46005.2518810062,2023,,,16649.4842616171,93103.9462290192,118.0,,,
LIMITED LIABILITY COMPANY LABYRINTH-UFA,No,4711,47,MERCURY RETAIL GROUP LIMITED,CY,,100.0,2012,10,22140.1221707184,2023,14129.4689663267,3728.81008793693,3468.15568314027,133844.197203492,1422.0,,0.10064072495497922,9.556017892971411
IPSEN LIMITED LIABILITY COMPANY,No,4618,46,IPSEN,FR,,,2007,15,68654.6823800486,2023,87304.6025349032,14367.1911589354,12450.1184057537,143982.375349798,216.0,,0.002474096367527086,11.377158461341812
LIMITED LIABILITY COMPANY ESTEE LAUDER COMPANIES,No,4645,46,ELCO,FR,99.94,,2003,19,101965.714906681,2023,116467.977775068,58534.3350822441,78131.2469425546,113501.444293283,1707.0,,0.014656389100330144,11.665371645320981
VALEANT LIMITED LIABILITY COMPANY,No,4646,46,BAUSCH HEALTH COMPANIES INC.,CA,,,2012,10,82605.9887281218,2023,117523.30494041,50241.0462236274,56032.4122067578,104039.965309888,1587.0,,0.013503704655044255,11.674391932817972
SELANIKAR,No,4510,45,VENDEBITA TRADING LIMITED,CY,100.0,100.0,2014,8,11377.1802846342,2023,9548.75708516128,976.678687259555,1533.7228424279,133869.495931506,335.0,,0.03508310003200189,9.16416627685412
ALUTECH-M LIMITED LIABILITY COMPANY,No,4673,46,ELUTEK INVESTMENTS II LIMITED,CY,100.0,100.0,2008,14,17596.1182880048,2023,8948.37428242527,2814.51984769292,5358.69205307588,73143.2944246065,434.0,,0.048500429944284065,9.099227150347797
LIMITED LIABILITY COMPANY LIDEA RUS,No,4621,46,EURALIS COOP,FR,,,2014,8,52370.351640895,2023,33361.0880120788,-5638.01770922821,1579.59281468485,88471.2797261337,82.0,,0.002457953408783037,10.415145470211797
LLC LODE,No,4771,47,DEVANLAY EREN HOLDING B.V.,NL,100.0,100.0,2009,13,79201.2526857685,2023,38111.9918078212,30106.9416125035,48126.3199831694,88528.5224187849,455.0,,0.011938499627474904,10.548284257204887
LIMITED LIABILITY COMPANY CEREAL PARTNERS RUS,No,1061,10,"GENERAL MILLS, INC.",US,,,2004,18,35865.8461917741,2021,35865.8461917741,15031.7660876298,15031.7660876298,99705.8240270102,271.0,,0.007555934929039939,10.487540762086027
JOINT-STOCK SOCIETY BNS GROUP,No,4771,47,BNS INTERNATIONAL GROUP LTD,CY,100.0,100.0,2008,14,49997.8572202111,2023,51949.8839587756,26055.0980100194,26601.4062371524,106782.229239549,818.0,,0.01574594470026376,10.858034762815073
LIMITED LIABILITY COMPANY AMGEN,No,4646,46,AMGEN INC.,US,,,2006,16,63909.3813463561,2023,84600.8474187078,14428.3412592141,23014.9073635563,122999.683922893,68.0,,0.000803774454686646,11.345699562313742
LLC CWS INTERNATIONAL,No,0910,09,KALFRAK VEL SERVISIS LTD. (CALFRAC WELL SERVICES LTD),CA,100.0,100.0,2005,17,64577.6624662308,2023,68591.2988999877,16767.6051657582,27394.0402497305,93179.8870119657,734.0,,0.010701065758650208,11.135920967476734
OPUS TD,No,4673,46,BEAULIEU INTERNATIONAL GROUP,BE,100.0,100.0,2002,20,52751.0813304083,2023,50206.0898488918,9308.22169181332,11906.0786813237,103761.411708309,342.0,,0.006811922637858024,10.82389161005306
LIMITED LIABILITY COMPANY NOVARTIS NEVA,No,2110,21,NOVARTIS AG,CH,,,2011,11,159112.787508789,2023,144572.970363921,24146.7249267465,31865.3367700018,125119.157614256,212.0,,0.0014663875236591653,11.881539644289944
HYGIENE TECHNOLOGIES-LTD,No,1722,17,MR BARTJE VAN MALDEREN,BE,,,2007,15,94784.7674049391,2023,48920.9147609528,-15111.2760243118,11949.3507674513,114039.229021496,339.0,,0.0069295515355035755,10.797960288746332
RITTER SPORT SHOKOLAD,No,4636,46,R² HOLDING GMBH & CO. KG,DE,,,2003,19,24486.6042809319,2023,21479.2991349297,10626.7917607762,14807.8059904734,91716.7865332411,95.0,,0.004422863120589941,9.974844919362805
SCHATTDEKOR GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,No,1729,17,RETIS HOLDING GMBH,DE,,,2000,22,86416.5970918406,2023,79194.8043579943,65806.9435635703,72291.3884692676,81936.4142400455,173.0,,0.00218448674003873,11.279665974110166
LIMITED LIABILITY COMPANY TRADING HOUSE RUSSIAN ALCOHOL MOSCOW,No,4634,46,ROUST CORPORATION,US,,,2010,12,74814.4153390136,2023,,,722.033948326483,121790.440402931,728.0,,,
ARISTON THERMO RUS,No,2751,27,PEM S.R.L.,IT,,,2002,20,66337.3568030028,2023,64754.3892180957,42354.029316741,40615.5189910894,105203.35000732,1376.0,,0.02124952480619607,11.078356764416396
NOVO NORDISK LIMITED LIABILITY COMPANY,No,2120,21,NOVO NORDISK FONDEN,DK,,,2003,19,114561.080791431,2023,165219.306334522,91437.9481970808,85181.4973575696,129066.628863112,465.0,,0.0028144410621026793,12.015028999672397
LIMITED LIABILITY COMPANY ROCHE DIAGNOSTICS RUS,No,4646,46,ROCHE HOLDING AG,CH,,,2009,13,139850.721779184,2023,103264.724866473,17097.5303491019,27313.3608332863,112078.003389502,219.0,,0.002120762925415035,11.545051114373777
LIMITED LIABILITY COMPANY VIATRIS,No,4646,46,VIATRIS OVERSEAS INC.,US,,,2007,15,108330.000736581,2023,91601.8406956485,78901.921894432,91427.7187401606,92935.3512240369,90.0,,0.0009825130075609432,11.42520664539098
UNITED BOTTLING GROUP LTD,No,1107,11,PLAYDAY NETWORKS LIMITED,CY,100.0,100.0,2006,16,83432.718602431,2023,46161.4340415979,12686.9027001886,41080.2953142617,109030.928253823,458.0,,0.009921702163483006,10.739899967458472
RUSFIK,No,4646,46,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.,IT,,100.0,2009,13,93796.9462911626,2023,86258.8590964815,68853.9899316933,76335.5947398301,102266.121970979,243.0,,0.0028171019480816664,11.365108043780973
ORGANON,No,4646,46,"MERCK & CO., INC.",US,,,2020,2,63097.5029069148,2023,1719.41752357408,1439.0935111586,24918.4108646866,96236.7739064163,173.0,,0.10061546868522793,7.4497408633681115
SRAVNI.RU,No,6310,63,DRADIOJA HOLDINGS LIMITED,CY,,,2008,14,22970.4199573081,2023,15421.1184540531,5133.862524122,5310.21304496378,87580.9741148753,417.0,,0.02704084021158665,9.643493177175221
LIMITED LIABILITY COMPANY SYMRISE ROGOVO,No,1084,10,SYMRISE AG,DE,,100.0,2004,18,48918.5749050677,2023,43650.5514296712,18753.0653334018,25602.4465472251,97604.3546835547,128.0,,0.002932379908332447,10.68397119417011
