name,country,industry,grade,action_type,exiter,clean_exit,exit_mode,event_date,event_month,timing_left_censored,nace_sector,b2c,sanctions_coalition,wgi_rule_of_law,legal_origin,pat_pctile,lab_pctile,pat_pctile_sector,lab_pctile_sector,alpha,alpha_sq,alpha_emp_pctile,alpha_pat_pctile,emp_intensity_raw,patent_count,patent_intensity_raw,y_exit_payoff,deal_value_mn_usd,deal_status,has_deal,pre_inv_equity_th_usd,sum_assets_th_usd,ln_assets,years_in_russia,employees_total,n_subsidiaries,sanctions_exposure,sanction_hit_dates,guo_matched,y_sub_inactive,sub_inactivation_rate,y_grade_a_sold,y_suspended
Air Lease,United States,Industrials,A,suspended,1,1,walked,2023-08-23,18,no,52,0,1,1.4,english,0.006689,0.798182,0.008264,0.820069,0.925665,0.856856,0.782486,0.005650,0.009261,0,0.000000,,,,0,393.19,431.90,6.0682,16,4,1,0,,BASE HOLDING AG,0,0.0000,0,1
Air Liquide,France,Materials,A,sold,1,1,sold,2023-08-23,18,no,46,0,1,1.4,french,0.930881,0.808182,0.955556,0.750000,0.388106,0.150627,0.792373,0.985876,0.009579,46230,442.816092,,,,0,104.40,104.40,4.6482,16,1,1,0,,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,0,0.0000,1,0
Air Products,United States,Materials,A,sold,1,1,sold,2022-12-24,10,yes,73,0,1,1.4,english,0.819398,0.062727,0.711111,0.109375,0.152582,0.023281,0.072034,0.690678,0.000124,6555,0.162140,,,,0,16257.86,40427.98,10.6073,8,5,1,0,,BOMBARDIER RECREATIONAL PRODUCTS INC.,0,0.0000,1,0
AirBaltic,Latvia,Industrials,A,sold,1,1,sold,2022-12-24,10,yes,55,1,1,0.9,socialist,0.007804,0.173636,0.012397,0.155709,0.592332,0.350857,0.182203,0.007062,0.000653,0,0.000000,,,,0,-62.40,8552.24,9.0539,18,5,2,0,,IRB HOLDING AG,0,0.0000,1,0
Akvelon,United States,Information Technology,A,sold,1,1,sold,2022-12-24,10,yes,62,0,1,1.4,english,0.008919,,0.015152,,,,,,,0,0.000000,,,,0,-4.68,10.00,2.3027,5,,1,4,2022-04-08;2022-06-03;2022-07-21;2022-10-06,OUN GMBH,0,0.0000,1,0
Aldi,Germany,Consumer Staples,A,other,1,1,walked,2022-12-24,10,yes,46,0,1,1.6,german,0.583055,0.538182,0.726190,0.534483,0.395149,0.156142,0.511299,0.692090,0.006270,345,0.166389,,,,0,-1812.02,2073.46,7.6370,9,13,1,0,,MR PIERO RINALDI,0,0.0000,0,0
Allegro,Poland,Consumer Discretionary,A,other,1,1,walked,2022-12-24,10,yes,23,0,1,0.5,socialist,0.802676,0.550909,0.772973,0.520930,0.412363,0.170043,0.528249,0.677966,0.006695,5140,0.148439,,,,0,19256.96,34627.06,10.4524,18,271,2,0,,G HOLDINGS INC.,0,0.0000,0,0
Allen &amp; Overy,United Kingdom,Industrials,A,sold,1,1,sold,2023-08-23,18,no,46,0,1,1.5,english,0.010033,0.366364,0.016529,0.397924,0.694053,0.481710,0.367232,0.008475,0.002925,0,0.000000,,,,0,3633.77,15040.33,9.6185,19,44,1,0,,CAL GMBH,0,0.0000,1,0
AmRest,Spain,Consumer Discretionary,A,sold,1,1,sold,2022-12-06,10,no,49,0,1,0.9,french,0.011148,,0.005405,,,,,,,0,,,104.82,Completed,1,,,,10,,1,2,2022-07-21;2022-10-06,ESTA GROUP AG,1,1.0000,1,0
Amedia,Norway,Communication Services,A,sold,1,1,sold,2023-08-23,18,no,59,0,1,2.0,scandinavian,0.464883,0.162727,0.530612,0.088889,0.378717,0.143426,0.170904,0.381356,0.000509,55,0.001182,,,,0,5771.18,46544.10,10.7482,15,86,3,0,,AMEDIA NETWORKS LTD,0,0.0000,1,0
American Airlines,United States,Industrials,A,other,1,1,walked,2022-12-24,10,yes,77,0,1,1.4,english,0.564103,0.424545,0.566116,0.453287,0.262911,0.069122,0.408192,0.827684,0.004008,282,1.130396,,,,0,241.45,249.47,5.5194,18,1,1,0,,ORICA LIMITED,0,0.0000,0,0
Ametek,United States,Industrials,A,other,1,1,walked,2022-12-24,10,yes,62,0,1,1.4,english,0.715719,0.210909,0.723140,0.204152,0.151017,0.022806,0.224576,0.846045,0.000853,2142,1.827520,,,,0,-568.75,1172.08,7.0665,11,1,1,4,2022-04-08;2022-06-03;2022-07-21;2022-10-06,PAYMETECH CYPRUS LIMITED,0,0.0000,0,0
Amsted Rail,United States,Industrials,A,sold,1,1,sold,2022-12-24,10,yes,28,0,1,1.4,english,0.697882,0.762727,0.702479,0.792388,0.585290,0.342564,0.740113,0.577684,0.007552,1679,0.037738,,,,0,30481.84,44490.70,10.7030,14,336,1,0,,AMSTED RAIL - EPK BEARING B.V.,0,0.0000,1,0
Ansell,Australia,Industrials,A,sold,1,1,sold,2023-08-23,18,no,70,0,1,1.6,english,0.706800,0.247273,0.714876,0.259516,0.176056,0.030996,0.257062,0.833333,0.001374,1898,1.304279,,,,0,593.95,1455.21,7.2829,17,2,1,0,,SHELL PLC,0,0.0000,1,0
Arconic,United States,Materials,A,sold,1,1,sold,2022-05-19,3,no,70,0,1,1.4,english,0.713489,0.855455,0.533333,0.828125,0.491393,0.241467,0.844633,0.851695,0.015133,2125,2.143780,428.1458,230.00,Completed,1,537.20,991.24,6.8990,17,15,1,0,,ARC HOLDINGS,0,0.0000,1,0
Arendt &amp; Medernach,Luxembourg,Industrials,A,suspended,1,1,walked,2023-08-23,18,no,46,0,1,1.8,french,0.012263,0.315455,0.020661,0.332180,0.666667,0.444444,0.319209,0.009887,0.001961,0,0.000000,,,,0,-704.70,3059.79,8.0261,8,6,1,0,,MEYER INTERNATIONAL HOLDINGS LIMITED,0,0.0000,0,1
Arrival,United Kingdom,Consumer Discretionary,A,sold,1,1,sold,2023-08-23,18,no,31,0,1,1.5,english,0.591973,0.891818,0.578378,0.902326,0.701095,0.491535,0.885593,0.514124,0.021547,427,0.014581,,,,0,20279.38,29284.92,10.2848,20,631,1,0,,ROCA CORPORACION EMPRESARIAL SA,0,0.0000,1,0
Asda,United Kingdom,Consumer Staples,A,other,1,1,walked,2022-12-24,10,yes,62,0,1,1.5,english,0.517280,0.872727,0.666667,0.862069,0.629108,0.395777,0.864407,0.622881,0.016548,133,0.070996,,,,0,1386.32,1873.35,7.5355,8,31,1,4,2022-04-08;2022-06-03;2022-07-21;2022-10-06,"NASDAQ, INC.",0,0.0000,0,0
Asics,Japan,Consumer Discretionary,A,suspended,1,1,walked,2023-08-23,18,no,46,0,1,1.5,german,0.758082,0.874545,0.729730,0.893023,0.589984,0.348082,0.867232,0.696328,0.017012,3100,0.180610,,,,0,8282.96,17164.01,9.7506,14,292,1,0,,ASICS CORPORATION,0,0.0000,0,1
Assicurazioni Generali,Italy,Financials,A,sold,1,1,sold,2022-12-24,10,yes,73,0,1,0.2,french,0.013378,0.132727,0.000000,0.162162,0.568858,0.323599,0.144068,0.011299,0.000269,0,0.000000,,,,0,14727.15,14858.94,9.6064,20,4,1,0,,ASSICURAZIONI GENERALI SPA,0,0.0000,1,0
Atos,France,Information Technology,A,other,1,1,walked,2022-12-24,10,yes,50,0,1,1.4,french,0.687848,0.990909,0.477273,0.984375,0.537559,0.288969,0.985876,0.909605,0.405570,1447,8.150735,,,,0,82.27,177.53,5.1791,13,72,1,2,2022-07-21;2022-10-06,LOURO KHOSE DE MATOS,0,0.0000,0,0
Autogrill,Italy,Consumer Discretionary,A,sold,1,1,sold,2023-08-23,18,no,23,0,1,0.2,french,0.364548,0.551818,0.324324,0.525581,0.601721,0.362069,0.529661,0.337571,0.006695,13,0.000375,,,,0,19256.96,34627.06,10.4524,18,271,2,0,,G HOLDINGS INC.,0,0.0000,1,0
Avantor,United States,Health Care,A,other,1,1,walked,2023-08-23,18,no,46,0,1,1.4,english,0.617614,0.993636,0.384615,1.000000,0.545383,0.297443,0.990113,0.899718,0.720033,597,5.510939,,,,0,88.69,108.33,4.6852,1,78,1,0,,SANTO HOLDING AG,0,0.0000,0,0
Avaya,United States,Information Technology,A,other,1,1,walked,2023-08-23,18,no,73,0,1,1.4,english,0.856187,0.055455,0.750000,0.046875,0.095462,0.009113,0.063559,0.785311,0.000103,11815,0.607823,,,,0,16611.65,19438.21,9.8750,17,2,1,0,,AVAYA INTERNATIONAL ENTERPRISES LIMITED,0,0.0000,0,0
Avery Dennison,United States,Materials,A,other,1,1,walked,2022-12-24,10,yes,46,0,1,1.4,english,0.869565,0.877273,0.800000,0.859375,0.471049,0.221887,0.868644,0.912429,0.017876,14072,8.384875,,,,0,1657.39,1678.26,7.4255,15,30,1,0,,AVERY DENNISON CORPORATION,0,0.0000,0,0
Avid,United States,Information Technology,A,other,1,1,walked,2022-12-24,10,yes,52,0,1,1.4,english,0.719064,0.949091,0.507576,0.921875,0.519562,0.269944,0.940678,0.896893,0.045024,2208,4.970734,,,,0,254.99,444.20,6.0963,15,20,1,0,,MR DAVID JOHN EVANS,0,0.0000,0,0
Aviva,United Kingdom,Financials,A,sold,1,1,sold,2022-12-24,10,yes,79,0,1,1.5,english,0.602007,,0.846154,,,,,,,484,,,,,0,,,,1,35,1,0,,ALMAVIVA TECHNOLOGIES S.R.L.,0,0.0000,1,0
BASF SE,Germany,Materials,A,sold,1,1,sold,2022-12-24,10,yes,46,0,1,1.6,german,0.966555,0.080000,1.000000,0.140625,0.047731,0.002278,0.090395,0.898305,0.000132,109699,5.277210,,,,0,5731.93,20787.31,9.9421,15,231,3,0,,BASF SE,0,0.0000,1,0
Baker Botts,United States,Industrials,A,sold,1,1,sold,2022-12-24,10,yes,46,0,1,1.4,english,0.308807,0.484545,0.293388,0.508651,0.524257,0.274845,0.468927,0.416667,0.005815,6,0.002181,,,,0,-82.23,2751.30,7.9198,13,16,1,0,,BO HOLDING AG,0,0.0000,1,0
Baker Hughes,United States,Energy,A,other,1,1,walked,2023-08-23,18,no,09,0,1,1.4,english,0.946488,,0.956522,,,,,,,64082,0.254206,,,Pending,1,116409.56,252086.93,12.4375,15,985,6,0,,BAKER HUGHES COMPANY,0,0.0000,0,0
Baker McKenzie,United States,Industrials,A,other,1,1,walked,2022-12-24,10,yes,64,0,1,1.4,english,0.309922,,0.297521,,,,,,,6,,,,,0,,,,,1,1,8,2022-02-23;2022-02-25;2022-02-28;2022-03-15;2022-04-08;2022-06-03;2022-07-21;2022-10-06,B.S.A.,0,0.0000,0,0
