firm_name,home_country,industry,provisional_entry_mode,requires_manual_review,evidence_summary,orbis_parent_match,orbis_direct_stakes_pct,reported_action_type,first_reported_exit_date,first_reported_reduction_or_exit_date,timing_left_censored,yale_action_text
Daikin,Japan,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,End all Russian business
Danfoss,Denmark,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,exit Russia completely
Dechert,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,close Russian office
Deezer,France,Communication Services,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue services in Russia
Deichmann,Germany,Consumer Discretionary,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw from Russia
Dell,United States,Information Technology,unclassified,yes,,,,suspended,2023-08-23,2022-12-24,no,Ceased all operations
Deloitte,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,leaving Russia completely; local office launched own firm
Delta Air Lines,United States,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw codeshare services with Aeroflot
Dentsu International,United Kingdom,Communication Services,joint_venture,yes,Yale text explicitly mentions a joint venture,,,sold,2022-12-24,2022-12-24,yes,divest joint venture/leave Russia
Deugro,Germany,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Deutsche Bank,Germany,Financials,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,DEUTSCHE BANK AG,100,sold,2022-12-24,2022-12-24,yes,wind down business in Russia
Deutsche Telekom,Germany,Communication Services,unclassified,yes,strict normalized name match to Orbis parent,DEUTSCHE TELEKOM AG,,other,2022-12-24,2022-12-24,yes,close Russian business
Digicert,United States,Information Technology,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Dino Polska,Poland,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,removed Russian products
Docker,United States,Information Technology,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,End all business in Russia
Domino's Pizza,United States,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Closure of Russian Business
Donaldson Company,United States,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Terminated Operations
Dr. Oetker,Germany,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,stops sales and production in Russia; transferred ownership of production facilities
Draftkings,United States,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Limit business access in Russia
Duisburger Hafen,Germany,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,End all shipments with Russia and Belarus
