name,country,industry,grade_latest,action_type,first_grade_a_date,first_grade_ab_date,timing_left_censored,guo_matched,match_quality,n_subsidiaries,sum_assets_th_usd,largest_sub_assets,pre_inv_equity_th_usd,employees_total,emp_intensity,years_in_russia,ln_assets,nace_sector
Omron,Japan,Information Technology,A,sold,2023-08-23,2023-08-23,no,OMRON CORPORATION,100,1,13893.40,13893.40,10578.3481748411,,,16,9.5392,71
OneWeb,United States,Communication Services,A,suspended,2022-12-24,2022-12-24,yes,EW GROUP GMBH,100.0,5,117036.65,57714.70,42539.5390420416,659,0.005995006720199162,14,11.6702,01
Orica,Australia,Industrials,A,sold,2023-08-23,2023-08-23,no,ORICA LIMITED,100,1,249.47,249.47,241.450693110004,1,0.0040084493893275865,18,5.5194,77
Orkla,Norway,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Orlen Lietuva,Poland,Energy,A,suspended,2022-12-24,2022-12-24,yes,WORLEY LIMITED,80.0,2,11544.78,11416.90,1210.3358721016,2,8.758947098212275e-05,17,9.3540,71
Orsted,Denmark,Utilities,A,other,2023-08-23,2023-08-23,no,MR TORSTEN FENGER,83.33333333333334,1,,,,,,13,,52
Otis Worldwide,United States,Industrials,A,sold,2023-08-23,2023-08-23,no,DENALOT WORLDWIDE LIMITED,92.3076923076923,1,3095.01,3095.01,350.842474964447,1,0.0003231012150415668,19,8.0375,64
Owens Corning,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
PFZW,Netherlands,Financials,A,sold,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
PGL Esports,United States,Communication Services,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
PHX,United States,Energy,A,sold,2023-08-23,2023-08-23,no,,,0,,,,,,,,
PKO BP,Poland,Financials,A,suspended,2022-12-24,2022-12-24,yes,WEPUKO PAHNKE HOLDING GMBH & CO. KG,83.33333333333334,1,570.95,570.95,-173.893494497053,2,0.0035029634807646776,9,6.3473,47
PME pensioenfonds,Netherlands,Financials,A,sold,2022-12-24,2022-12-24,yes,RPM INTERNATIONAL INC.,80.0,1,700.62,700.62,-144.025109615177,,,16,6.5520,46
PZU SA,Poland,Financials,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Pandora,Denmark,Consumer Discretionary,A,suspended,2023-08-23,2022-12-24,no,ORAC HOLDING,85.71428571428572,1,10624.40,10624.40,7461.36213666573,91,0.008565192926191111,7,9.2709,22
Parker Hannifin,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,PARKER-HANNIFIN CORPORATION,100,2,12916.83,12886.38,9342.47813143674,1,,18,9.4663,46
Paul Smith,United Kingdom,Consumer Discretionary,A,other,2023-08-23,2023-08-23,no,SMITHS GROUP PLC,90.9090909090909,2,11920.39,7720.12,6681.1363909794,5,,13,9.3860,22
Paulig,Finland,Consumer Staples,A,sold,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Paysera,Lithuania,Financials,A,suspended,2023-08-23,2023-08-23,no,"PAYPER, SA",83.33333333333334,1,12.36,12.36,11.5623896410689,2,0.1618575184788617,2,2.5142,46
Pensioenfonds Detailhandel,Netherlands,Financials,A,sold,2022-12-24,2022-12-24,yes,TAIALA LTD,83.33333333333334,2,23564.28,12035.87,7130.8985416973,2,8.308498660420062e-05,6,10.0675,68
Pentair,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,IRB HOLDING AG,80.0,2,8552.24,4595.69,-62.4019073061645,5,0.0006527850923637715,18,9.0539,55
Petro,Austria,Energy,A,sold,2023-08-23,2023-08-23,no,OBSHCHESTVO S OGRANICHENNOI OTVESTVENNOSTYU GLOBAL PETRO KEMIKAL PROTSESSEZ INK. (GLOBAL PETRO CHEMICAL PROCESSES INC.),100.0,1,,,,,,17,,41
Petrofac,United Kingdom,Energy,A,other,2023-08-23,2023-08-23,no,PETROFAC LIMITED,100,1,4598.10,4598.10,-3076.86091184244,1,0.00021748101164150878,17,8.4334,82
Pixabay,Germany,Consumer Discretionary,A,other,2023-08-23,2023-08-23,no,PIN HOLDINGS LIMITED,80.0,1,2812.25,2812.25,2812.15083654411,,,18,7.9417,64
Playrix,Ireland,Consumer Discretionary,A,other,2023-08-23,2023-08-23,no,LAMY SA,75.0,1,932.41,932.41,600.275120411068,,,3,6.8378,77
Playtika,Israel,Information Technology,A,other,2023-08-23,2023-08-23,no,SIKA AG,85.71428571428572,3,80628.63,33745.18,23973.6659702677,544,0.006015674404802562,19,11.2976,46
Polskie Górnictwo Naftowe i Gazownictwo SA,Poland,Energy,A,suspended,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Ponsse PLC,Finland,Industrials,A,sold,2022-12-24,2022-12-24,yes,QPO GROUP,80.0,1,10.80,10.80,-2.40939202066511,,,3,2.3791,62
Postnord,Norway,Utilities,A,other,2023-08-23,2023-08-23,no,RDO INTERNATIONAL,80.0,1,89970.63,89970.63,28615.2318253182,746,0.008291594854877779,17,11.4072,46
Primo Water,United States,Consumer Staples,A,sold,2023-08-23,2023-08-23,no,PRIMOND HOLDINGS LIMITED,83.33333333333334,2,6600.98,6382.76,2195.69644680992,237,0.03368447635364257,12,8.7950,63
Princess Cruises,United States,Consumer Discretionary,A,other,2023-08-23,2023-08-23,no,INTESS SA,83.33333333333334,1,7511.49,7511.49,1422.120084689,5,0.0006656470499114557,10,8.9242,46
Prio,Portugal,Energy,A,suspended,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Publicis Groupe,France,Communication Services,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Pure Storage,United States,Information Technology,A,sold,2023-08-23,2023-08-23,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
PwC,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Qantas Airlines,Australia,Industrials,A,other,2022-12-24,2022-12-24,yes,ATLAS INTERNATIONAL AG,80.0,2,1677.58,1105.47,875.847650238313,20,0.018091905557616847,14,7.4251,25
R&amp;A,United States,Industrials,A,other,2023-08-23,2023-08-23,no,RAPALA VMC OYJ,72.72727272727273,1,463.56,463.56,332.940288442187,1,0.00215722294438856,5,6.1389,46
RWS,United Kingdom,Industrials,A,sold,2023-08-23,2023-08-23,no,RWS HOLDINGS PLC,100,1,1527.68,1527.68,1108.212647181,59,0.03862076265849657,15,7.3315,63
Raisio,United States,Consumer Staples,A,sold,2023-08-23,2023-08-23,no,RAIN INTERNATIONAL LLC,85.71428571428572,1,102.45,102.45,-137.994899418205,,,4,4.6293,46
Rational,Germany,Consumer Discretionary,A,other,2023-08-23,2023-08-23,no,DIHK DEINTERNATIONAL GMBH,93.33333333333333,1,1651.23,1651.23,923.631681933068,2,0.0012112199974207644,18,7.4093,82
Red Hat,United States,Information Technology,A,other,2022-12-24,2022-12-24,yes,BERKSHIRE HATHAWAY INC.,85.71428571428572,6,62845.10,24688.91,17357.6100844275,47,,7,11.0484,46
Reface,Ukraine,Information Technology,A,other,2023-08-23,2023-08-23,no,SURFACES SLP (SCSP),83.33333333333334,1,2914.19,2914.19,207.100031452253,12,0.0041177776371762505,4,7.9773,23
Refinitiv,United Kingdom,Financials,A,other,2023-08-23,2023-08-23,no,APTIV PLC,75.0,1,1617.11,1617.11,1450.92510661203,5,0.003091943539641473,14,7.3884,46
Regent Seven Seas Cruises,United States,Consumer Discretionary,A,other,2022-12-24,2022-12-24,yes,REGENT LP,100.0,1,1760.65,1760.65,501.207381460816,7,0.0039758125339065765,10,7.4734,47
Rehau,Switzerland,Consumer Discretionary,A,sold,2023-08-23,2023-08-23,no,,,0,,,,,,,,
Renault,France,Consumer Discretionary,A,other,2022-12-24,2022-12-24,yes,REALTRAC INTERNATIONAL SA,83.33333333333334,1,2837.17,2837.17,20.9711327832192,27,0.009516513473740688,8,7.9506,62
Repsol,Spain,Energy,A,sold,2023-08-23,2023-08-23,no,TOURNESOL INTERNATIONAL SA,83.33333333333334,1,,,,,,17,,46
Resbud,Estonia,Industrials,A,sold,2023-08-23,2023-08-23,no,ESAB CORPORATION,75.0,1,6013.41,6013.41,5140.06771809701,17,0.0028270141301898126,14,8.7017,46
Rewe,Germany,Consumer Discretionary,A,other,2022-12-24,2022-12-24,yes,EW GROUP GMBH,100.0,5,117036.65,57714.70,42539.5390420416,659,0.005995006720199162,14,11.6702,01
Rimi,Latvia,Consumer Discretionary,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Rio Tinto,Australia,Materials,A,other,2022-12-24,2022-12-24,yes,KHEROLD TINO,77.77777777777779,1,0.08,0.08,-3.19008887652308,2,24.76420032726587,1,-2.5163,62
Rocket Lawyer,United States,Information Technology,A,suspended,2022-12-24,2022-12-24,yes,RDO INTERNATIONAL,80.0,1,89970.63,89970.63,28615.2318253182,746,0.008291594854877779,17,11.4072,46
Roku,United States,Communication Services,A,other,2022-12-24,2022-12-24,yes,MOROKUTTI VERNER D-R,100.0,1,119.49,119.49,-48.0801580883563,1,0.008369111296811707,4,4.7832,47
Roland Berger,Germany,Industrials,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Royal London,United Kingdom,Financials,A,sold,2023-08-23,2023-08-23,no,OUN GMBH,80.0,1,10.00,10.00,-4.68418113514781,,,5,2.3027,62
Royal Swinkels Family Brewers,Netherlands,Consumer Staples,A,other,2023-08-23,2023-08-23,no,EW GROUP GMBH,100.0,5,117036.65,57714.70,42539.5390420416,659,0.005995006720199162,14,11.6702,01
S Group (Suomen Osuuskauppojen Keskuskunta),Finland,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,SUOMEN OSUUSKAUPPOJEN KESKUSKUNTA,100.0,3,16411.04,12223.88,7457.14906570222,,,19,9.7057,68
S&amp;P 500 [S&amp;P Dow Jones Indices],United States,Financials,A,other,2023-08-23,2023-08-23,no,DOW INC.,100.0,3,147873.58,94020.43,57857.6862728652,835,0.006764487531238024,16,11.9041,20
SKF,Sweden,Industrials,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
SMAY,Poland,Industrials,A,other,2022-12-24,2022-12-24,yes,MR PETER PAUL WEISMAYR,100.0,1,225.28,225.28,-82.7000255584717,1,0.004438824220696513,9,5.4174,46
SRV,Finland,Industrials,A,sold,2025-05-21,2025-05-21,no,,,0,,,,,,,,
Salesforce,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,SALESFORCE INC,100,1,4834.48,4834.48,-1269.56115082186,307,0.0635021925834067,12,8.4835,62
Sarantis Group,Greece,Consumer Staples,A,sold,2022-12-24,2022-12-24,yes,SAFRAN,90.9090909090909,2,27351.58,20773.67,6785.34596094582,7,0.00024068929192654098,21,10.2165,78
Savills,United Kingdom,Real Estate,A,other,2022-12-24,2022-12-24,yes,KOMPANIYA S OGRANICHENNOI OTVETSTVENNOSTYU SAKVILLE LIMITED,85.71428571428572,1,2675.84,2675.84,815.047517515719,33,0.012332582974417453,6,7.8920,46
Schneider Electric,France,Industrials,A,other,2022-12-24,2022-12-24,yes,SCHNEIDER ELECTRIC SE,100,2,51622.64,31809.57,784.761863624677,84,0.0001257483039752569,15,10.8517,33
Senior PLC,United Kingdom,Industrials,A,other,2023-08-23,2023-08-23,no,SEVNOR WEST LIMITED,83.33333333333334,1,,,,,,22,,74
Sidley Austin,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,SIG GROUP AG,80.0,1,10810.20,10810.20,1298.54115652293,67,0.00619784921491046,3,9.2882,22
Siemens,Germany,Industrials,A,other,2022-12-24,2022-12-24,yes,SIEMENS AG,100,4,371321.49,219472.82,39850.3479602952,492,3.645098206078464e-05,4,12.8248,46
Slack,United States,Information Technology,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Smurfit Kappa,Ireland,Materials,A,other,2022-12-24,2022-12-24,yes,FSM INTERNATIONAL HOLDINGS LIMITED,80.0,1,5157.54,5157.54,2469.11533013824,73,0.014154036938648737,20,8.5482,49
Societe Generale,France,Financials,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Sodexo,France,Industrials,A,other,2022-12-24,2022-12-24,yes,SBO AG,80.0,1,292.21,292.21,231.584300086834,96,0.32853147055380605,7,5.6775,33
SoftwareOne,Switzerland,Information Technology,A,sold,2023-08-23,2023-08-23,no,E.ON SE,100.0,1,,,,,,21,,33
Sonos,United States,Consumer Discretionary,A,suspended,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Spin Master,Canada,Consumer Discretionary,A,sold,2023-08-23,2023-08-23,no,SPIN MASTER CORP.,100,1,24039.78,24039.78,8089.39237633161,16,0.0006655634143918699,4,10.0875,46
Squire Patton Boggs,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Stanley Black &amp; Decker,United States,Industrials,A,other,2023-08-23,2023-08-23,no,"STANLEY BLACK & DECKER, INC.",95.23809523809524,1,87327.09,87327.09,56816.4116509287,7,8.015839786733431e-05,10,11.3774,46
Starbucks,United States,Consumer Discretionary,A,other,2022-12-24,2022-12-24,yes,ESTA GROUP AG,85.71428571428572,1,,,,,,10,,49
State Street,United States,Financials,A,other,2022-12-24,2022-12-24,yes,ESTA GROUP AG,85.71428571428572,1,,,,,,10,,49
Stora Enso,Finland,Materials,A,sold,2022-12-24,2022-12-24,yes,SBO AG,80.0,1,292.21,292.21,231.584300086834,96,0.32853147055380605,7,5.6775,33
Storebrand,Norway,Financials,A,sold,2022-12-24,2022-12-24,yes,EBARA CORPORATION,80.0,1,5144.63,5144.63,3128.05039706361,8,0.0015550192770804932,9,8.5457,28
Strabag,Austria,Industrials,A,sold,2022-12-24,2022-12-24,yes,STRABAG SE,100,5,39761.36,36936.84,5192.23980453331,31,0.00021658592760207072,18,10.5907,68
Strava,United States,Information Technology,A,other,2023-08-23,2023-08-23,no,SOTRA HOLDING AG,88.88888888888889,1,,,,,,15,,69
Sulzer,Switzerland,Industrials,A,other,2022-12-24,2022-12-24,yes,SULZER AG,100,1,620.41,620.41,439.841916532256,,,2,6.4304,72
Svenska Handelsbanken,Sweden,Financials,A,sold,2022-12-24,2022-12-24,yes,E.ON SE,80.0,1,,,,,,21,,33
Sylvamo,United States,Materials,A,sold,2022-12-24,2022-12-24,yes,LAMY SA,75.0,1,932.41,932.41,600.275120411068,,,3,6.8378,77
Systembolaget,Sweden,Consumer Discretionary,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Sæplast,Iceland,Materials,A,suspended,2022-12-24,2022-12-24,yes,OLAST HOLDINGS LIMITED,88.88888888888889,1,1497.38,1497.38,1485.50459321029,,,3,7.3115,47
TDZ Turn,Czech Republic,Industrials,A,suspended,2023-08-23,2023-08-23,no,LTD,80.0,1,,,,,,15,,16
TJ Maxx,United States,Consumer Discretionary,A,sold,2022-12-24,2022-12-24,yes,UMAX LIMITED,75.0,2,8174.69,8126.35,-1510.67533666641,149,0.014520656513946874,9,9.0088,85
TUI,Germany,Consumer Discretionary,A,sold,2022-12-24,2022-12-24,yes,PRIVATE LIMITED COMPANY «FINTUITY LIMITED»,100.0,1,,,,1,,,,62
Tata Steel,India,Materials,A,other,2022-12-24,2022-12-24,yes,ENEL SPA,85.71428571428572,2,14322.99,12558.07,-417.901642824523,3,7.963004354021078e-05,5,9.5696,35
Tchibo,Germany,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,BO HOLDING AG,100.0,1,2751.30,2751.30,-82.2289153868333,16,0.0058154393359561045,13,7.9198,46
TeamViewer,Germany,Information Technology,A,sold,2022-12-24,2022-12-24,yes,EW GROUP GMBH,100.0,5,117036.65,57714.70,42539.5390420416,659,0.005995006720199162,14,11.6702,01
Technip Energies,France,Energy,A,other,2023-08-23,2023-08-23,no,TECHNIP ENERGIES N.V.,100.0,1,11597.78,11597.78,45.1323544429615,4,0.00034489368849840383,7,9.3586,41
Teknos,Finland,Industrials,A,sold,2023-08-23,2023-08-23,no,"AMITI TEKHNOLODZHI INTERNESHNL, LLS, KOMPANIYA S OGRANICHENNOI OTVETSTVENNOSTYU",83.33333333333334,1,2816.15,2816.15,341.056843684986,4,0.0014203796210056942,6,7.9431,46
Teknotherm Marine HVAC sp. z o.o.,Poland,Industrials,A,sold,2022-12-24,2022-12-24,yes,ANCS HOLDING LIMITED,75.0,2,,,,,,14,,46
Teleperformance,France,Communication Services,A,sold,2023-08-23,2023-08-23,no,TELEPERFORMANCE SE,100,1,2715.83,2715.83,2438.95081886277,50,0.01841058478182588,9,7.9069,82
Teradata,United States,Information Technology,A,suspended,2022-12-24,2022-12-24,yes,TERADATA CORPORATION,100,1,27431.49,27431.49,7249.21449623164,1,3.645444971694579e-05,15,10.2194,62
Terex Corporation,United States,Industrials,A,sold,2025-05-21,2025-05-21,no,,,0,,,,,,,,
Tetra Pak,Sweden,Industrials,A,other,2023-08-23,2023-08-23,no,TETRA LAVAL INTERNATIONAL SA,82.35294117647058,3,16886.45,12072.02,1286.74994194135,44,,22,9.7343,46
Tietoevry,Finland,Information Technology,A,other,2022-12-24,2022-12-24,yes,MR DE BRUIJNE PIETER,71.42857142857143,1,856.73,856.73,-261.358462934382,46,0.053692275529272866,7,6.7531,46
Tom Ford,United States,Consumer Discretionary,A,suspended,2023-08-23,2023-08-23,no,RDO INTERNATIONAL,80.0,1,89970.63,89970.63,28615.2318253182,746,0.008291594854877779,17,11.4072,46
Topsoe,Denmark,Energy,A,sold,2023-08-23,2023-08-23,no,TPBS GROUP AG,75.0,1,485.59,485.59,431.065807049163,48,0.09884812194052242,6,6.1854,46
Toyota,Japan,Consumer Discretionary,A,suspended,2023-08-23,2023-08-23,no,TOYOTA INDUSTRIES CORPORATION,100.0,1,35445.01,35445.01,7730.98521803971,86,0.002426293560113727,9,10.4757,46
Trane Technologies,Ireland,Industrials,A,sold,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
TransferGo,United Kingdom,Financials,A,other,2023-08-23,2023-08-23,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Trimble,United States,Information Technology,A,other,2023-08-23,2022-12-24,no,TRIMBLE INC.,100,2,8919.78,6725.56,1875.55689474568,41,0.00089211963737426,12,9.0960,46
TripAdvisor,United States,Communication Services,A,other,2022-12-24,2022-12-24,yes,SCOR SE,85.71428571428572,1,,,,,,14,,65
Triumph Motorcycles,United Kingdom,Consumer Discretionary,A,other,2022-12-24,2022-12-24,yes,ORAC HOLDING,75.0,1,10624.40,10624.40,7461.36213666573,91,0.008565192926191111,7,9.2709,22
Tunnock's,United Kingdom,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
UEFA,Switzerland,NGO,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Uber,United States,Information Technology,A,sold,2022-12-24,2022-12-24,yes,"PAUL HÄLG, HANSPETER FÄSSLER, CLAUDE R. CORNAZ, JÜRG FEDIER, GABI HUBER AND JENS BREU",100.0,1,4431.72,4431.72,1158.48683264013,31,0.006995026881084327,9,8.3965,46
Umbro,United Kingdom,Consumer Discretionary,A,sold,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Unilever,United Kingdom,Consumer Staples,A,sold,2025-05-21,2025-05-21,no,UNIVERSAL MUSIC GROUP N.V.,85.71428571428572,1,20426.50,20426.50,16497.0264037503,7,0.0003426920491431398,15,9.9246,59
United Airlines,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,OUN GMBH,80.0,1,10.00,10.00,-4.68418113514781,,,5,2.3027,62
United Internet Group,Germany,Information Technology,A,suspended,2022-12-24,2022-12-24,yes,NEXT PLC,85.71428571428572,2,12433.53,11874.00,8810.27170068212,196,0.01642244197863229,8,9.4282,47
Universal,United States,Communication Services,A,sold,2022-12-24,2022-12-24,yes,UNIVERSAL MUSIC GROUP N.V.,100.0,1,20426.50,20426.50,16497.0264037503,7,0.0003426920491431398,15,9.9246,59
Uponor,Finland,Industrials,A,other,2023-08-23,2023-08-23,no,ANOR HOLDINGS LIMITED,85.71428571428572,1,10785.13,10785.13,8894.02162890881,1,9.272029626248487e-05,18,9.2859,68
VTG,Germany,Industrials,A,sold,2023-08-23,2023-08-23,no,OBSHCHESTVO V.T.G.S.R.L.,100.0,1,1757.82,1757.82,322.697007281706,15,0.008533298222163217,18,7.4718,16
Vaillant Group,Germany,Industrials,A,other,2022-12-24,2022-12-24,yes,JOH. VAILLANT GMBH & CO KG,100.0,1,23470.60,23470.60,6343.32347733341,62,0.002641602565631689,16,10.0635,46
Valeo,France,Consumer Discretionary,A,other,2025-05-21,2025-05-21,no,VALEO,100,2,123484.32,123235.46,87732.9359029569,22,0.00017852004330077976,14,11.7239,45
Valio,Finland,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,ALI GROUP LLC,100.0,1,3584.65,3584.65,730.382289526984,16,0.004463475743612824,15,8.1844,46
Valmet,Finland,Industrials,A,other,2022-12-24,2022-12-24,yes,MR VALENTINO FORNAROLI,83.33333333333334,1,8489.61,8489.61,2660.83024941385,2,0.0002355821598718837,10,9.0466,46
Van Oord,Netherlands,Industrials,A,sold,2023-08-23,2023-08-23,no,RDO INTERNATIONAL,80.0,1,89970.63,89970.63,28615.2318253182,746,0.008291594854877779,17,11.4072,46
VanEck,United States,Financials,A,other,2023-08-23,2023-08-23,no,NEC CORPORATION,100.0,1,49721.71,49721.71,35756.8582186382,2650,0.05329664075544063,19,10.8142,63
Vanguard,United States,Financials,A,suspended,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Velux,Denmark,Consumer Discretionary,A,sold,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Veon,Netherlands,Communication Services,A,sold,2023-08-23,2023-08-23,no,E.ON SE,100.0,1,,,,,,21,,33
Vestas,Denmark,Energy,A,sold,2022-12-24,2022-12-24,yes,VESTAS WIND SYSTEMS A/S,100.0,1,212236.98,212236.98,87931.1386823105,,,12,12.2655,46
Vianor,Finland,Consumer Discretionary,A,other,2022-12-24,2022-12-24,yes,ANOR HOLDINGS LIMITED,100.0,1,10785.13,10785.13,8894.02162890881,1,9.272029626248487e-05,18,9.2859,68
Vinmonopolet,Norway,Consumer Staples,A,suspended,2022-12-24,2022-12-24,yes,EQT AB,80.0,1,264.90,264.90,-805.921440476552,,,8,5.5793,47
Visteon,United States,Consumer Discretionary,A,suspended,2023-08-23,2023-08-23,no,E.ON SE,100.0,1,,,,,,21,,33
Vodafone,United Kingdom,Information Technology,A,suspended,2022-12-24,2022-12-24,yes,DANONE,83.33333333333334,1,1390.66,1390.66,1122.64207872376,,,11,7.2375,46
Volaris Group,Canada,Information Technology,A,other,2022-12-24,2022-12-24,yes,VOLATI AB,83.33333333333334,1,448.87,448.87,-146.29989872966,1,0.0022277977984226237,10,6.1067,47
Volfas Engelman,Lithuania,Consumer Staples,A,sold,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Vorwerk Group,,,A,suspended,2023-08-23,2023-08-23,no,RSK GROUP LIMITED,80.0,1,203.14,203.14,167.069127153605,35,0.172292673890996,11,5.3139,71
WIKA,Germany,Industrials,A,suspended,2023-08-23,2023-08-23,no,,,0,,,,,,,,
WPP PLC,United Kingdom,Communication Services,A,other,2022-12-24,2022-12-24,yes,WPP PLC (NEW),100.0,3,73232.53,45844.32,2047.66017059051,90,0.0014178418540967068,12,11.2014,73
Waitrose,United Kingdom,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,ENDTHWAITE LIMITED,76.92307692307692,1,,,,,,15,,74
Walker's Shortbread,United Kingdom,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,ADP HOLDINGS LIMITED,80.0,1,9227.63,9227.63,8658.78959006444,60,0.006502207818462474,17,9.1300,46
Wallenius Wilhelmsen,Norway,Consumer Discretionary,A,other,2023-08-23,2023-08-23,no,GENUS PLC,80.0,2,11763.94,6191.24,3134.64593946654,70,0.004522522088712206,3,9.3728,46
