Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
AST,7/3/2022,Russian operations/Schneider Electric SE,Management Group,Schneider Electric SE,N/A,Cash, ,Pending
AST,7/6/2022,Kharyaga oil field,Unnamed Buyer,TotalEnergies SE,N/A,Cash, ,Completed
AST,7/11/2022,Sephora Russia,Unnamed Buyer,LVMH Moet Hennessy Louis Vuitton SE,N/A,Undisclosed, ,Pending
AST,7/15/2022,Russian business/Danfoss,Management Group,Danfoss A/S,N/A,Undisclosed, ,Pending
AST,7/21/2022,Russian unit/HSBC Holdings Plc,Expobank LLC,HSBC Holdings PLC,N/A,Cash, ,Pending
AST,7/27/2022,Russia business/Otis Worldwide Corp,S8 Capital AO,Otis Worldwide Corp,N/A,Cash, ,Pending
AST,7/28/2022,Car assembly site/Russia,Asia Auto,Volkswagen AG,N/A,Cash, ,Withdrawn
AST,7/29/2022,Portfolio of 2 glass plants unit/Russia,Private Investor,Koch Industries Inc,N/A,Cash, ,Completed
AST,8/1/2022,Oilfield Services Unit/Russia,Management Group,Baker Hughes Co,N/A,Undisclosed, ,Pending
AST,8/7/2022,Diginetica,TCS Group Holding PLC,,N/A,Cash, ,Pending
AST,8/9/2022,Business operation/Russia,Potential Buyer,Kahrs Holding AB,N/A,Cash, ,Withdrawn
AST,8/26/2022,Car assembly plany/Moscow,Potential Buyer,Mercedes-Benz Group AG,N/A,Cash, ,Withdrawn
AST,4/1/2022,Russian Business/Purmo Group Oyj,Unnamed Buyer,Purmo Group Oyj,N/A,Undisclosed, ,Terminated
AST,4/4/2022,Russia Factory/Brodrene Hartmann,Potential Buyer,Brodrene Hartmann A/S,N/A,Undisclosed, ,Withdrawn
AST,4/11/2022,Rosbank PJSC,Interros Holding Co,Societe Generale SA,N/A,Undisclosed, ,Pending
AST,4/12/2022,Food service business/Russia,Unnamed Buyer,Compass Group PLC,N/A,Cash, ,Completed
AST,9/16/2024,Telemedicine Business/MKPAO Yandex,OraSure Technologies Inc,Solid Menedzhment AO,N/A,Cash, ,Withdrawn
AST,9/24/2024,Industrial complex/Technonicol Corp,Technonicol Corp,ECO Partners Inc,N/A,Cash, ,Completed
AST,5/29/2024,Timashevsky dairy plant/PepsiCo Inc,Agrokompleks Glushkovski OOO,PepsiCo Inc,N/A,Cash, ,Completed
AST,4/4/2024,Distribution business/A Group OOO,Severstal PAO,A Grupp OOO,N/A,Cash, ,Completed
AST,4/8/2024,Kaliningrad exclave/Russia,Private Investor,Viciunai Uab,N/A,Cash, ,Pending
AST,4/19/2024,Russian Business/Purmo Group Oyj,Unnamed Buyer,Purmo Group Oyj,N/A,Cash, ,Completed
AST,4/26/2024,Nice Ice ready-to-eat food business/Leningrad,X5 Retail Group NV,,N/A,Cash, ,Completed
AST,8/28/2024,German oil refineries business/Rosneft Oil Co PJSC,State of Qatar,Rosneft Oil Co PJSC,N/A,Cash, ,Withdrawn
AST,9/7/2017,SevKomNeftegaz OOO,Equinor ASA,Rosneft Oil Co PJSC,N/A,Cash, ,Completed
AST,3/18/2021,Russia business of Gett,Citymobil LLC,Gett Inc,N/A,Cash, ,Pending
AST,6/16/2021,Tower business/Vimpel-Communications PJSC,Potential Buyer,VEON Ltd,N/A,Cash, ,Withdrawn
AST,6/22/2021,Cell towers & masts/VimpelCom,VTB Capital Asset Management JSC,VEON Ltd,N/A,Cash, ,Pending
AST,6/22/2021,Vimpelcom cell towers,Russian Towers OOO,VTB Bank PJSC,N/A,Cash, ,Withdrawn
AST,7/8/2021,Argayash coal fired heat & power plant,Rosatom Corp,Fortum Oyj,N/A,Cash, ,Completed
AST,9/1/2021,Online business/X5 Retail Group NV,Sberbank of Russia PJSC,X5 Retail Group NV,N/A,Cash, ,Withdrawn
AST,9/2/2021,Vostok Oil project,Oil & Natural Gas Corp Ltd,,N/A,Cash, ,Withdrawn
AST,9/8/2021,Traditional electricity generation asset/PJSC Unipro,Potential Buyer,Unipro PJSC,N/A,Cash, ,Withdrawn
AST,9/14/2021,Key oil projects/Lukoil PJSC,Ghana National Petroleum Corp,LUKOIL PJSC,N/A,Cash, ,Withdrawn
AST,9/17/2021,1100000 sq ft Class A industrial warehouse/Lambert Farms,KKR Real Estate Select Trust Inc,PNK group LLC,N/A,Cash, ,Completed
AST,9/13/2022,Russian Auto Dealership Business/MAN Truck & Bus SE,Unnamed Buyer,Traton SE,N/A,Cash, ,Pending
AST,9/16/2022,German Operations/Rosneft,Federal Republic of Germany,Rosneft Oil Co PJSC,N/A,Undisclosed, ,Completed
AST,9/19/2022,Russia Oilseed Processing Plant and Business/Bunge Ltd,Private Investor,Bunge Global SA,N/A,Cash, ,Completed
AST,9/20/2022,Metropolis shopping center,Capital Partners LLC,"California Public Employees' Retirement System,Hines Interests LP,Morgan Stanley (Fund: Morgan Stanley Real Estate Fund VII Global LP)",N/A,Undisclosed, ,Withdrawn
AST,9/21/2022,Oil refinery/Italy,Crossbridge Energy Partners LLC,LUKOIL PJSC,N/A,Cash, ,Terminated
AST,11/14/2022,Sergeevskoe gold project/Russia,Unnamed Buyer,Orsu Metals Corp,N/A,Cash, ,Completed
AST,12/14/2022,Business/Russia,Unnamed Buyer,Holcim AG,N/A,Cash, ,Pending
AST,12/15/2022,Local customer support business/Russia,Unnamed Buyer,Telefonaktiebolaget LM Ericsson,N/A,Cash, ,Pending
AST,10/5/2022,Russia business/GB Foods Europa,Samyoung System Co Ltd,GB Foods Europa SL/The,N/A,Cash, ,Completed
AST,10/18/2022,Manufacturing plant/Russia,Potential Buyer,Hyundai Motor Co,N/A,Cash, ,Withdrawn
AST,10/19/2022,Welding & painting operations/Russia,Private Investor,Volvo AB,N/A,Cash, ,Completed
AST,10/24/2022,Portfolio of KFC Restaurants,Management Group,Yum! Brands Inc,N/A,Cash, ,Completed
AST,10/25/2022,Portfolio of Zara Stores/ Russia,Azadea Sal,Industria de Diseno Textil SA,N/A,Undisclosed, ,Pending
AST,10/26/2022,Business of Mothercare / Russia,Private Investor,MH Alshaya,N/A,Undisclosed, ,Withdrawn
AST,10/31/2022,Russian Assets/Bridgestone Corp,Potential Buyer,Bridgestone Corp,N/A,Cash, ,Withdrawn
AST,2/17/2023,Ural assets/NLMK Group,Potential Buyer,NLMK Group,N/A,Undisclosed, ,Withdrawn
AST,2/17/2023,2 million sq m m of real estate/Russia,Potential Buyer,Stichting INGKA Foundation,N/A,Undisclosed, ,Withdrawn
AST,2/20/2023,Trilogy Park logistics park,Private Investor,PPF Real Estate Holding BV,N/A,Cash, ,Withdrawn
AST,2/20/2023,Logistics assets/St Petersburg & Novorossiysk,IG Finance Development Ltd,AP Moller - Maersk A/S,N/A,Cash, ,Completed
AST,2/25/2023,Russian business/Schaeffler,Private Investor,Schaeffler AG,N/A,Undisclosed, ,Pending
AST,2/27/2023,Russian assets/Philip Morris International Inc,Potential Buyer,Philip Morris International In,N/A,Cash, ,Withdrawn
AST,2/28/2023,Pecan oil field/Ghana,Potential Buyer,LUKOIL PJSC,N/A,Cash, ,Withdrawn
AST,1/9/2023,Oil refinery/Italy,Trafigura Ltd,LUKOIL PJSC,N/A,Undisclosed, ,Pending
AST,1/16/2023,"Insurance business/Belarus,Insurance business/Russia",Unnamed Buyer,Euroins Insurance Group AD,N/A,Undisclosed, ,Pending
AST,1/31/2023,Russian business/Hitachi Energy AG,Management Group,Hitachi Ltd,N/A,Cash, ,Completed
AST,1/31/2023,Russia business,Unnamed Buyer,Hitachi Ltd,N/A,Cash, ,Completed
AST,12/26/2024,Hypermarket business/O'KEY Group SA,Rbf Retail LLC,O'Key Group SA,N/A,Cash, ,Completed
AST,12/27/2024,Portfolio of 3 coal beneficiation plants/Prokopyevsk,AVD Capital LLC,Topprom ZAO,N/A,Cash, ,Completed
AST,10/10/2024,Russian assets/Unilever PLC,ArnestFinans OOO,Unilever PLC,N/A,Cash, ,Completed
AST,10/10/2024,Russian operations/Leipurin Oyj,Private Investor,Aspo Oyj,N/A,Cash, ,Completed
AST,10/24/2024,Russian operations/ELO SACA,Potential Buyer,Association Familiale Mulliez,N/A,Cash, ,Withdrawn
AST,10/25/2024,Ural Chemical Machine Building Plant/Gazprombank JSC,Private Investor,Gazprombank JSC,N/A,Cash, ,Completed
AST,7/12/2024,Russian business/Dentsu Group Inc,Unnamed Buyer,Dentsu Group Inc,N/A,Cash, ,Completed
AST,4/28/2016,Akkuyu nuclear power plant/Akkuyu,Cengiz Holding AS,Rosatom Corp,N/A,Cash, ,Withdrawn
AST,8/31/2017,Oil-trading business/Geneva,Potential Buyer,LUKOIL PJSC,N/A,Cash, ,Withdrawn
AST,9/27/2022,"APP OOO/Moscow,PG Metran AO",Management Group,Emerson Electric Co,N/A,Cash, ,Completed
AST,8/1/2018,Domodedovo airport,Potential Buyer,Russian Direct Investment Fund Management Co,N/A,Cash, ,Withdrawn
AST,12/17/2018,Russian Business/CTC Media Inc,"VTB Bank PJSC,Natsionalnaya Media Gruppa ZAO",UTV Holding OOO,N/A,Cash, ,Withdrawn
AST,2/16/2023,3 factories/Russia,"Sloteks AO,Luzales OOO",Stichting INGKA Foundation,N/A,Cash, ,Completed
AST,10/9/2020,K50 platform,Nebius Group NV,"Management Group,Addventure Venture Capital Fund (Fund: Addventure II)",N/A,Cash, ,Pending
