Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
AST,3/25/2020,Elginskoye project/Amur,Petropavlovsk PLC,Areco Associates Ltd,60,Cash, ,Pending
AST,3/31/2022,Business activities/Russia,Unnamed Buyer,CNH Industrial NV,60,Cash, ,Completed
AST,3/5/2020,Grain transportation unit,VTB Bank PJSC,Far-Eastern Shipping Co PLC,56.2,Cash, ,Completed
AST,10/30/2018,Kapan Copper Mine,Chaarat Gold Holdings Ltd,Solidcore Resources PLC,55,Cash, ,Completed
AST,9/11/2019,Properties on 7 Tverskaya st/Moscow,Unnamed Buyer,Central Telegraph PJSC,53.38,Cash, ,Completed
AST,9/13/2019,Meridian Business Center/Trinfico Group,Supremum Capital,,35.81,Cash, ,Completed
AST,9/12/2024,Oncology clinic group/Russia,UpHealth Group Ltd,,33.35,Cash, ,Withdrawn
AST,8/29/2019,Video content production business,Mobile TeleSystems PJSC,Sistema PJSFC,30.06,Cash, ,Completed
AST,7/18/2024,Eurodon leased facilities/Rostov,APK Damate OOO,Eurodon OOO,28.38,Cash, ,Completed
AST,7/17/2023,31 Michurinsky Prospekt/Moscow,MD Medical Holding Ltd,,24.77,Cash, ,Completed
AST,12/15/2022,3 Russian packaging converting operations/MONDI PLC,GOTEC Gorschlueter GmbH,Mondi PLC,24.77,Cash, ,Completed
AST,9/29/2020,Hotel/Gazprom PJSC,Unnamed Buyer,Gazprom PJSC,16.44,Cash, ,Completed
AST,8/11/2023,Russian assets/Magna International Inc,Unnamed Buyer,Magna International Inc,15,Cash, ,Completed
AST,7/12/2022,130881 sq ft office complex/Florida,Miami Lakes Corp Center LLC,Rafel OOO,15,Cash, ,Completed
AST,8/11/2022,82 mln coal property,Stroyservis ZAO,,14.68,Cash, ,Completed
AST,5/11/2020,North Kaluga property,Kaluga Mining Ltd,Solidcore Resources PLC,10.7,Cash, ,Pending
AST,11/29/2022,Office building/KMC Properties ASA,Unnamed Buyer,BEVEST ASA,9.93,Cash, ,Completed
AST,2/21/2024,Russian operations/Wienerberger AG,Private Investor,Wienerberger AG,9.73,Cash, ,Completed
AST,6/15/2023,Coffee store/Russia,Private Investor,Starbucks Corp,5.99,Cash, ,Completed
AST,3/30/2021,Mothballed Abashevskaya mine,Unnamed Buyer,Raspadskaya OJSC,5.26,Cash, ,Pending
AST,10/18/2019,Pilot plant & technology,Evraz PLC,Rock Capital Partners LLC,3.89,Cash, ,Completed
AST,1/15/2021,Licence 67/Tomsk Oblast,PetroNeft Resources PLC,Sharmel Ltd,2.35,Cash and Stock, ,Completed
AST,8/25/2023,Certain assets/Heineken NV,DKK Zao,Heineken NV,0,Cash, ,Completed
AST,1/15/2020,Unnamed Target,Ucom LLC,VEON Ltd,N/A,Cash, ,Withdrawn
AST,1/21/2020,Bystrinskiy copper project,Winter Capital Advisors LLC,,N/A,Cash, ,Completed
AST,1/31/2020,Industrial assets/Ufaleynickel PJSC,Russian Copper Co ZAO,Ufaleynickel PJSC,N/A,Cash, ,Withdrawn
AST,7/7/2020,Drilling business/IDS Group,Rosneft Oil Co PJSC,Ay Di Es Grupp ZAO,N/A,Cash, ,Pending
AST,7/16/2020,Chicken processing facility/Efremov,Cherkizovo Group PJSC,Cargill Inc,N/A,Cash, ,Completed
AST,7/21/2020,PNK Park Veshki/Moscow,"Sberbank of Russia PJSC,PNK group LLC",,N/A,Cash, ,Pending
AST,8/5/2020,Yubileinaya winery/Krasnodar,Abrau-Durso PJSC,,N/A,Cash, ,Completed
